Year;CAP_SMR;CAP_electrolysis;CAP_SMRCCS;PROD_SMR;PROD_electrolysis;PROD_SMRCCS;CN_CAP_electrolysis;CN_PROD_electrolysis;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;70.0;0.135;0.35;9.999310610231946;0.0007048777827378668;0.0;0.0;0.0;3.874611268714205;0.0;0.0
2022.0;70.0;0.135;0.35;11.102382597994103;0.008763677548500798;0.0;0.0;0.0;9.154774041544744;0.0;0.0
2023.0;65.33333333333333;3.5009999999999906;0.32666666666666666;11.400568174604823;0.8216699719692176;0.0;0.0;0.0;13.554614725777597;0.0;0.0
2024.0;60.66666666666708;3.626999999999961;0.30333333333333334;12.530052983593139;0.8037052415918255;0.0;0.0;0.0;11.39225121464115;0.0;0.0
2025.0;56.00000000000041;88.12799999999902;0.27999999999999997;0.0;14.445552538970743;0.0;0.0;0.0;3.450829370138502;0.0;0.0
2026.0;51.33333333333374;122.05914121701393;0.25666666666666665;0.0;15.555655698244887;0.0;0.0;0.0;2.8549471143525462;0.0;0.0
2027.0;46.666666666667076;136.24212868600645;0.2333333333333333;0.0;16.666667702217115;0.0;0.0;0.0;2.9083725151703;0.0;0.0
2028.0;42.00000000000041;145.23291848380825;0.21;0.0;17.77776522885998;0.0;0.0;0.0;2.8342261051807007;0.0;0.0
2029.0;37.33333333333375;154.18597996453212;0.18666666666666665;0.0;18.88893884339502;0.0;0.0;0.0;2.73492438633303;0.0;0.0
2030.0;32.666666666667076;158.2797517325726;0.16333333333333333;0.0;20.000087406036393;0.0;0.0;0.0;2.7124962745396304;0.0;0.0
2031.0;28.000000000000412;170.77389590869404;0.13999999999999999;0.0;21.50013082244543;0.0;0.0;0.0;2.623662584740611;0.0;0.0
2032.0;23.333333333333744;183.71983778962667;0.11666666666666665;0.0;23.00001992610659;0.0;0.0;0.0;2.6722290451876356;0.0;0.0
2033.0;18.66666666666708;199.52451519739378;0.09333333333333332;0.0;24.499954027094553;0.0;0.0;0.0;2.662508465773348;0.0;0.0
2034.0;14.000000000000412;213.5599957628592;0.06999999999999999;0.0;26.000098167314167;0.0;0.0;0.0;2.5066303059018025;0.0;0.0
2035.0;9.333333333333746;220.01316462475612;0.04666666666666666;0.0;27.50012995548527;0.0;0.0;0.0;2.3846149509521877;0.0;0.0
2036.0;4.666666666667079;229.98011954252078;0.02333333333333333;0.0;29.00038629723192;0.0;0.0;0.0;2.3480619543969565;0.0;0.0
2037.0;4.124428881086493e-13;249.57260235656545;0.0;0.0;30.499984931690314;0.0;0.0;0.0;2.5621649485752562;0.0;0.0
2038.0;4.124428881086493e-13;259.9798066205622;0.0;0.0;32.00015356656899;0.0;0.0;0.0;2.5973673782236455;0.0;0.0
2039.0;4.124428881086493e-13;270.8481357882618;0.0;0.0;33.50017328537456;0.0;0.0;0.0;2.40514418841832;0.0;0.0
2040.0;4.124428881086493e-13;284.09173209199554;0.0;0.0;35.00018876395354;0.0;0.0;0.0;2.250631599310944;0.0;0.0
2041.0;4.124428881086493e-13;294.7868076770985;0.0;0.0;36.50022649222652;0.0;0.0;0.0;2.1178335393131835;0.0;0.0
2042.0;4.124428881086493e-13;303.7302027359574;0.0;0.0;38.000192186067814;0.0;0.0;0.0;1.9607646972925474;0.0;0.0
2043.0;4.124428881086493e-13;313.67021720051537;0.0;0.0;39.50018794758756;0.0;0.0;0.0;1.8834690565107695;0.0;0.0
2044.0;4.124428881086493e-13;327.67363784151763;0.0;0.0;41.00020350176267;0.0;0.0;0.0;1.76636851629428;0.0;0.0
2045.0;4.124428881086493e-13;323.57086708350465;0.0;0.0;42.50009876390582;0.0;0.0;0.0;1.891722382275922;0.0;0.0
2046.0;4.124428881086493e-13;344.6833086624321;0.0;0.0;44.00022493632839;0.0;0.0;0.0;1.6186595836892292;0.0;0.0
2047.0;4.124428881086493e-13;354.0691866879727;0.0;0.0;45.50046943619507;0.0;0.0;0.0;1.5360843148584764;0.0;0.0
2048.0;4.124428881086493e-13;346.5253738485708;0.0;0.0;47.00022224827126;0.0;0.0;0.0;1.633906843256605;0.0;0.0
2049.0;0.0;358.4254749645012;0.0;0.0;48.50056566615442;0.0;0.0;0.0;1.530979536664656;0.0;0.0
2050.0;0.0;365.101914646408;0.0;0.0;50.000799861647614;0.0;0.0;0.0;1.431449209976675;0.0;0.0
2051.0;0.0;355.1259597290049;0.0;0.0;50.00117192951527;0.0;0.0;0.0;1.268161184605999;0.0;0.0
2052.0;0.0;335.5244769206001;0.0;0.0;50.001513900269345;0.0;0.0;0.0;1.2091015640920952;0.0;0.0
2053.0;0.0;337.10275535841356;0.0;0.0;50.001912274300025;0.0;0.0;0.0;1.1974735678324446;0.0;0.0
2054.0;0.0;326.0994261942723;0.0;0.0;50.00220590081574;0.0;0.0;0.0;1.1040033270084435;0.0;0.0
2055.0;0.0;318.95699167041977;0.0;0.0;50.00271607211583;0.0;0.0;0.0;1.1531740972480575;0.0;0.0
2056.0;0.0;313.3059773733664;0.0;0.0;50.00311450135677;0.0;0.0;0.0;1.1837557014352231;0.0;0.0
2057.0;0.0;304.90945867953485;0.0;0.0;50.0034653543512;0.0;0.0;0.0;1.237224649160694;0.0;0.0
2058.0;0.0;297.4085313909296;0.0;0.0;50.003815785847515;0.0;0.0;0.0;1.317140715326993;0.0;0.0
2059.0;0.0;301.6652396584135;0.0;0.0;50.004578950741035;0.0;0.0;0.0;1.2040083732798543;0.0;0.0
2060.0;0.0;301.6652386483859;0.0;0.0;50.00384413002167;0.0;0.0;0.0;2.331683034337436;0.0;0.0
