Year;CAP_SMR;CAP_electrolysis;CAP_SMRCCS;PROD_SMR;PROD_electrolysis;PROD_SMRCCS;CN_CAP_electrolysis;CN_PROD_electrolysis;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;70.0;0.135;0.35;9.99929095373166;0.000704877811648302;0.0;0.0;0.0;3.8478338488604367;0.0;0.0
2022.0;70.0;0.135;0.35;11.101617806157419;0.009502768072772613;0.0;0.0;0.0;9.12826553277499;0.0;0.0
2023.0;65.33333333333333;3.500999999999998;0.32666666666666666;11.3995041641815;0.821669972151082;0.0;0.0;0.0;13.533086209900473;0.0;0.0
2024.0;60.66666666666693;3.6269999999999927;0.30333333333333334;12.529623960417412;0.8037052415901083;0.0;0.0;0.0;11.360617404545838;0.0;0.0
2025.0;56.000000000000256;88.12799999999972;0.27999999999999997;0.0;14.444205560248172;0.0;0.0;0.0;3.3257865996671443;0.0;0.0
2026.0;51.333333333333584;123.27105853879416;0.25666666666666665;0.0;15.555643201789064;0.0;0.0;0.0;2.9672556958434884;0.0;0.0
2027.0;46.66666666666692;136.2497111862759;0.2333333333333333;0.0;16.666709945922705;0.0;0.0;0.0;3.031647090925222;0.0;0.0
2028.0;42.000000000000256;145.95629406954887;0.21;0.0;17.77780646651166;0.0;0.0;0.0;2.9567897426633616;0.0;0.0
2029.0;37.33333333333359;154.87425153219039;0.18666666666666665;0.0;18.888965249407743;0.0;0.0;0.0;2.8565874546124266;0.0;0.0
2030.0;32.66666666666692;161.4876720128995;0.16333333333333333;0.0;20.000073960362194;0.0;0.0;0.0;2.825670736134131;0.0;0.0
2031.0;28.000000000000256;171.71024311468483;0.13999999999999999;0.0;21.500169271913606;0.0;0.0;0.0;2.757846210622287;0.0;0.0
2032.0;23.333333333333588;183.55616717936348;0.11666666666666665;0.0;23.000061601130916;0.0;0.0;0.0;2.7958462957977264;0.0;0.0
2033.0;18.666666666666924;194.73295852106708;0.09333333333333332;0.0;24.500104041795506;0.0;0.0;0.0;2.7871661407034876;0.0;0.0
2034.0;14.000000000000256;206.732601195115;0.06999999999999999;0.0;26.000197984623206;0.0;0.0;0.0;2.624643208132724;0.0;0.0
2035.0;9.33333333333359;221.1610446928851;0.04666666666666666;0.0;27.500254869577393;0.0;0.0;0.0;2.498060065286968;0.0;0.0
2036.0;4.666666666666923;231.0542608074001;0.02333333333333333;0.0;29.000148256017447;0.0;0.0;0.0;2.4074691048531296;0.0;0.0
2037.0;2.557797142891228e-13;250.0132211364067;0.0;0.0;30.499995276591054;0.0;0.0;0.0;2.6955418670067024;0.0;0.0
2038.0;2.557797142891228e-13;260.6148838833943;0.0;0.0;32.0000667658984;0.0;0.0;0.0;2.6813253338332528;0.0;0.0
2039.0;2.557797142891228e-13;272.1143897013764;0.0;0.0;33.500054171419265;0.0;0.0;0.0;2.476640972857347;0.0;0.0
2040.0;2.557797142891228e-13;282.20964492408916;0.0;0.0;35.00011860969526;0.0;0.0;0.0;2.318501974244437;0.0;0.0
2041.0;2.557797142891228e-13;294.5385389997794;0.0;0.0;36.500074375752085;0.0;0.0;0.0;2.1821831781079437;0.0;0.0
2042.0;2.557797142891228e-13;304.99899248846947;0.0;0.0;38.000063814086225;0.0;0.0;0.0;2.00562626204268;0.0;0.0
2043.0;2.557797142891228e-13;315.09670708990353;0.0;0.0;39.500057804641294;0.0;0.0;0.0;1.9175607168410111;0.0;0.0
2044.0;2.557797142891228e-13;326.5820235096298;0.0;0.0;41.000177484525295;0.0;0.0;0.0;1.7905838009337118;0.0;0.0
2045.0;2.557797142891228e-13;324.17598927081576;0.0;0.0;42.50010373276638;0.0;0.0;0.0;1.9242662974075775;0.0;0.0
2046.0;2.557797142891228e-13;345.1483818691054;0.0;0.0;44.0003422721859;0.0;0.0;0.0;1.6415300782378501;0.0;0.0
2047.0;2.557797142891228e-13;354.6798272946567;0.0;0.0;45.50056795283605;0.0;0.0;0.0;1.5759722998965058;0.0;0.0
2048.0;2.557797142891228e-13;346.76512673727376;0.0;0.0;47.000719442729974;0.0;0.0;0.0;1.709355963323913;0.0;0.0
2049.0;0.0;359.5453311669609;0.0;0.0;48.5010750912385;0.0;0.0;0.0;1.644840634496009;0.0;0.0
2050.0;0.0;371.34362894307543;0.0;0.0;50.001434372714186;0.0;0.0;0.0;1.6102932023277088;0.0;0.0
2051.0;0.0;361.4414128291113;0.0;0.0;50.001784967992386;0.0;0.0;0.0;1.5097896470700447;0.0;0.0
2052.0;0.0;350.71088597388217;0.0;0.0;50.00212211971765;0.0;0.0;0.0;1.5277107750425278;0.0;0.0
2053.0;0.0;342.99162299752953;0.0;0.0;50.00249914776389;0.0;0.0;0.0;1.5561966602003694;0.0;0.0
2054.0;0.0;334.2074547318466;0.0;0.0;50.00279803695838;0.0;0.0;0.0;1.521866101217271;0.0;0.0
2055.0;0.0;326.81749413701726;0.0;0.0;50.003211448783986;0.0;0.0;0.0;1.5978890111150366;0.0;0.0
2056.0;0.0;323.776998265773;0.0;0.0;50.00353083749106;0.0;0.0;0.0;1.680192555255939;0.0;0.0
2057.0;0.0;319.8099435934167;0.0;0.0;50.003792781871034;0.0;0.0;0.0;1.7832749601957993;0.0;0.0
2058.0;0.0;307.25140397839317;0.0;0.0;50.003995795597234;0.0;0.0;0.0;1.898871657789545;0.0;0.0
2059.0;0.0;320.38653240495813;0.0;0.0;50.00452014789365;0.0;0.0;0.0;1.794380929973233;0.0;0.0
2060.0;0.0;316.17014616306307;0.0;0.0;50.00404956509743;0.0;0.0;0.0;3.1176494847022878;0.0;0.0
