Hour;EOM_price;PROD_electrolysis_base;PROD_electrolysis_peak
1.0;13.535846787174924;0.18235687987719296;0.09577068732977216
2.0;7.025725775386906;0.18235687987723045;0.09577068732996367
3.0;5.050484418130988;0.18235687987723978;0.09577068733001186
4.0;9.14975105065441;0.18235687987721944;0.09577068732990701
5.0;3.9253231137539273;0.18235687987724472;0.09577068733003764
6.0;0.12795513657791116;0.18235687987725938;0.09577068733011417
7.0;1.204525761473589;0.18235687987725577;0.09577068733009518
8.0;22.46340931476413;0.18235687987711244;0.0957706873293741
9.0;48.63872637764477;0.1823568798710361;0.09577068731832837
10.0;26.994620214385712;0.1823568798770476;0.09577068732906614
11.0;0.002950092472534964;0.1823568798772599;0.09577068733011693
12.0;0.002804770474994998;0.1823568798772599;0.09577068733011694
13.0;0.002804762121947293;0.1823568798772599;0.09577068733011694
14.0;0.002804740301481718;0.1823568798772599;0.09577068733011693
15.0;0.018161672095839774;0.18235687987725985;0.09577068733011657
16.0;42.71623497885732;0.18235687987620264;0.09577068732585128
17.0;50.01457224865541;0.17098080832477627;0.09577068731178232
18.0;50.01358277543536;0.16610232767751407;0.0957706873117896
19.0;50.01097061675879;0.16624639194510277;0.09577068731180786
20.0;49.997754400728795;0.1599431816907856;0.09577068731190021
21.0;49.99792353999107;0.15736989028845272;0.09577068731189976
22.0;49.99738377641802;0.16637229004092458;0.09577068731190352
23.0;50.00423313465304;0.16907207227279306;0.09577068731185662
24.0;50.00817727638316;0.17428990536752026;0.09577068731182961
25.0;52.75919630742222;2.650792854241804e-12;0.04006609625052735
26.0;52.76742138055106;2.642762314286015e-12;0.0589066131899825
27.0;52.77169662503727;2.638529290442268e-12;0.07359458529588639
28.0;52.77390406559457;2.6363292376760258e-12;0.08597617562188394
29.0;52.77685102530338;2.6334384374183317e-12;0.09123703699908794
30.0;51.792630318702884;4.136419967740705e-12;0.09577068728806405
31.0;51.46834481560634;5.091383993617632e-12;0.09577068729886024
32.0;52.77137492981624;2.637648766357805e-12;0.09471883593554524
