Timestep;H2M_price_h;H2M_price_d;H2M_price_m;H2M_price_y;demand;SMR;electrolysis;SMRCCS
1.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.06673525399160946;2.2361985653577026e-9;0.00035
2.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;2.2361983079659384e-9;0.00035
3.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;2.2361980927214496e-9;0.00035
4.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;2.2361980657085523e-9;0.00035
5.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;2.236198073740864e-9;0.00035
6.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;2.2361984356600177e-9;0.00035
7.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;2.2361977237717872e-9;0.00035
8.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;2.2361999942862927e-9;0.00035
9.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;2.236200004912558e-9;0.00035
10.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;2.236200005163009e-9;0.00035
11.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;2.2362000050556727e-9;0.00035
12.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;2.2362000049841154e-9;0.00035
13.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;2.23620000485889e-9;0.00035
14.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;2.2362000048767796e-9;0.00035
15.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;2.2362000052166768e-9;0.00035
16.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;2.236200005753357e-9;0.00035
17.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;2.2362000065762664e-9;0.00035
18.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.0;2.236200005592353e-9;0.00035
19.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.0;2.236199736876639e-9;0.00035
20.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.0;2.236200006451041e-9;0.00035
21.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.0;2.2362000051451194e-9;0.00035
22.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.0;2.236199994787194e-9;0.00034999999995111733
23.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;2.236199968293088e-9;0.00035
24.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;2.2361992744909754e-9;0.00035
25.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.0;1.7706316693280687e-9;0.00035
26.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.0;1.7706320474191818e-9;0.00035
27.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.011227867745894293;1.7706311150985549e-9;0.00035
28.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;1.77063213015736e-9;0.00035
29.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;1.7706307686178983e-9;0.00035
30.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;1.7706316498644712e-9;0.00035
31.0;0.0;0.0;131.66574980421123;0.0;0.03767123287671233;0.07;1.7706323405001709e-9;0.00035
