Timestep;EOM_price;Demand;Biomass;SPP_lignite;Solar;ICE;WindOffshore;WindOnshore;Nuclear;CCGT_old;CCGT_new;SPP_coal;OCGT;electrolysis
1.0;165.19900121625676;-0.28487954000000004;0.0126;0.024349999999816;1.683027812e-5;0.0;0.009528839995824;0.08506607987344;0.07848000000000001;2.4711507644162803e-14;0.0523723662490004;0.022469999999998175;0.0;-6.7022504083094625e-12
2.0;165.19900121625338;-0.28233063199999997;0.0126;0.024349999999816;1.5840144399999998e-5;0.0;0.009384660009360002;0.08531898748578;0.07848000000000001;2.4711507644171032e-14;0.049715720757673026;0.022469999999998175;0.0;-6.7022504896246254e-12
3.0;165.1990012162511;-0.28039142600000005;0.0126;0.024349999999816;1.5840144399999998e-5;0.0;0.009435690000000002;0.08513718203937999;0.07848000000000001;2.4711507644176384e-14;0.04790729021397138;0.022469999999998175;0.0;-6.702250272784191e-12
4.0;165.1990012162488;-0.277665108;0.0126;0.024349999999816;1.683027812e-5;0.0;0.009073619992584;0.08458096506648001;0.07848000000000001;2.4711507644181685e-14;0.04609826906110888;0.022469999999998175;0.0;-6.702250354099354e-12
5.0;165.19900121624923;-0.278801248;0.0126;0.024349999999816;1.683027812e-5;0.0;0.00874719000324;0.08574650050675;0.07848000000000001;2.4711507644180877e-14;0.04639530361009438;0.022469999999998175;0.0;-6.702250272784191e-12
6.0;165.1990012162531;-0.28366492;0.0126;0.024349999999816;1.683027812e-5;0.0;0.009467280003888;0.08676803139961;0.07848000000000001;2.4711507644171588e-14;0.04951735471565379;0.022469999999998175;0.0;-6.702250354099354e-12
7.0;165.19900121626836;-0.29589681;0.0126;0.024349999999816;2.1780281680000002e-5;0.0;0.009099540004571999;0.08885069462959001;0.07848000000000001;2.471150764413559e-14;0.06002937147778313;0.022469999999998175;0.0;-6.702250272784191e-12
8.0;165.19900121630758;-0.310857744;0.0126;0.024349999999816;0.0005286647916400001;0.0;0.008993430009108;0.08964901874600001;0.07848000000000001;2.4711507644042896e-14;0.07379120683749112;0.022469999999998175;0.0;-6.702250354099354e-12
9.0;165.19900121636957;-0.31669256;0.0126;0.024349999999816;0.00285419572812;0.0;0.0073045800036;0.08770225967058999;0.07848000000000001;2.4711507643895776e-14;0.08093610096704912;0.022469999999998175;0.0;-6.702250272784191e-12
10.0;165.1990012163968;-0.32209970599999993;0.0126;0.024349999999816;0.0080527327166;0.0;0.007302150005256001;0.08641522081077001;0.07848000000000001;2.4711507643830547e-14;0.08243417883015004;0.022469999999998175;0.0;-6.702250354099354e-12
11.0;165.1990012163817;-0.32911517;0.0126;0.024349999999816;0.015675801377800003;0.0;0.007414740000540002;0.08646832230524001;0.07848000000000001;2.471150764386715e-14;0.08166088268288112;0.022469999999998175;0.0;-6.702250272784191e-12
12.0;165.19900121637596;-0.333899634;0.0126;0.024349999999816;0.020726826952280005;0.0;0.007492499998380001;0.08644672169732;0.07848000000000001;2.4711507643880428e-14;0.08133816171983287;0.022469999999998175;0.0;-6.702250354099354e-12
13.0;165.19900121636553;-0.33468972399999997;0.0126;0.024349999999816;0.022106899450000002;0.0;0.007544339996940001;0.08647552250788;0.07848000000000001;2.4711507643905268e-14;0.08066753841550081;0.022469999999998175;0.0;-6.702250272784191e-12
14.0;165.1990012163666;-0.33232339;0.0126;0.024349999999816;0.01928636405644;0.0;0.007662599996832;0.08674193066504;0.07848000000000001;2.4711507643902895e-14;0.08073707165176472;0.022469999999998175;0.0;-6.702250354099354e-12
15.0;165.19900121641055;-0.3291131580000001;0.0126;0.024349999999816;0.014537291248439999;0.0;0.007424460006624;0.08622081484488;0.07848000000000001;2.471150764379652e-14;0.08303516825942168;0.022469999999998175;0.0;-6.702250272784191e-12
16.0;165.19900121650477;-0.32351599600000003;0.0126;0.024349999999816;0.008126983324200001;0.0;0.007514369996184;0.08455846443323001;0.07848000000000001;2.4711507643553726e-14;0.08542075458162814;0.022469999999998175;0.0;-6.702250354099354e-12
17.0;165.19900121671552;-0.320509878;0.0126;0.024349999999816;0.00299576700484;0.0;0.007391249999604001;0.08465296725775001;0.07848000000000001;2.471150764249799e-14;0.08757446997932858;0.022469999999998175;0.0;-6.702250272784191e-12
18.0;165.19900120992816;-0.321108626;0.0126;0.024349999999816;0.0007256765737600001;0.0;0.007328070004536;0.08620011426229;0.07848000000000001;2.471150741607295e-14;0.08895932406830251;0.022469999999998175;0.0;-6.7022504896246254e-12
19.0;165.19900025772512;-0.32147224799999996;0.0126;0.024349999999816;5.9400596919999995e-5;0.0;0.007090739996832;0.08707314064596;0.07848000000000001;2.4711501116545456e-14;0.08935308502070555;0.022469999999998175;0.0;-6.702251113040875e-12
20.0;165.1990012166612;-0.31719631800000003;0.0126;0.024349999999816;2.079014796e-5;0.0;0.005391360002736;0.08673653051306;0.07848000000000001;2.471150764295384e-14;0.08715221361616272;0.022469999999998175;0.0;-6.702250354099354e-12
21.0;165.19900121639176;-0.31047439;0.0126;0.024349999999816;1.881021304e-5;0.0;0.005158890004428001;0.08520918406578001;0.07848000000000001;2.4711507643842816e-14;0.08219208208076101;0.022469999999998175;0.0;-6.702250272784191e-12
22.0;165.199001216309;-0.301958728;0.0126;0.024349999999816;1.881021304e-5;0.0;0.005058450000864;0.08489237449014002;0.07848000000000001;2.471150764403926e-14;0.07409366967983316;0.022469999999998175;0.0;-6.702250354099354e-12
