Timestep;REC_price_h;REC_price_d;REC_price_m;REC_price_y;DAC_h;Biomass_h;Solar_h;WindOffshore_h;WindOnshore_h;electrolysis_h;DAC_d;Biomass_d;Solar_d;WindOffshore_d;WindOnshore_d;electrolysis_d;DAC_m;Biomass_m;Solar_m;WindOffshore_m;WindOnshore_m;electrolysis_m;DAC_y;Biomass_y;Solar_y;WindOffshore_y;WindOnshore_y;electrolysis_y
1.0;0.0;0.0;0.0;5.788688342862503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9533509381022745e-7;110.37599999999986;114.00430019590326;46.292640144592994;114.00430019590326;-0.6092181818334753
2.0;0.0;0.0;0.0;5.788688342862503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9533509381022745e-7;110.37599999999986;114.00430019590326;46.292640144592994;114.00430019590326;-0.6092181818334753
3.0;0.0;0.0;0.0;5.788688342862503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9533509381022745e-7;110.37599999999986;114.00430019590326;46.292640144592994;114.00430019590326;-0.6092181818334753
4.0;0.0;0.0;0.0;5.788688342862503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9533509381022745e-7;110.37599999999986;114.00430019590326;46.292640144592994;114.00430019590326;-0.6092181818334753
5.0;0.0;0.0;0.0;5.788688342862503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9533509381022745e-7;110.37599999999986;114.00430019590326;46.292640144592994;114.00430019590326;-0.6092181818334753
6.0;0.0;0.0;0.0;5.788688342862503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9533509381022745e-7;110.37599999999986;114.00430019590326;46.292640144592994;114.00430019590326;-0.6092181818334753
7.0;0.0;0.0;0.0;5.788688342862503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9533509381022745e-7;110.37599999999986;114.00430019590326;46.292640144592994;114.00430019590326;-0.6092181818334753
8.0;0.0;0.0;0.0;5.788688342862503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9533509381022745e-7;110.37599999999986;114.00430019590326;46.292640144592994;114.00430019590326;-0.6092181818334753
9.0;0.0;0.0;0.0;5.788688342862503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9533509381022745e-7;110.37599999999986;114.00430019590326;46.292640144592994;114.00430019590326;-0.6092181818334753
10.0;0.0;0.0;0.0;5.788688342862503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9533509381022745e-7;110.37599999999986;114.00430019590326;46.292640144592994;114.00430019590326;-0.6092181818334753
11.0;0.0;0.0;0.0;5.788688342862503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9533509381022745e-7;110.37599999999986;114.00430019590326;46.292640144592994;114.00430019590326;-0.6092181818334753
12.0;0.0;0.0;0.0;5.788688342862503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9533509381022745e-7;110.37599999999986;114.00430019590326;46.292640144592994;114.00430019590326;-0.6092181818334753
13.0;0.0;0.0;0.0;5.788688342862503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9533509381022745e-7;110.37599999999986;114.00430019590326;46.292640144592994;114.00430019590326;-0.6092181818334753
14.0;0.0;0.0;0.0;5.788688342862503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9533509381022745e-7;110.37599999999986;114.00430019590326;46.292640144592994;114.00430019590326;-0.6092181818334753
15.0;0.0;0.0;0.0;5.788688342862503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9533509381022745e-7;110.37599999999986;114.00430019590326;46.292640144592994;114.00430019590326;-0.6092181818334753
16.0;0.0;0.0;0.0;5.788688342862503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9533509381022745e-7;110.37599999999986;114.00430019590326;46.292640144592994;114.00430019590326;-0.6092181818334753
17.0;0.0;0.0;0.0;5.788688342862503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9533509381022745e-7;110.37599999999986;114.00430019590326;46.292640144592994;114.00430019590326;-0.6092181818334753
