Year;CAP_SMR;CAP_SMRCCS;CAP_electrolysis_base;CAP_electrolysis_peak;PROD_SMR;PROD_SMRCCS;PROD_electrolysis_base;PROD_electrolysis_peak;CN_CAP_electrolysis_base;CN_CAP_electrolysis_peak;CN_PROD_electrolysis_base;CN_PROD_electrolysis_peak;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;70.0;0.35;0.1;0.1;9.327495622219523;0.09290909090909087;0.026545454545450074;0.02654545454543535;0.0;0.0;0.0;0.0;1450.8103193633801;0.0;0.0
2022.0;70.0;0.35;0.1;0.1;10.438606733330563;0.09290909090909087;0.026545454545450164;0.026545454545435766;0.0;0.0;0.0;0.0;1456.0903193633799;0.0;0.0
2023.0;65.33333333333333;0.32666666666666666;0.14500000000000002;0.14500000000000002;11.5320208747447;0.08671515151515148;0.0384909090909048;0.038490909090890826;0.0;0.0;0.0;0.0;1453.8903193633798;0.0;0.0
2024.0;61.52968533257648;0.8283333333333333;0.24000000000000005;0.24000000000000005;12.43067063283149;0.21988484848484846;0.06370909090908666;0.06370909090907279;0.0;0.0;0.0;0.0;1591.5730436130118;0.0;0.0
2025.0;57.7426144155739;1.1549999999999998;0.35999999999999893;0.36000000000000004;13.356963682765706;0.30659999999999993;0.09556363636363183;0.09556363636361827;0.0;0.0;0.0;0.0;1742.5864637980335;0.0;0.0
2026.0;53.6953919810905;1.4816666666666665;0.5249999999999981;0.5250000000000001;14.253685871332141;0.39331515151515145;0.13936363636363164;0.13936363636361826;0.0;0.0;0.0;0.0;1908.4359499030966;0.0;0.0
2027.0;56.17238965056637;2.5725000000028957;0.747499999999997;0.7475;14.911216161778698;0.682881818181784;0.19842727272726768;0.19842727272725458;0.0;0.0;0.0;0.0;2089.848908411569;0.0;0.0
2028.0;57.96504906192809;4.165000000010413;1.0499999999999956;1.05;15.387085750976178;1.1056181818182453;0.2787272727272674;0.27872727272725456;0.0;0.0;0.0;0.0;2290.063138379931;0.0;0.0
2029.0;59.01477309487953;6.2591666666899215;1.4612499999999937;1.4612500000000002;15.665739766995653;1.661524242423074;0.38789545454544866;0.3878954545454364;0.0;0.0;0.0;0.0;2509.478775165069;0.0;0.0
2030.0;58.093870628563884;10.00125000004868;2.0212499999999913;2.02125;15.421282021396976;2.654877272727426;0.5365499999999934;0.5365499999999819;0.0;0.0;0.0;0.0;2749.9281017394414;0.0;0.0
2031.0;55.80432851522121;16.143750000103005;2.7843749999999883;2.7843750000000003;14.813512660403113;4.285431818171638;0.7391249999999926;0.7391249999999818;0.0;0.0;0.0;0.0;3015.89775063837;0.0;0.0
2032.0;51.13766184855869;25.43916666684006;3.8249999999999833;3.825;13.213750813713395;6.752942424268781;1.0153636363636278;1.0153636363636183;0.0;0.0;0.0;0.0;3302.000411286419;0.0;0.0
2033.0;46.4709951818965;40.35937500012217;5.244687499999977;5.2446875;9.911269735294914;10.713579545457536;1.3922261363636261;1.3922261363636184;0.0;0.0;0.0;0.0;3618.450522207369;0.0;0.0
2034.0;41.80432851523472;64.50499999991142;7.182187499999969;7.1821875;3.875884290117982;17.123145454579834;1.906544318181806;1.9065443181818;0.0;0.0;0.0;0.0;3965.214506058795;0.0;0.0
2035.0;37.13766184857341;82.54708134890464;9.827031249999958;9.827031250000001;1.2922732804884615e-15;21.91249795815833;2.6086301136363153;2.6086301136362016;0.0;0.0;0.0;0.0;492.8295171858888;0.0;0.0
2036.0;32.47099518191259;82.52374801557141;13.438124999999943;13.438125;1.4375160535012702e-15;21.48809490514394;3.5672113636363108;3.5672113636362;0.0;0.0;0.0;0.0;534.281953092461;0.0;0.0
2037.0;27.80432851525233;82.50041468223822;18.369140624999922;18.369140625;1.4982369114094083e-15;20.360910228586494;4.876171874999941;4.8761718749998355;0.0;0.0;0.0;0.0;585.310854505785;0.0;0.0
2038.0;27.804328515259325;82.50041468223836;25.103203124999894;25.103203125;1.4730624649562487e-15;18.274440785447393;6.663759374999935;6.663759374999835;0.0;0.0;0.0;0.0;641.2232151177342;0.0;0.0
2039.0;27.80432851526696;82.50041468223851;34.300273437499854;34.300273437499996;1.5178096545083187e-15;14.87826545731487;9.105163494318106;9.105163494318019;0.0;0.0;0.0;0.0;702.4846089340091;0.0;0.0
2040.0;27.804328515275653;82.50041468223868;46.8618749999998;46.86187499999999;1.611148903008622e-15;9.69368528269343;12.439697727272637;12.439697727272563;0.0;0.0;0.0;0.0;769.604689552707;0.0;0.0
2041.0;27.804328515285558;82.50041468223888;64.01951171874973;64.01951171874998;1.696218037326359e-15;2.066784158763576;16.99427038352262;16.994270383522558;0.0;0.0;0.0;0.0;843.1412964623569;0.0;0.0
2042.0;27.804328515285558;82.50041468223888;75.51413878570389;80.6555837873583;0.0;0.0;17.355330035208024;20.64460161663523;0.0;0.0;0.0;0.0;0.41613118481261097;0.0;0.0
2043.0;27.804328515285558;82.50041468223888;83.40728879647112;80.60558378738234;0.0;0.0;19.068268854750105;20.431837839406803;0.0;0.0;0.0;0.0;0.4400884425336379;0.0;0.0
2044.0;27.804328515285558;82.50041468223888;90.90106068143747;81.34537923305211;0.0;0.0;20.282739511355924;20.7172916603555;0.0;0.0;0.0;0.0;0.4921177520516234;0.0;0.0
2045.0;27.804328515285558;82.50041468223888;97.27851097814082;83.26470108053601;0.0;0.0;21.323735748109595;21.1762545194151;0.0;0.0;0.0;0.0;0.47224049044959726;0.0;0.0
