Timestep;EOM_price;Demand;Biomass;SPP_lignite;Solar;ICE;WindOffshore;WindOnshore;Nuclear;CCGT_old;CCGT_new;SPP_coal;OCGT;electrolysis
1.0;163.0500278522743;-0.28487954000000004;0.0126;0.024349999999991264;1.683027812e-5;0.0;0.009528839995824;0.08506607987344;0.07848000000000001;5.79569805863301e-14;0.052362347202105745;0.022469999999965865;0.0;-7.984229935726651e-11
2.0;163.05002785225605;-0.28233063199999997;0.0126;0.024349999999991264;1.5840144399999998e-5;0.0;0.009384660009360002;0.08531898748578;0.07848000000000001;5.795698058631798e-14;0.04970570171056549;0.022469999999965865;0.0;-7.984229935726651e-11
3.0;163.05002785224406;-0.28039142600000005;0.0126;0.024349999999991264;1.5840144399999998e-5;0.0;0.009435690000000002;0.08513718203937999;0.07848000000000001;5.79569805863103e-14;0.047897271166733854;0.022469999999965865;0.0;-7.984229935726651e-11
4.0;163.05002785223212;-0.277665108;0.0126;0.024349999999991264;1.683027812e-5;0.0;0.009073619992584;0.08458096506648001;0.07848000000000001;5.795698058630182e-14;0.04608825001372847;0.022469999999965865;0.0;-7.984229935726651e-11
5.0;163.0500278522341;-0.278801248;0.0126;0.024349999999991264;1.683027812e-5;0.0;0.00874719000324;0.08574650050675;0.07848000000000001;5.795698058630344e-14;0.046385284562735926;0.022469999999965865;0.0;-7.984229935726651e-11
6.0;163.0500278522547;-0.28366492;0.0126;0.024349999999991264;1.683027812e-5;0.0;0.009467280003888;0.08676803139961;0.07848000000000001;5.795698058631717e-14;0.04950733566853212;0.022469999999965865;0.0;-7.984229935726651e-11
7.0;163.05002785233506;-0.29589681;0.0126;0.024349999999991264;2.1780281680000002e-5;0.0;0.009099540004571999;0.08885069462959001;0.07848000000000001;5.795698058637048e-14;0.06001935243159309;0.022469999999965865;0.0;-7.984229935726651e-11
8.0;163.05002785254203;-0.310857744;0.0126;0.024349999999991264;0.0005286647916400001;0.0;0.008993430009108;0.08964901874600001;0.07848000000000001;5.79569805865074e-14;0.07378118779369229;0.022469999999965865;0.0;-7.984229935726651e-11
9.0;163.05002785286973;-0.31669256;0.0126;0.024349999999991264;0.00285419572812;0.0;0.0073045800036;0.08770225967058999;0.07848000000000001;5.79569805867239e-14;0.08092608192705422;0.022469999999965865;0.0;-7.984229935726651e-11
10.0;163.05002785301497;-0.32209970599999993;0.0126;0.024349999999991264;0.0080527327166;0.0;0.007302150005256001;0.08641522081077001;0.07848000000000001;5.795698058681962e-14;0.08242415979182519;0.022469999999965865;0.0;-7.984229938437157e-11
11.0;163.05002785293362;-0.32911517;0.0126;0.024349999999991264;0.015675801377800003;0.0;0.007414740000540002;0.08646832230524001;0.07848000000000001;5.79569805867659e-14;0.08165086364361841;0.022469999999965865;0.0;-7.984229938437157e-11
12.0;163.05002785290384;-0.333899634;0.0126;0.024349999999991264;0.020726826952280005;0.0;0.007492499998380001;0.08644672169732;0.07848000000000001;5.795698058674692e-14;0.08132814268023321;0.022469999999965865;0.0;-7.984229935726651e-11
13.0;163.05002785284861;-0.33468972399999997;0.0126;0.024349999999991264;0.022106899450000002;0.0;0.007544339996940001;0.08647552250788;0.07848000000000001;5.795698058670976e-14;0.08065751937525628;0.022469999999965865;0.0;-7.984229935726651e-11
14.0;163.05002785285402;-0.33232339;0.0126;0.024349999999991264;0.01928636405644;0.0;0.007662599996832;0.08674193066504;0.07848000000000001;5.795698058671339e-14;0.08072705261158526;0.022469999999965865;0.0;-7.984229935726651e-11
15.0;163.05002785309046;-0.3291131580000001;0.0126;0.024349999999991264;0.014537291248439999;0.0;0.007424460006624;0.08622081484488;0.07848000000000001;5.79569805868697e-14;0.08302514922195339;0.022469999999965865;0.0;-7.984229938437157e-11
16.0;163.05002785362512;-0.32351599600000003;0.0126;0.024349999999991264;0.008126983324200001;0.0;0.007514369996184;0.08455846443323001;0.07848000000000001;5.795698058720938e-14;0.08541073554969039;0.022469999999965865;0.0;-7.984229935726651e-11
17.0;163.05002785607897;-0.320509878;0.0126;0.024349999999991264;0.00299576700484;0.0;0.007391249999604001;0.08465296725775001;0.07848000000000001;5.795698058838835e-14;0.08756445094249571;0.022469999999965865;0.0;-7.984229935726651e-11
18.0;163.05002817261325;-0.321108626;0.0126;0.024349999999991264;0.0007256765737600001;0.0;0.007328070004536;0.08620011426229;0.07848000000000001;5.795698064658705e-14;0.08894930641617525;0.022469999999965865;0.0;-7.984229933016146e-11
19.0;163.0500347701175;-0.32147224799999996;0.0126;0.024349999999991264;5.9400596919999995e-5;0.0;0.007090739996832;0.08707314064596;0.07848000000000001;5.795698054022851e-14;0.08934313231993513;0.022469999999965865;0.0;-7.984229938437157e-11
20.0;163.05002785501438;-0.31719631800000003;0.0126;0.024349999999991264;2.079014796e-5;0.0;0.005391360002736;0.08673653051306;0.07848000000000001;5.795698058794932e-14;0.08714219458622845;0.022469999999965865;0.0;-7.984229935726651e-11
21.0;163.05002785298777;-0.31047439;0.0126;0.024349999999991264;1.881021304e-5;0.0;0.005158890004428001;0.08520918406578001;0.07848000000000001;5.795698058680185e-14;0.0821820630421242;0.022469999999965865;0.0;-7.984229935726651e-11
22.0;163.05002785255013;-0.301958728;0.0126;0.024349999999991264;1.881021304e-5;0.0;0.005058450000864;0.08489237449014002;0.07848000000000001;5.795698058651225e-14;0.07408365063612121;0.022469999999965865;0.0;-7.984229935726651e-11
23.0;163.05002785242672;-0.29501343399999996;0.0126;0.024349999999991264;1.881021304e-5;0.0;0.005674049996472;0.08347843172905002;0.07848000000000001;5.795698058643107e-14;0.06793669940577671;0.022469999999965865;0.0;-7.984229935726651e-11
24.0;163.05002785234953;-0.28822332;0.0126;0.024349999999991264;1.881021304e-5;0.0;0.006036120003888;0.08272780879026;0.07848000000000001;5.795698058637937e-14;0.06153513833975874;0.022469999999965865;0.0;-7.984229938437157e-11
25.0;163.05002785253905;-0.25112011;0.0126;0.02434999999999308;1.683027812e-5;0.0;0.006204599999208;0.04342001679544;0.07848000000000001;4.59262934410469e-14;0.06357322028273209;0.022469999999972953;0.0;-6.345346242799671e-11
26.0;163.05002785249278;-0.247231508;0.0126;0.02434999999999308;1.683027812e-5;0.0;0.0073896299964719995;0.04453425062703;0.07848000000000001;4.592629344102246e-14;0.05738535445543936;0.022469999999972953;0.0;-6.345346242799671e-11
27.0;163.05002785247777;-0.24718417;0.0126;0.02434999999999308;1.7820190160000002e-5;0.0;0.008163989994024;0.04612189877142;0.07848000000000001;4.592629344101499e-14;0.054975018401964566;0.022469999999972953;0.0;-6.345346242799671e-11
28.0;163.0500278524703;-0.248009674;0.0126;0.02434999999999308;1.683027812e-5;0.0;0.008693730001548;0.04767534595327;0.07848000000000001;4.592629344101075e-14;0.05371832512488239;0.022469999999972953;0.0;-6.345346242799671e-11
29.0;163.05002785247564;-0.250185334;0.0126;0.02434999999999308;1.5840144399999998e-5;0.0;0.00915623999982;0.04847547012034001;0.07848000000000001;4.592629344101358e-14;0.0546323410930807;0.022469999999972953;0.0;-6.345346242799671e-11
30.0;163.05002785250548;-0.257285702;0.0126;0.02434999999999308;1.5840144399999998e-5;0.0;0.009438120011052;0.050644535782000004;0.07848000000000001;4.592629344102933e-14;0.0592817634191793;0.022469999999972953;0.0;-6.345346242799671e-11
