Year;ADD_CAP_SMR;ADD_CAP_electrolysis;ADD_CAP_SMRCCS;CAP_SMR;CAP_electrolysis;CAP_SMRCCS;PROD_SMR;PROD_electrolysis;PROD_SMRCCS;CN_CAP_electrolysis;CN_PROD_electrolysis;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;1.7594176197470423e-10;0.6749999999965;2.7803170856400876e-11;70.0;0.135;0.35;9.907091971151988;5.288615050666115e-10;0.0929090909071512;0.0;0.0;4.249812156465089;0.0;0.0
2022.0;1.7604382815210353e-10;4.049999999960811;2.362839372908216e-13;70.0;0.8099999999965;0.35;11.07445286072519;0.03665769574764597;3.3005715319845568e-12;0.0;0.0;7.329813876397759;0.0;0.0
2023.0;1.779256511434427e-10;24.299999999641717;1.469644592093844e-14;65.33333333350927;4.850999999957311;0.3266666666944698;11.993594329491968;0.14191281738743378;0.08671515152078417;0.0;0.0;4.249806587802288;0.0;0.0
2024.0;2.0599606504297034e-10;56.589195517863544;1.3602222688423921e-14;60.66666666701866;29.141999999599026;0.3033333333613728;10.296354793821997;2.9560080909195574;0.08052121212759437;6.000000030729896;1.0000000000401927;3.0644212460618907;6.4558476826146664e-9;1.1813935537441147e-6
2025.0;2.4077812651490177e-10;41.32095113547247;1.2019675722574978e-14;56.00000000052991;85.72219551746258;0.28000000002805414;4.564565070384476;9.805792878151792;0.07432727273374073;6.000000066095982;0.9999999999968349;2.937627236470372;-5.644427188252996e-10;3.1076125313513335e-6
2026.0;2.831070009472719e-10;9.960027183267544;1.1632069589627706e-14;51.33333333406924;127.03414665293505;0.2566666666947344;5.6989911362141684e-5;15.4873148221993;0.06813333333980172;6.000000130750652;0.9999999999843106;2.9706336018389465;-3.091609993149289e-9;7.212814506069011e-6
2027.0;3.40219071183042e-10;9.424055656636465;1.1789874745627645e-14;46.66666666764335;136.9851738362026;0.23333333336141307;4.4058563684224197e-7;16.60466244265303;0.06193939394570032;6.000000237712497;0.9999999999828904;2.9007782407385028;-3.7103386333036615e-9;1.4863765272875697e-5
2028.0;4.081268109554618e-10;8.90904326215008;1.4429454840661405e-14;42.00000000125979;146.40022949283903;0.2100000000280914;1.3955066699544115e-7;17.721975089158267;0.055745454551515694;6.000000403007771;0.9999999999815703;2.821316363141348;-4.383121161964018e-9;2.8134605998824677e-5
2029.0;5.03217230024744e-10;7.525605698518406;1.816085542104778e-14;37.33333333493335;155.30027275498912;0.18666666669476983;7.726973577863956e-8;18.83930030885483;0.04955151515712762;6.000000643389591;0.9999999999806946;2.720569908647481;-5.023610262810387e-9;4.9804517770397e-5
2030.0;6.724056572296878e-10;9.123062982464049;2.4634207597536057e-14;32.6666666686748;162.8168784535075;0.16333333336145095;6.41936685158111e-8;19.956640757714265;0.043357575762921645;100.00038364447673;10.000000000003455;2.689144174397638;9.834994604979286e-10;0.03310269171453543
