Year;CAP_SMR;CAP_electrolysis;CAP_SMRCCS;PROD_SMR;PROD_electrolysis;PROD_SMRCCS;CN_CAP_electrolysis;CN_PROD_electrolysis;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;70.0;0.135;0.35;9.90145903773757;8.478735179136469e-11;0.09290909090896622;0.0;0.0;4.236816696489156;0.0;0.0
2022.0;70.0;1.4309999999997562;0.35;11.041811342601655;0.06446829232169358;0.0;0.0;0.0;9.5168407485252;0.0;0.0
2023.0;65.33333333333798;13.998599999995024;0.32666666666672545;10.000012679160575;2.2360145224813346;0.0;0.0;0.0;7.33508575852646;0.0;0.0
2024.0;60.66666666667596;104.59565792340179;0.30333333333345086;0.0;13.333178318335582;0.0;0.0;0.0;2.9229267536805703;0.0;0.0
2025.0;56.00000000001393;114.73575410441953;0.2800000000001763;0.0;14.444428188556051;0.0;0.0;0.0;2.8947353744427224;0.0;0.0
2026.0;51.333333333352456;126.27548190993161;0.2566666666669167;0.0;15.555481939334237;0.0;0.0;0.0;2.8694149664892046;0.0;0.0
2027.0;46.666666666691654;136.2014440384854;0.23333333333367928;2.738172258808808e-9;16.604561587624477;0.06193939393941332;0.0;0.0;2.9068374545683193;0.0;0.0
2028.0;42.000000000031605;146.15897879187528;0.210000000000435;6.891887351709891e-12;17.72273113311487;0.05574545454547968;0.0;0.0;2.829458342643664;0.0;0.0
2029.0;37.33333333337242;155.06115424401332;0.1866666666671881;1.6627333629281254e-11;18.839366146091105;0.049551515151532825;0.0;0.0;2.7318748687434544;0.0;0.0
2030.0;32.66666666671425;162.3436947843472;0.16333333333394243;1.3914432684008163e-11;19.956644914366496;0.043357575757597404;0.0;0.0;2.6959276492577136;0.0;0.0
2031.0;28.000000000057284;172.35463421345932;0.14000000000069868;1.0749943824919276e-11;21.463051326861756;0.03716363636362662;0.0;0.0;2.6319329700400558;0.0;0.0
2032.0;23.333333333401747;185.74439901468952;0.11666666666745998;1.2439904083600361e-11;22.96907202931155;0.030969696969733923;0.0;0.0;2.7195966359489825;0.0;0.0
2033.0;18.666666666747933;203.17083004645454;0.0933333333342235;1.0129430446097917e-11;24.47508102116302;0.024775757575735996;0.0;0.0;2.6427385877333043;0.0;0.0
