Year;CAP;Supply;Cancellation;MSR;TNAC;Emissions_Ind;Emissions_H2S;Emissions_PS;EUAprice;EUAs_Ind;EUAs_PS
2021.0;1636.083007;1636.083007;0.0;0.0;2616.361067127892;512.9;85.59436587210782;6.068028815157852e-14;80.0;4448.320159997669;1142.3229234243652
2022.0;1550.6159844786314;1550.6159844786314;0.0;0.0;3343.2050291248042;728.1554343873894;95.61658809433038;6.027912113814194e-14;133465.97318907047;1577.7985953221828;5.479421243422426e-13
2023.0;1465.1489619572628;1465.1489619572628;0.0;0.0;3974.9637057092555;728.1567957527766;105.23348962003526;4.427585727224284e-14;133465.97318624327;1492.3315718916213;5.516887278497973e-13
2024.0;1379.6819394358943;1379.6819394358943;0.0;0.0;4514.401584888779;728.1518976675741;112.09216258879633;2.255319801407142e-14;146178.04354367923;1409.5968893720824;5.579739805207964e-13
2025.0;1294.2149169145257;1294.2149169145257;0.0;0.0;4960.547508119435;728.1469895882486;119.92200409562102;1.469820493407495e-14;160090.29139115318;1327.1220830645873;5.62099380556589e-13
2026.0;1208.7478943931571;1208.7478943931571;0.0;0.0;5313.89018693428;728.1420718850949;127.26314369321784;1.2940909938227764e-14;175314.07283715348;1244.9310411360084;5.641752710531954e-13
2027.0;1123.2808718717886;1123.2808718717886;0.0;0.0;5582.063467089842;728.1371451720863;126.97044654414061;1.2860939508359278e-14;191970.19336973838;1163.0631473865326;5.68607074277799e-13
2028.0;1037.81384935042;1037.81384935042;0.0;0.0;5768.684222330721;728.1322100799862;123.06088402955481;1.2123397461138565e-14;210190.06116608885;1081.5497085571026;5.676890273659407e-13
2029.0;952.3468268290513;952.3468268290513;0.0;0.0;5878.313415017078;728.1272672764803;114.59036686621431;1.100318720546315e-14;230116.54632552006;1000.4269902709017;5.623038603344127e-13
2030.0;866.8798043076827;866.8798043076827;0.0;0.0;5936.854763851898;728.1223175495487;80.21613792331443;1.0781077786542793e-14;251904.5812615224;919.7353862597697;5.520856037191595e-13
2031.0;781.412781786314;781.412781786314;0.0;0.0;5973.86469014098;728.117361765888;16.285493731343102;1.0897422919990595e-14;275722.14975870645;839.5199771979409;2.6389538655748053e-13
