Timestep;H2M_price_h;H2M_price_d;H2M_price_m;H2M_price_y;demand;SMR;electrolysis;SMRCCS
1.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726615253e-14;0.0003499999994968802
2.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726613476e-14;0.0003499999994968802
3.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726612345e-14;0.0003499999994968802
4.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726611214e-14;0.0003499999994968802
5.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726611416e-14;0.0003499999994968802
6.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726613395e-14;0.0003499999994968802
7.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726620989e-14;0.0003499999994968802
8.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726640537e-14;0.0003499999994968802
9.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726671597e-14;0.0003499999994968802
10.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.43997872668533e-14;0.0003499999994968802
11.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726677615e-14;0.0003499999994968802
12.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726674788e-14;0.0003499999994968802
13.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726669577e-14;0.0003499999994968802
14.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726670103e-14;0.0003499999994968802
15.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726692438e-14;0.0003499999994968802
16.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726739169e-14;0.0003499999994968802
17.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.43997872685957e-14;0.0003499999994968802
18.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.43997873919894e-14;0.0003499999994968802
19.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978930101765e-14;0.0003499999994968802
20.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726821806e-14;0.0003499999994968802
21.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726682745e-14;0.0003499999994968802
22.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726641345e-14;0.0003499999994968802
23.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726629672e-14;0.0003499999994968802
24.0;132.32621585223694;0.0;0.0;0.0;0.03767123287671233;0.0373241996854544;6.439978726622322e-14;0.0003499999994968802
25.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.1100482640407134e-14;0.0003499999995973222
26.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.11004826403728e-14;0.0003499999995973222
27.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.110048264036109e-14;0.0003499999995973222
28.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.110048264035584e-14;0.0003499999995973222
29.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.110048264036028e-14;0.0003499999995973222
30.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.1100482640382496e-14;0.0003499999995973222
31.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.1100482640477816e-14;0.0003499999995973222
32.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.110048264150412e-14;0.0003499999995973222
33.0;132.3262158522082;0.0;0.0;0.0;0.03767123287671233;0.0373241997093493;3.348959154498676e-14;0.0003499999995973222
34.0;132.3262158522082;0.0;0.0;0.0;0.03767123287671233;0.0373241997093493;3.3489591542901644e-14;0.0003499999995973222
35.0;132.3262158522082;0.0;0.0;0.0;0.03767123287671233;0.0373241997093493;3.348959154228328e-14;0.0003499999995973222
36.0;132.3262158522082;0.0;0.0;0.0;0.03767123287671233;0.0373241997093493;3.3489591010489347e-14;0.0003499999995973222
37.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.1100482641582473e-14;0.0003499999995973222
38.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.110048264097703e-14;0.0003499999995973222
39.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.110048264094957e-14;0.0003499999995973222
40.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.1100482641076795e-14;0.0003499999995973222
41.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.110048264150533e-14;0.0003499999995973222
42.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.110065984787441e-14;0.0003499999995973222
43.0;132.3262158522082;0.0;0.0;0.0;0.03767123287671233;0.0373241997093493;3.3489591546690196e-14;0.0003499999995973222
44.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.1100482651517527e-14;0.0003499999995973222
45.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.110048264079649e-14;0.0003499999995973222
46.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.1100482640506896e-14;0.0003499999995973222
47.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.110048264043702e-14;0.0003499999995973222
48.0;132.3262158520339;0.0;0.0;0.0;0.03767123287671233;0.03732419970912449;5.110048264039098e-14;0.0003499999995973222
49.0;132.3262158525439;0.0;0.0;0.0;0.03767123287671233;0.03732419964887881;8.48815294183174e-14;0.00034999999934084004
50.0;132.3262158525439;0.0;0.0;0.0;0.03767123287671233;0.03732419964887881;8.488152941821642e-14;0.00034999999934084004
51.0;132.3262158525439;0.0;0.0;0.0;0.03767123287671233;0.03732419964887881;8.488152941819946e-14;0.00034999999934084004
52.0;132.3262158525439;0.0;0.0;0.0;0.03767123287671233;0.03732419964887881;8.488152941819704e-14;0.00034999999934084004
53.0;132.3262158525439;0.0;0.0;0.0;0.03767123287671233;0.03732419964887881;8.488152941822208e-14;0.00034999999934084004
54.0;132.3262158525439;0.0;0.0;0.0;0.03767123287671233;0.03732419964887881;8.488152941838525e-14;0.00034999999934084004
55.0;132.3262158525439;0.0;0.0;0.0;0.03767123287671233;0.03732419964887881;8.48815294193651e-14;0.00034999999934084004
56.0;132.32621585283223;0.0;0.0;0.0;0.03767123287671233;0.037324199649249136;5.574778287523317e-14;0.00034999999934084004
57.0;132.32621585283223;0.0;0.0;0.0;0.03767123287671233;0.037324199649249136;5.5747787630287383e-14;0.00034999999934084004
58.0;132.3262158525439;0.0;0.0;0.0;0.03767123287671233;0.03732419964887881;8.48815294215623e-14;0.00034999999934084004
59.0;132.3262158525439;0.0;0.0;0.0;0.03767123287671233;0.03732419964887881;8.488152941870029e-14;0.00034999999934084004
60.0;132.3262158525439;0.0;0.0;0.0;0.03767123287671233;0.03732419964887881;8.488152941839414e-14;0.00034999999934084004
61.0;132.3262158525439;0.0;0.0;0.0;0.03767123287671233;0.03732419964887881;8.488152941832547e-14;0.00034999999934084004
62.0;132.3262158525439;0.0;0.0;0.0;0.03767123287671233;0.03732419964887881;8.488152941826489e-14;0.00034999999934084004
63.0;132.3262158525439;0.0;0.0;0.0;0.03767123287671233;0.03732419964887881;8.488152941823904e-14;0.00034999999934084004
64.0;132.3262158525439;0.0;0.0;0.0;0.03767123287671233;0.03732419964887881;8.488152941829478e-14;0.00034999999934084004
65.0;132.3262158525439;0.0;0.0;0.0;0.03767123287671233;0.03732419964887881;8.488152941855085e-14;0.00034999999934084004
66.0;132.3262158525439;0.0;0.0;0.0;0.03767123287671233;0.03732419964887881;8.48815294212925e-14;0.00034999999934084004
67.0;132.32621585283223;0.0;0.0;0.0;0.03767123287671233;0.037324199649249136;5.574778773231656e-14;0.00034999999934084004
68.0;132.32621585283223;0.0;0.0;0.0;0.03767123287671233;0.037324199649249136;5.574778773043561e-14;0.00034999999934084004
69.0;132.32621585283223;0.0;0.0;0.0;0.03767123287671233;0.037324199649249136;5.5747787730327366e-14;0.00034999999934084004
70.0;132.32621585283223;0.0;0.0;0.0;0.03767123287671233;0.037324199649249136;5.574778773000021e-14;0.00034999999934084004
71.0;132.3262158525439;0.0;0.0;0.0;0.03767123287671233;0.03732419964887881;8.488152942260517e-14;0.00034999999934084004
72.0;132.3262158525439;0.0;0.0;0.0;0.03767123287671233;0.03732419964887881;8.488152941903472e-14;0.00034999999934084004
73.0;132.3262158520704;0.0;0.0;0.0;0.03767123287671233;0.03732419970496476;5.3394085340773424e-14;0.00034999999957966793
74.0;132.3262158520704;0.0;0.0;0.0;0.03767123287671233;0.03732419970496476;5.3394085340724957e-14;0.00034999999957966793
75.0;132.3262158520704;0.0;0.0;0.0;0.03767123287671233;0.03732419970496476;5.339408534067326e-14;0.00034999999957966793
76.0;132.3262158520704;0.0;0.0;0.0;0.03767123287671233;0.03732419970496476;5.3394085340592075e-14;0.00034999999957966793
77.0;132.3262158520704;0.0;0.0;0.0;0.03767123287671233;0.03732419970496476;5.339408534052624e-14;0.00034999999957966793
78.0;132.3262158520704;0.0;0.0;0.0;0.03767123287671233;0.03732419970496476;5.339408534058036e-14;0.00034999999957966793
79.0;132.3262158520704;0.0;0.0;0.0;0.03767123287671233;0.03732419970496476;5.339408534060904e-14;0.00034999999957966793
80.0;132.3262158520704;0.0;0.0;0.0;0.03767123287671233;0.03732419970496476;5.3394085340628425e-14;0.00034999999957966793
81.0;132.3262158520704;0.0;0.0;0.0;0.03767123287671233;0.03732419970496476;5.3394085340603384e-14;0.00034999999957966793
82.0;132.3262158520704;0.0;0.0;0.0;0.03767123287671233;0.03732419970496476;5.3394085340593286e-14;0.00034999999957966793
83.0;132.3262158520704;0.0;0.0;0.0;0.03767123287671233;0.03732419970496476;5.339408534063489e-14;0.00034999999957966793
84.0;132.3262158520704;0.0;0.0;0.0;0.03767123287671233;0.03732419970496476;5.339408534067124e-14;0.00034999999957966793
85.0;132.3262158520704;0.0;0.0;0.0;0.03767123287671233;0.03732419970496476;5.3394085340378413e-14;0.00034999999957966793
86.0;132.3262158520704;0.0;0.0;0.0;0.03767123287671233;0.03732419970496476;5.339408533893529e-14;0.00034999999957966793
87.0;132.32621585138764;0.0;0.0;0.0;0.03767123287671233;0.037324199704088006;1.2237342268463864e-13;0.00034999999957966793
88.0;132.32621585172774;0.0;0.0;0.0;0.03767123287671233;0.03732419970452087;8.795869507274522e-14;0.00034999999957966793
89.0;132.3262158520704;0.0;0.0;0.0;0.03767123287671233;0.03732419970496476;5.3394085340198275e-14;0.00034999999957966793
90.0;132.3262158520704;0.0;0.0;0.0;0.03767123287671233;0.03732419970496476;5.3394085340789176e-14;0.00034999999957966793
