Timestep;EOM_price;Demand;Biomass;SPP_lignite;Solar;ICE;WindOffshore;WindOnshore;Nuclear;CCGT_old;CCGT_new;SPP_coal;OCGT;electrolysis
1.0;174.4198955973788;-0.28487954000000004;0.0126;0.024349999999811425;1.683027812e-5;0.0;0.009528839995824;0.08506607987344;0.07848000000000001;4.652318967537716e-13;0.052411179065376304;0.022469999999979687;0.0;-2.43742455689408e-12
2.0;174.41989559738445;-0.28233063199999997;0.0126;0.024349999999811425;1.5840144399999998e-5;0.0;0.009384660009360002;0.08531898748578;0.07848000000000001;4.65231896753875e-13;0.04975453357343524;0.022469999999979687;0.0;-2.43742455689408e-12
3.0;174.41989559738815;-0.28039142600000005;0.0126;0.024349999999811425;1.5840144399999998e-5;0.0;0.009435690000000002;0.08513718203937999;0.07848000000000001;4.652318967539461e-13;0.047946103029336266;0.022469999999979687;0.0;-2.43742455689408e-12
4.0;174.41989559739176;-0.277665108;0.0126;0.024349999999811425;1.683027812e-5;0.0;0.009073619992584;0.08458096506648001;0.07848000000000001;4.652318967540042e-13;0.04613708187607042;0.022469999999979687;0.0;-2.43742455689408e-12
5.0;174.4198955973912;-0.278801248;0.0126;0.024349999999811425;1.683027812e-5;0.0;0.00874719000324;0.08574650050675;0.07848000000000001;4.652318967540107e-13;0.04643411642512205;0.022469999999979687;0.0;-2.43742455689408e-12
6.0;174.41989559738482;-0.28366492;0.0126;0.024349999999811425;1.683027812e-5;0.0;0.009467280003888;0.08676803139961;0.07848000000000001;4.652318967539073e-13;0.04955616753137499;0.022469999999979687;0.0;-2.43742455689408e-12
7.0;174.41989559736007;-0.29589681;0.0126;0.024349999999811425;2.1780281680000002e-5;0.0;0.009099540004571999;0.08885069462959001;0.07848000000000001;4.652318967534097e-13;0.06006818429620791;0.022469999999979687;0.0;-2.43742455689408e-12
8.0;174.4198955972946;-0.310857744;0.0126;0.024349999999811425;0.0005286647916400001;0.0;0.008993430009108;0.08964901874600001;0.07848000000000001;4.652318967521431e-13;0.07383001966288424;0.022469999999979687;0.0;-2.43742455689408e-12
9.0;174.41989559717888;-0.31669256;0.0126;0.024349999999811425;0.00285419572812;0.0;0.0073045800036;0.08770225967058999;0.07848000000000001;4.652318967500558e-13;0.08097491380368894;0.022469999999979687;0.0;-2.43742455689408e-12
10.0;174.4198955971134;-0.32209970599999993;0.0126;0.024349999999811425;0.0080527327166;0.0;0.007302150005256001;0.08641522081077001;0.07848000000000001;4.652318967490218e-13;0.08247299167204081;0.022469999999979687;0.0;-2.4374245297890257e-12
11.0;174.41989559715194;-0.32911517;0.0126;0.024349999999811425;0.015675801377800003;0.0;0.007414740000540002;0.08646832230524001;0.07848000000000001;4.652318967496163e-13;0.08169969552178186;0.022469999999979687;0.0;-2.4374245297890257e-12
12.0;174.41989559716475;-0.333899634;0.0126;0.024349999999811425;0.020726826952280005;0.0;0.007492499998380001;0.08644672169732;0.07848000000000001;4.652318967498037e-13;0.08137697455767921;0.022469999999979687;0.0;-2.43742455689408e-12
13.0;174.41989559718732;-0.33468972399999997;0.0126;0.024349999999811425;0.022106899450000002;0.0;0.007544339996940001;0.08647552250788;0.07848000000000001;4.652318967501915e-13;0.08070635125139367;0.022469999999979687;0.0;-2.4374245297890257e-12
14.0;174.41989559718513;-0.33232339;0.0126;0.024349999999811425;0.01928636405644;0.0;0.007662599996832;0.08674193066504;0.07848000000000001;4.652318967501592e-13;0.08077588448784949;0.022469999999979687;0.0;-2.43742455689408e-12
15.0;174.41989559707295;-0.3291131580000001;0.0126;0.024349999999811425;0.014537291248439999;0.0;0.007424460006624;0.08622081484488;0.07848000000000001;4.652318967483885e-13;0.08307398110418548;0.022469999999979687;0.0;-2.4374245297890257e-12
16.0;174.41989559657372;-0.32351599600000003;0.0126;0.024349999999811425;0.008126983324200001;0.0;0.007514369996184;0.08455846443323001;0.07848000000000001;4.652318967439424e-13;0.08545956746537293;0.022469999999979687;0.0;-2.43742455689408e-12
17.0;174.41989557458209;-0.320509878;0.0126;0.024349999999811425;0.00299576700484;0.0;0.007391249999604001;0.08465296725775001;0.07848000000000001;4.652318967607251e-13;0.08761328511867514;0.022469999999979687;0.0;-2.43742455689408e-12
18.0;174.41973100725923;-0.321108626;0.0126;0.024349999999811425;0.0007256765737600001;0.0;0.007328070004536;0.08620011426229;0.07848000000000001;4.652292237425506e-13;0.08899366657768043;0.022469999999979687;0.0;-2.43743027606054e-12
