Year;CAP;Supply;Cancellation;MSR;TNAC;Emissions_Ind;Emissions_H2S;Emissions_PS;EUAprice;EUAs_Ind;EUAs_PS
2021.0;1596.0;2826.79124536;0.0;2272.5326496400003;1715.7564320298445;512.9;89.45833352304471;508.6764798071109;80.0;1746.6192037098835;1080.8771607777824
2022.0;1552.0;1162.1358972776125;0.0;2662.396752362388;1884.7307346043654;464.4866987669886;99.89437280977474;428.780523126328;85.12909947948556;895.500942607455;266.63674125642694
2023.0;1509.0;1083.7005121068755;2203.056240255512;884.6399999999999;2120.875881817745;467.78960343839685;104.5516470713775;275.21411438372206;85.13113595927103;756.2555941746328;327.4475819371336
2024.0;1412.0;940.7730119178821;955.8669880821176;400.0;2313.6977783081;535.0184724486713;85.62550986366021;127.30713311519565;93.63951999173092;675.5234791438984;265.2540413978724
2025.0;1412.0;887.5640366445128;524.435963355487;400.0;2585.6927992620126;521.7901678633405;48.97319865207911;44.805649175180776;102.97816009636122;668.4978240225081;219.07196944857367
2026.0;1295.0;717.9529315297431;577.0470684702568;400.0;2722.908492092412;508.01589370793016;22.967518575961858;49.753826415451705;113.27093298626605;573.9019658074809;144.05708819455242
2027.0;1233.0;601.4564727506852;631.5435272493148;400.0;2753.7924702134205;493.7123170616836;21.56791386362164;55.292263704371386;124.5922384437481;506.5268000289127;94.93616562650291
2028.0;1141.0;485.0312436481404;655.9687563518596;400.0;2679.014106390529;478.8517056138979;21.837285087972404;59.12061676916191;137.0489428522422;413.9404045793931;71.09640131853236
2029.0;1049.0;394.07207625461035;654.9279237453895;400.0;2533.5174779370973;463.36686894408854;22.053535938752585;54.14829982520093;150.78795693342633;338.0781434426511;55.99676138972351
2030.0;958.0;326.6763447425477;631.3236552574522;400.0;2338.8265521741623;447.29071179189395;19.233426386270104;54.84313232731879;165.89927717040453;282.6863078128104;43.989394065510695
2031.0;866.0;569.7655396780657;296.2344603219342;400.0;2448.0074547321024;430.6561219966949;10.895437121563125;19.03307800186741;182.47713303279778;541.0671216357614;28.696881010387646
2032.0;774.0;488.973577636783;285.0264223632171;400.0;2491.724282326435;413.3640811346832;12.804427547062723;19.08824136070431;200.7267851100572;460.8588009592501;28.11184060772886
2033.0;682.0;386.49043232837437;295.5095676716255;400.0;2444.536606282744;395.4069249083668;15.146263919783639;23.124919543915027;220.80227502288488;359.6276602232411;26.859518706616235
2034.0;591.0;293.88059316257545;297.11940683742455;400.0;2323.628787511095;376.76298583050743;11.87429778509798;26.15112831861834;242.8816642980717;268.28707390333614;25.59014629617985
2035.0;499.0;210.49191999693664;288.50808000306324;400.0;2140.737559789209;357.39682528917854;9.346824591722223;26.639497837921922;267.1742224255181;185.935222492433;24.553593784617725
