Year;CAP;Supply;Cancellation;MSR;TNAC;Emissions_CC;Emissions_Ind;Emissions_H2S;Emissions_PS;EUAprice;EUAs_CC;EUAs_Ind;EUAs_H2S;EUAs_PS
2021.0;1596.0;2826.79124536;0.0;2272.5326496400003;2299.5590209978855;-6.223912449783028e-7;512.9;14.33222498450615;0.0;80.0;-6.78091206728372e-11;1310.6355934156545;1017.3651595529332;271.0786182332643
2022.0;1552.0;1115.4316901601692;0.0;2709.1009594798315;2698.882999583983;-5.488007535792559e-7;716.1077121154522;7.420340215300437e-9;0.0;44.30979893789219;-2.1414732073852648e-10;1019.4586614784599;435.01129567856634;0.0
2023.0;1509.0;925.1599166736198;2408.301042806212;884.6399999999999;2901.1269990946284;-4.101554260193739e-7;704.2475642121439;18.66835336098617;0.0;50.046773759965276;-2.448434181703386e-10;952.8390395240555;301.7720517698004;0.0
2024.0;1412.0;748.0885601389924;1148.5514398610078;400.0;2869.3781036983423;-1.426545178437035e-7;772.9366566989663;6.900798978966668;0.0;56.64559328305368;-2.831050664109171e-10;896.0424661872389;209.45176924552095;0.0
2025.0;1412.0;718.2694318489921;693.7305681510079;400.0;2804.4628437287056;-1.3008088172734492e-7;771.3613680274972;11.82332392121276;0.0;58.854651781156626;-3.012420486109213e-10;892.1815535871551;205.59085664544054;0.0
2026.0;1295.0;611.5424759099691;683.4575240900313;400.0;2635.7676319003244;-1.5520754916101202e-7;762.4061539619586;17.831533931599154;0.0;64.79834747633952;-4.0942879791756447e-10;854.7104914693662;168.11979452765547;0.0
2027.0;1233.0;573.4245344513812;659.5754655486189;400.0;2425.220342038847;-1.533479817050203e-7;760.0333573190557;23.938467147150973;0.0;67.51420050692653;-4.497515314068229e-10;845.8255956515036;159.23489870979722;0.0
2028.0;1141.0;525.2595515328403;615.7404484671597;400.0;2163.7005559238614;-1.6016856411068758e-7;756.6362611429058;30.143076665088316;0.0;70.76142129636611;-5.056200799795435e-10;831.1670457352392;144.57634879353793;0.0
2029.0;1049.0;487.86870079987557;561.1312992001244;400.0;1860.0377591553417;-1.5167817384526287e-7;754.4246521264945;37.106845593578896;0.0;73.44334644453617;-5.441285639345409e-10;820.5173483990781;133.92665145738175;0.0
2030.0;958.0;463.0048903197549;494.99510968024515;400.0;1542.783629201679;-1.833979920316548e-7;753.5793844563743;26.679636000441427;0.0;75.44117573037066;-5.576721682321638e-10;814.8770049348458;128.28630799315474;0.0
2031.0;866.0;655.4856340995055;210.51436590049434;400.0;1384.7190765469568;-8.773700524785826e-8;773.3082899971455;40.24189684481958;0.0;65.54082960984967;-2.671119059296832e-10;890.4150685065096;203.8243715648242;0.0
2032.0;774.0;595.1885466019874;178.81145339801242;400.0;1164.0028618898443;-1.2475339992811255e-7;768.7114365598409;47.19332482401238;0.0;69.39020975807327;-2.883835535865109e-10;867.0479457832272;180.45724884154671;0.0
2033.0;682.0;524.6623594006497;157.33764059935038;400.0;873.8878943544825;-1.3231265152904662e-7;761.9815946065402;52.795732461784155;0.0;74.94515339061883;-6.13620713136043e-10;847.8627282964464;161.27203135476353;0.0
2034.0;591.0;484.25047293065165;106.74952706934846;400.0;537.4456281309185;-1.4715810137145777e-7;760.9554912319646;59.73724806940899;0.0;77.49538873023214;-3.6694573125224357e-9;842.8495463960356;156.25884945435422;0.0
2035.0;499.0;471.74140376367836;27.258596236321864;400.0;176.09560030940236;-1.5206453232985652e-7;765.6052922360246;67.48613950123445;0.0;76.6502885754921;-3.202697251399814e-10;846.1708006516301;159.58010370996183;0.0
2036.0;407.0;440.3333333333333;0.0;366.66666666666674;-222.72655617948635;-1.8032631647029353e-7;764.3490863992146;74.8064036033338;0.0;78.54277909580354;-2.7727006101089957e-10;828.2148132422136;141.62411630055422;0.0
2037.0;315.0;415.0;0.0;266.66666666666697;-647.2866970370334;-1.8013860906307109e-7;757.1332851898194;82.42685584786625;0.0;82.84507382434;-3.124744643500579e-10;789.6189836645159;103.02828672286454;0.0
2038.0;224.0;324.0;0.0;166.66666666666688;-1163.1927146792998;-1.978005987941554e-7;749.9986209594013;89.9073968806657;0.0;88.66264040519687;-3.268356972892588e-10;747.2173366868801;60.62663974524606;0.0
2039.0;132.0;232.0;0.0;66.66666666666688;-1768.3543477945495;-2.0814564976024496e-7;739.8387202547115;97.3229130686839;0.0;95.83355860736204;-3.6555236943927727e-10;689.9263153539814;3.3356184126485697;0.0
2040.0;40.0;106.6666666666669;0.0;0.0;-2491.367494236246;-2.3151649226048476e-7;724.9972019097459;104.68261143013422;0.0;108.02558635925217;-2.247564752551413e-9;623.7795668489497;7.24697874778816e-11;0.0
2041.0;0.0;0.0;0.0;0.0;-3325.8880582933557;-2.5806526222547345e-7;722.5012137299601;112.0193505852149;0.0;113.58344476443307;-6.445218528549379e-8;604.7812429123888;6.577037606259082e-11;0.0
2042.0;0.0;0.0;0.0;0.0;-4170.496933316023;-9.076256125996325e-8;725.2718458230719;119.33702929035823;0.0;113.8594412897715;-7.869174477891382e-9;607.8227365424917;6.748595894535292e-11;0.0
2043.0;0.0;0.0;0.0;0.0;-5025.092670171546;-1.044746113407448e-7;728.0222210508929;126.57351590910434;0.0;114.11082777647843;-1.3871471878307356e-8;610.5952403814705;6.913581609050167e-11;0.0
2044.0;0.0;0.0;0.0;0.0;-5889.616154674915;-3.903230959072138e-7;730.7491194585783;133.77436543511368;0.0;114.3397586319887;-2.7854782790982596e-7;613.1219155837649;7.071668191960045e-11;0.0
2045.0;0.0;0.0;0.0;0.0;-6764.0267382731745;-4.4633702810496197e-7;733.4497610662488;140.9608229783468;0.0;114.54820668116429;-5.6752210640110526e-8;615.4240393477925;7.222614351689655e-11;0.0
2046.0;0.0;0.0;0.0;0.0;-7648.189237377127;-4.987877849108993e-7;736.1217593757402;148.04074022700007;0.0;114.73797717148133;-5.14109095921867e-8;617.5211384347191;7.366260602261884e-11;0.0
2047.0;0.0;0.0;0.0;0.0;-8541.981285557664;-5.516239172986402e-7;738.7630792990971;155.02896943306297;0.0;114.91072104375655;-5.1821340345114244e-8;619.4311168505551;7.502524291409422e-11;0.0
2048.0;0.0;0.0;0.0;0.0;-9445.004882091454;-6.042190568638003e-7;741.3719991956501;161.65159794235933;0.0;115.06794725275783;-5.170327532093061e-8;621.1703773137273;7.631393474746132e-11;0.0
2049.0;0.0;0.0;0.0;0.0;-10356.574460105718;-6.64575183038954e-7;743.9470766419088;167.62250203693046;0.0;115.21103428694808;-6.035357452771871e-8;622.7539360897674;7.752919953433164e-11;0.0
2050.0;0.0;0.0;0.0;0.0;-11276.643936442511;-7.806272054218843e-7;746.486772508611;173.58270460880948;0.0;115.34146261503741;-1.1941226857758764e-7;624.1939045989672;7.867296499484167e-11;0.0
2051.0;0.0;0.0;0.0;0.0;-12199.364426970935;-0.08077395372171564;748.9828925479037;173.8183719342414;0.0;115.46322495640003;-0.08077318199660116;625.4681464044828;7.976557116639739e-11;0.0
2052.0;0.0;0.0;0.0;0.0;-13123.45500040031;-1.4059373200930885;751.4515383048983;174.0449724445699;0.0;115.54054749953762;-1.3251633665941394;626.6558478794668;8.095121160635831e-11;0.0
2053.0;0.0;0.0;0.0;0.0;-14046.589631783581;-5.040265706848715;753.9118401808291;174.2630569092898;0.0;115.56212899283656;-3.6343283872574728;627.8364604577727;8.266813381570251e-11;0.0
2054.0;0.0;0.0;0.0;0.0;-14964.488371332245;-13.002460316308452;756.4247832892855;174.47641657568633;0.0;115.46039603198842;-7.96219461083257;629.2554099179856;8.540738566447651e-11;0.0
2055.0;0.0;0.0;0.0;0.0;-15868.661032470296;-29.57686618442688;759.0563332237042;174.69319409877312;0.0;115.13002852567558;-16.574405868230187;631.2148256337101;8.978468970621738e-11;0.0
2056.0;0.0;0.0;0.0;0.0;-16745.948679724126;-59.57627589346148;761.935479421643;174.92844372564684;0.0;114.45547669564158;-29.999409709180334;634.306926714886;9.761453244944822e-11;0.0
2057.0;0.0;0.0;0.0;0.0;-17576.346460094817;-110.03866436728795;765.2287057368209;175.20773900115677;0.0;113.24514943665268;-50.46238847418597;639.3559530289231;1.1239893068011011e-10;0.0
2058.0;0.0;0.0;0.0;0.0;-18324.153015266722;-197.23514068327376;769.4562289379616;175.58546691721648;0.0;110.85793694765356;-87.19647631611689;648.8897676568228;1.5181955438298342e-10;0.0
2059.0;0.0;0.0;0.0;0.0;-18929.736927222588;-345.93103881188983;775.4534227269116;176.06152804084303;0.0;106.39595731645176;-148.6958981287224;667.4437252398541;3.7481611045941197e-10;0.0
2060.0;0.0;0.0;0.0;0.0;-19278.320978060965;-613.9119739984264;784.9711536932112;177.524871143592;0.0;98.11148014671792;-267.9809351866573;706.4687388156593;19.878041877747172;0.0
