Year;CAP;Supply;Cancellation;MSR;TNAC;Emissions_Ind;Emissions_H2S;Emissions_PS;EUAprice;EUAs_Ind;EUAs_PS
2021.0;1596.0;2826.79124536;0.0;2272.5326496400003;1715.7584481572565;512.9;89.47854225087472;508.65425495186895;80.0;1598.8196086790194;1228.6464058490315
2022.0;1552.0;1162.1357359874194;0.0;2662.39691365258;1875.5665110044745;473.53332779306123;99.8396030840271;428.954742263113;80.59796751664744;872.2463439653429;289.8748911968777
2023.0;1509.0;1084.433327414481;2202.3235862380975;884.6399999999999;2099.7147281478733;476.7537850148838;107.9183732597544;275.61295199644417;80.59593149061342;851.6406755903832;232.77731204286775
2024.0;1412.0;943.9321799874542;952.7078200125457;400.0;2297.9177113071555;544.3271412652575;79.79911271171052;121.60294285120419;88.64994215847798;760.455564894675;183.4586607155578
2025.0;1412.0;892.2122265917678;519.7877734082322;400.0;2608.7343954091975;531.4231836989688;21.69240168869559;28.27995710206114;97.50845720253955;770.9722948672255;121.2174924549815
2026.0;1295.0;718.6344145581194;576.3655854418807;400.0;2784.7590853470138;518.0276857270976;0.06879457138667112;24.51324432181866;107.24968237726928;621.6078025929802;97.00142032758644
2027.0;1233.0;592.8217699067673;640.1782300932327;400.0;2846.87002994719;504.1025581787548;0.06254047144643803;26.545726656390002;117.97349869587255;524.6076886711242;68.1872573726569
2028.0;1141.0;467.6889439487027;673.3110560512973;400.0;2795.453706609741;489.62756260295157;0.056286430319774414;29.421418252879892;129.7788773306372;420.71962075764986;46.939126404005854
2029.0;1049.0;369.8644986796703;679.1355013203295;400.0;2657.621900617001;474.5974546838934;0.05003238981821982;33.04881759869871;142.76384765442555;337.96171333835645;31.866946298599345
2030.0;958.0;298.1176548930815;659.8823451069184;400.0;2466.336159618925;458.9908112856457;0.043778354163237596;30.36880625134862;157.0465173653363;273.4616681517105;24.615032669720065
2031.0;866.0;554.7368015658831;311.26319843411693;400.0;2548.57631805454;442.761844607902;0.037524307268509194;29.697274215097877;172.77581855102525;548.1351216926848;6.564794117735099
2032.0;774.0;474.7500545083044;299.2499454916956;400.0;2568.112647125948;425.9338534234234;0.03127027690259595;29.248601736570418;190.05779268604482;468.0156366961974;6.696264109343115
2033.0;682.0;375.38938867059886;306.6106113294011;400.0;2504.74523855217;408.4579476983427;0.025016214879311327;30.27383333115454;209.06845347027397;369.0132569837541;6.3344392510075505
2034.0;591.0;285.36117868783737;305.63882131216246;400.0;2370.6951848491212;390.30836365741834;0.018761823670515824;29.084106909797246;229.9815854564928;279.48727590350273;5.827114721091978
2035.0;499.0;203.79257352186158;295.20742647813836;400.0;2173.8769152617365;371.45671224280414;4.6116822458551985e-7;29.154130405273673;252.99006626497538;197.5956707711108;6.143494813835483
2036.0;407.0;130.38930860160093;276.610691398399;400.0;1922.7410503813317;351.8763186398013;1.9761936505781648e-7;29.648854644585164;278.30370319625484;122.02036125641719;8.309448259198495
2037.0;315.0;64.18020476380786;250.81979523619202;400.0;1622.5738581249138;331.5498230509478;9.663737809871662e-8;32.797573872640655;306.14103224769525;46.727146745580704;17.381008286235552
2038.0;224.0;5.2777616444969055;218.7222383555029;400.0;1284.1460776606866;310.4127529941512;9.264764498581265e-8;33.292789021925365;336.796416992359;3.886853787884891;1.3074163416737998
2039.0;132.0;0.0;181.17175175642046;400.0;992.0853309302954;259.1227529941512;7.164075328795783e-8;32.937993664599354;633.9167112391129;4.458830407510283e-12;6.318136793027459e-10
2040.0;40.0;0.0;80.0;400.0;752.5831807305051;207.8327529941512;5.034222590227376e-8;31.669397155296934;650.7654419668949;7.36547367813059e-12;7.505979860055242e-10
2041.0;0.0;0.0;0.0;400.0;564.8273392034365;156.54275299415121;4.42440673873311e-8;31.213088488673282;678.3301837058463;1.500503126641509e-11;8.705253337821242e-10
2042.0;0.0;0.0;0.0;400.0;430.41853771620447;105.25275299415122;3.929940205244876e-8;29.15604845378144;714.9009887164718;2.6375981284499767e-11;9.904355933091742e-10
2043.0;0.0;0.0;0.0;400.0;333.5557211629313;70.2726845419578;4.29209713459813e-8;26.590131968394374;751.5075616953164;4.446777904625495e-11;1.151395156940316e-9
2044.0;0.0;33.333333333333336;0.0;366.66666666666674;177.05375194686965;165.44768030063017;4.170333521306806e-8;24.387622207061476;596.9228302393961;17.10841727314459;16.116747633074702
2045.0;0.0;99.99999999999999;0.0;266.66666666666697;117.5536775885536;137.91639904271995;4.5634879067269625e-8;21.583675269961212;656.6832495977818;57.65818632110401;42.222315917721915
2046.0;0.0;99.99999999999999;0.0;166.66666666666688;88.9962744394451;109.18478238811576;4.197446430353937e-8;19.372620719018197;722.6853413514656;90.55422819251653;9.27477919289283
2047.0;0.0;99.99999999999999;0.0;66.66666666666688;93.01941986429188;79.48479869717016;4.620524384255976e-8;16.492055831777794;795.0386679742555;83.83277582792623;15.984743210785277
2048.0;0.0;66.6666666666669;0.0;0.0;97.15779196199458;48.55080087959186;4.547200676743564e-8;13.977493643900354;874.8227523902161;40.12137143172285;26.327464874170023
2049.0;0.0;0.0;0.0;0.0;84.54681438827774;0.0;4.5201263901566977e-8;12.610977528515576;1005.3549559523734;1.2997189226998839e-11;8.143076779483319e-9
2050.0;0.0;0.0;0.0;0.0;72.35709422705649;0.0;4.5322937797387365e-8;12.18972011589831;1159.5395091613304;6.31660013670337e-12;4.2622419272818416e-9
2051.0;0.0;0.0;0.0;0.0;60.86322851666685;0.0;4.539868366929076e-8;11.493865664990958;1271.314048905676;5.037890012661369e-12;4.409592287660365e-9
2052.0;0.0;0.0;0.0;0.0;51.193035470534824;0.0;4.598346532381929e-8;9.67019300014856;1395.48940739156;4.372114064639537e-12;4.5091945147166854e-9
2053.0;0.0;0.0;0.0;0.0;42.827934590369296;0.0;4.619084224595169e-8;8.365100833974681;1529.684542737446;3.9621305301609734e-12;4.684405258256064e-9
2054.0;0.0;0.0;0.0;0.0;35.79972371827093;0.0;4.765247072284289e-8;7.028210824445893;1675.5364365377914;3.674937211837955e-12;4.915493422397725e-9
2055.0;0.0;0.0;0.0;0.0;30.11263110934038;0.0;0.550811018949175;5.136281589981376;1833.2042348504099;3.4628422209949808e-12;5.2425902143349195e-9
2056.0;0.0;0.0;0.0;0.0;24.85329163680235;0.0;1.2947149012243204;3.9646245713137094;2005.0256267191255;3.2947550838865386e-12;5.639343364540391e-9
2057.0;0.0;0.0;0.0;0.0;19.504223862644928;0.0;1.890433540199327;3.4586342339580938;2189.159506072213;3.165456635943862e-12;6.252558652196681e-9
2058.0;0.0;0.0;0.0;0.0;13.888993395057838;0.0;2.656499939855126;2.958730527731964;2385.697340003446;3.0640615962928147e-12;7.231031014711873e-9
2059.0;0.0;0.0;0.0;0.0;7.5755667321141456;0.0;3.6421622404051353;2.6712644225385573;2601.011931705359;2.966521297358601e-12;8.483597908190207e-9
2060.0;0.0;0.0;0.0;0.0;0.7854087614047742;0.0;4.143082386813727;2.6470755838956443;2837.363076716491;2.8612887311676884e-12;1.0101355900921602e-8
