Year;EOM_avg;REC_y;ADD_CAP_Biomass;ADD_CAP_SPP_lignite;ADD_CAP_Solar;ADD_CAP_ICE;ADD_CAP_WindOffshore;ADD_CAP_WindOnshore;ADD_CAP_Nuclear;ADD_CAP_CCGT_old;ADD_CAP_CCGT_new;ADD_CAP_SPP_coal;ADD_CAP_OCGT;CAP_Biomass;CAP_SPP_lignite;CAP_Solar;CAP_ICE;CAP_WindOffshore;CAP_WindOnshore;CAP_Nuclear;CAP_CCGT_old;CAP_CCGT_new;CAP_SPP_coal;CAP_OCGT;FS_Biomass;FS_SPP_lignite;FS_Solar;FS_ICE;FS_WindOffshore;FS_WindOnshore;FS_Nuclear;FS_CCGT_old;FS_CCGT_new;FS_SPP_coal;FS_OCGT
2021.0;163.57321328760796;9.678528869301237e-13;2.0768734616840812e-11;0.0;55.41999999999899;1.8505844926054878e-17;6.353999999998167;82.43499999999996;9.769448586629237e-14;0.0;4.5156835759855676e-13;1.0444926146777392e-14;1.9916299181901137e-12;12.6;24.35;110.84;14.407499999999999;12.708;164.87;78.48;59.5;90.0;22.470000000000002;11.39;110.37599999999975;211.73592721867345;137.34215934290341;8.935201077431247e-16;46.29264014459302;354.4815821335945;687.4847999999996;1.3192738175666567;435.83447768796844;196.83719999988347;0.0
2022.0;248.62939153468457;-2.25233112564125e-8;7.025941551892866e-13;0.0;83.12999999999548;1.9290788436518134e-17;6.35399999999026;123.65249999999983;1.005638882051379e-13;0.0;4.618078722593366e-13;1.0948909305942077e-14;2.0295655892272905e-12;12.6;24.35;166.259999999999;14.407499999999999;12.708;247.30499999999995;78.48;59.5;90.0;22.470000000000002;11.390000000001992;110.37599999999975;197.15233805639716;206.0132390139697;0.030344647071316587;46.29264014459302;531.7223732003557;687.4847999999996;0.0;248.52396930397245;194.3860406232853;0.0
2023.0;121.98983682120677;1.121050160984213e-11;3.2318737856211847e-13;0.0;68.82898610494702;1.992885275809253e-17;9.776935867235424e-12;185.4787499999956;1.0369181548477519e-13;0.0;4.70989264371689e-13;1.1503996281623206e-14;2.061762026976699e-12;11.76;23.863;242.00066666666115;12.96675;18.355999999998165;359.9661666666665;74.556;55.533333333333324;85.5;20.971999999999998;10.251000000004021;95.79130569761422;163.03403900541974;299.8637145642787;0.0;66.86714687311088;773.9514543249161;650.4509944883517;1.5867303218483078e-12;110.56825786782846;105.40351079544746;0.0
2024.0;71.00873330737731;8.34056211588194e-10;5.659239277128062e-13;0.0;155.41482638527978;2.3921268377403413e-17;1.0012201936402003e-11;215.93859988023615;1.2840558693558225e-13;0.0;5.745723955814635e-13;1.477198130187012e-14;2.493727780563604e-12;10.92;23.376;303.4403194382748;11.526;24.003999999988427;534.4535833333288;70.632;51.56666666666667;81.00000000000045;19.474;9.112000000006082;70.12096683679555;85.59497200329741;375.99376310910367;0.0;87.44165359940492;1149.1111287494402;581.0398718625179;2.1192385658978974e-12;40.7923798624884;42.99072767101057;0.0
2025.0;63.686961087186695;1.1048300643638032e-7;1.449279509170544e-12;0.0;70.81402931843581;2.890729864691304e-17;1.0333637962884507e-11;89.40723571355421;1.6243789900897892e-13;0.0;7.101976215784508e-13;1.9771602682848175e-14;3.080857081934748e-12;10.08;22.889;451.4658124902213;10.085249999999998;23.297999999998204;739.4008498802316;66.708;47.6;76.50000000000091;17.976000000000003;7.973000000008575;75.0719313132151;0.45729994508532557;559.4125726870388;0.0;84.86984025943659;1589.7615278487963;567.2991862639483;1.4831770963094102e-12;77.30894546991624;7.85732308433168e-10;0.0
2026.0;62.73738577798889;1.083435717250159e-6;2.6878588623460142e-11;0.0;36.24220177109664;3.5390316354606616e-17;1.066801689670286e-11;57.43696543014775;2.0800861051457473e-13;0.0;8.831644606628805e-13;2.8289889221011474e-14;3.920842445895256e-12;9.240000000020768;22.402;514.8905084753237;8.644499999999999;22.592000000008213;817.8167522604525;62.784000000000006;43.633333333333326;72.00000000000138;16.478;6.834000000011656;69.2133523164333;0.6046193451276141;638.0022939269787;0.0;82.29802691756713;1758.3609888797337;531.7838688473307;1.4214993414872658e-12;69.74104661143804;5.732335403041857e-10;4.250391198649457e-11
2027.0;62.90950721565625;2.0907978845135136e-6;1.2266078443146734e-11;0.0;33.81957889417142;4.5647270424312465e-17;1.0984737614121723e-11;60.120387945158654;2.7343860868978325e-13;0.0;1.1133793157937236e-12;4.584895231688327e-14;5.206229253602863e-12;8.400000000021471;21.915000000000003;543.7433769130871;7.203749999999999;21.886000000018548;864.2623843572669;58.86;39.666666666666664;67.50000000000196;14.98;5.695000000015579;62.892582539256935;1.9158547973554039;673.7539652951119;0.0;79.72621357551246;1858.2222198427262;495.9647624634396;1.8333165103921246e-12;72.17723378031123;3.512596962896282e-9;6.158583897706071e-10
2028.0;63.305547882459344;3.1464080895895846e-6;1.4190215773239912e-11;0.0;22.450335153676317;6.059285351383333e-17;1.1145759826639219e-11;76.33316084101283;3.746641740889554e-13;0.0;1.426769493117243e-12;9.832635944743653e-14;7.33169025771525e-12;7.560000000021794;21.428;570.1736224739251;5.763;21.180000000029217;913.3914389690923;54.93599999999999;35.699999999999996;63.00000000000267;13.482000000000001;4.556000000020784;56.29141242358468;0.636194337029574;706.4214707526198;0.0;77.1152515667447;1963.417135176754;458.74389709966505;3.2463444050162625e-12;72.82195673728683;3.8191192316392337;7.39266931484575e-10
2029.0;64.02267247672384;3.7900123728665686e-6;0.6555090396233201;0.0;17.399985852614183;8.530685634177309e-17;1.0848383939522775e-11;91.21814646506145;5.538896573953586e-13;0.0;2.037506868331735e-12;6.134988639601556e-12;1.1575200627510582e-11;6.7200000000223605;20.941000000000003;585.2346242942681;4.3222499999999995;20.474000000040203;978.7332664767717;51.012;31.733333333333334;58.50000000000355;11.984000000000012;3.4170000000281155;48.26885890122208;1.3423065583698679e-8;724.7480115040236;0.0;74.40534762981679;2100.6387126384784;409.3575017389109;7.081382559157184;69.42629402540027;8.348888400644302e-10;8.68952623710149e-10
2030.0;65.55972999756712;2.353002699198123e-6;3.360000000005342;0.0;27.666813172733068;1.344085309084475e-16;1.159026040521066e-11;291.3863955338904;8.968507202010682e-13;0.0;3.2243153256377937e-12;1.4471314857665293e-12;2.4347001823895716e-11;5.880000000023809;20.454;595.245276813549;2.8815000000000004;19.768000000051348;1058.9600796084999;47.088;27.766666666666662;54.00000000000467;10.48600000000002;2.2780000000396914;39.578563679500625;4.7074520850265235e-9;735.8093481782438;0.0;71.23321285297375;2260.2217734097235;348.8753900598083;9.2418518642997;62.61387660996693;0.08191126121067932;9.58215071137208e-10
