Year;EOM_avg;REC_y;CAP_Biomass;CAP_SPP_lignite;CAP_Solar;CAP_ICE;CAP_WindOffshore;CAP_WindOnshore;CAP_Nuclear;CAP_CCGT_old;CAP_CCGT_new;CAP_SPP_coal;CAP_OCGT;FS_Biomass;FS_SPP_lignite;FS_Solar;FS_ICE;FS_WindOffshore;FS_WindOnshore;FS_Nuclear;FS_CCGT_old;FS_CCGT_new;FS_SPP_coal;FS_OCGT
2021.0;146.5147410809232;-7.085927240300925e-6;12.6;24.35;110.84;14.407499999999999;12.708;164.87;78.48;59.5;90.0;22.470000000000002;11.39;110.37599999999975;211.5821192507954;152.6023991968598;0.0;51.43626682318845;393.86842451608385;687.4847999999996;2.1215743674410138e-11;344.4799573854717;195.24641559119704;0.0
2022.0;123.00463102613817;-0.001160219844363408;12.6;24.35;166.25999999999652;14.407499999999999;12.708;247.3049999999999;78.48;59.5;90.0;22.470000000000002;11.390000000000002;108.20497634122782;194.22283752008144;228.90359879450216;2.5678250585060126e-14;51.43626682318845;590.8026367740431;687.4847999999996;0.0;0.0;179.31679925794063;0.0
2023.0;51.57613018156538;-0.0016249547486429892;11.76;23.863;288.9710150823446;12.96675;18.35599999999981;442.40116666666603;74.556;55.533333333333324;85.5;20.971999999999998;10.251000000000003;53.931193480285536;70.88360412905512;397.8497852710151;0.0;74.29682985507336;1056.880272451035;517.92800909755;0.0;0.0;49.598399834662615;0.0
2024.0;59.6920629377307;-0.006255321286604456;10.92;23.376;281.58168174902914;11.526;30.357999999999443;472.74211592376065;70.632;51.56666666666667;81.00000000000004;19.474;9.112000000000005;51.64976010198278;71.46846172005982;387.67629199134825;5.344023036531452e-15;122.87552629920886;1129.363695039839;472.76969088051294;0.0;3.705828155242466e-12;46.4060878796302;0.0
2025.0;61.792210909378156;1.5875062460110085e-11;10.08;22.889;274.1923484157436;10.085249999999998;45.536999999982356;477.22202532673447;66.708;47.6;76.5000000000001;17.976000000000003;7.973000000000006;50.32622872724516;74.37948475909876;377.0450682575863;0.0;183.22944183478518;1139.0380388959095;451.249202860878;0.0;10.546414814048141;44.67721460382041;0.0
2026.0;63.76903477931717;4.873899338025602e-10;9.240000000000181;22.402;266.80301508284725;8.6445;50.41456373532414;522.714447814529;62.784000000000006;43.633333333333326;72.00000000000016;16.478;6.8340000000000085;46.26802370508408;61.803554773549315;365.83494203457536;0.0;200.65999232539625;1239.3019782530605;411.8882026027507;3.76770795514618e-11;38.65827480286887;37.86968931139861;0.0
2027.0;61.792491150550156;8.455284375557875e-10;8.400000000000343;21.915000000000003;283.0475947936904;7.203750000000001;49.70856373534153;562.1345174206383;58.86;39.666666666666664;67.50000000000021;14.98;5.6950000000000145;42.5626335291175;15.465890540144898;387.68627441823355;0.0;196.24287136516674;1330.9395706618016;387.657578685492;2.268233455322965e-10;147.14296147990433;4.851113421552226;5.440286185275577e-14
2028.0;61.58151704723111;2.6429955626862617e-9;7.560000000000489;21.428;318.81745527638924;5.763000000000002;49.002563735347834;629.4309024372653;54.93599999999999;35.699999999999996;63.00000000000028;13.482000000000001;4.556000000000022;41.350096056294525;16.525866352121117;435.2106396360307;0.0;191.10508518934444;1485.9173523986474;360.527089392529;2.342770255464017e-10;122.74086389704411;5.99469404431813;4.77145550865373e-13
2029.0;60.263128314173976;1.5016178307850324e-8;6.720000000000657;20.941000000000003;396.33142801930586;4.322250000000002;48.2965637353519;688.8415582825066;51.012;31.733333333333334;58.50000000000036;11.984000000000028;3.417000000000033;41.99049774250054;16.307399748818266;544.1548945180915;0.0;194.22270083525507;1640.4928682877069;380.32358311022654;0.9919028759430445;103.99868743738286;6.151747043248915;1.1376912992111715e-12
2030.0;58.083645487272484;1.1334420747210465e-7;5.880000000000855;20.454;508.6503737025499;2.8815000000000035;47.59056373535542;866.9277357402214;47.088;27.766666666666662;54.000000000000455;10.486000000000052;2.2780000000000618;39.416353878746044;8.993947263966295;697.7187072906931;0.0;190.24594941637488;2067.092575779392;362.74829517355573;3.1062551776574493e-10;67.21231719697865;3.5564217433072045;1.0339541630649733e-12
2031.0;57.188278905983886;9.542508536918762e-7;5.040000000001096;19.967;527.4613629551195;1.440750000000005;46.88456373535897;904.0444549815356;43.16400000000005;23.8;49.50000000000058;8.988000000000083;1.139000000000071;35.55856010796369;6.720068080671293;724.4605924123717;0.0;186.62956925277635;2156.388302609899;338.721443279589;10.464190213927317;63.572948324509085;7.896997949721934e-8;1.4141785583146138e-12
2032.0;57.11169640822529;9.085250154333785e-6;4.2000000000014035;19.480000000000004;555.3926514657745;8.143288444477018e-15;46.17856373536317;955.9417309095461;39.240000000000094;19.833333333333332;45.00000000000072;7.490000000000118;1.1295082018612712e-12;14.314630997327919;4.565909348387788;762.1743483614856;0.0;184.0853784083193;2278.123071678418;307.7163660743374;8.72103036203636;57.05733996841833;2.1473111830892044;5.174129064720056e-13
2033.0;56.84371638037318;3.717067259734822e-5;3.3600000000018118;18.993000000000002;585.1044633321136;1.908952286599746e-14;45.47256373536842;996.4725132142553;35.316000000000145;15.866666666666667;40.50000000000088;5.992000000000168;1.4109646331224672e-12;10.645243083539318;4.59997142684876;802.3201411465035;0.0;180.89306565979405;2373.194607349776;277.2537296910188;7.685590831685512;49.70342138713077;1.4512203866080098;6.360473197774462e-13
