Timestep;H2M_price_h;H2M_price_d;H2M_price_m;H2M_price_y;demand;SMR;electrolysis;SMRCCS
1.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902016764337;1.4108635843091284e-9;0.00034999999994479383
2.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.4108635843091048e-9;0.00034999999994479383
3.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.410863584309091e-9;0.00034999999994479383
4.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.4108635843090746e-9;0.00034999999994479383
5.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.4108635843090781e-9;0.00034999999994479383
6.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.4108635843091034e-9;0.00034999999994479383
7.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.4108635843092028e-9;0.00034999999994479383
8.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.4108635843093577e-9;0.00034999999994479383
9.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.410863584308874e-9;0.00034999999994479383
10.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.4108635843080801e-9;0.00034999999994479383
11.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.4108635843086126e-9;0.00034999999994479383
12.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.4108635843087473e-9;0.00034999999994479383
13.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.4108635843089363e-9;0.00034999999994479383
14.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.410863584308919e-9;0.00034999999994479383
15.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.4108635843073634e-9;0.00034999999994479383
16.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.4108635842931086e-9;0.00034999999994479383
17.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.410863583921208e-9;0.00034999999994479383
18.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.4108635636969886e-9;0.00034999999994479383
19.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.410862616647714e-9;0.00034999999994479383
20.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.4108635841538846e-9;0.00034999999994479383
21.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.4108635843082871e-9;0.00034999999994479383
22.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.4108635843093627e-9;0.00034999999994479383
23.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.4108635843093019e-9;0.00034999999994479383
24.0;0.0;129.17581281539051;0.0;0.0;0.03767123287671233;0.03733902039031839;1.4108635843092194e-9;0.00034999999994479383
25.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.1180036985261676e-9;0.0003499999999562188
26.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.118003698526123e-9;0.0003499999999562188
27.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.1180036985261077e-9;0.0003499999999562188
28.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.1180036985261006e-9;0.0003499999999562188
29.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.1180036985261056e-9;0.0003499999999562188
30.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.1180036985261358e-9;0.0003499999999562188
31.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.1180036985262396e-9;0.0003499999999562188
32.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.1180036984846146e-9;0.0003499999999562188
33.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;7.556024715109367e-10;0.0003499999999562188
34.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;7.556024716027631e-10;0.0003499999999562188
35.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;8.14452945328007e-10;0.0003499999999562188
36.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;9.388122265195948e-10;0.0003499999999562188
37.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.1180036984713888e-9;0.0003499999999562188
38.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.1180036985235496e-9;0.0003499999999562188
39.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.118003698524033e-9;0.0003499999999562188
40.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.118003698520982e-9;0.0003499999999562188
41.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.1180036984844128e-9;0.0003499999999562188
42.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.0571153784734492e-9;0.0003499999999562188
43.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;8.674805165822031e-10;0.0003499999999562188
44.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.1180036970382618e-9;0.0003499999999562188
45.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.1180036985256705e-9;0.0003499999999562188
46.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.1180036985262553e-9;0.0003499999999562188
47.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.118003698526202e-9;0.0003499999999562188
48.0;0.0;129.17581285381863;0.0;0.0;0.03767123287671233;0.03733902055857512;1.1180036985261465e-9;0.0003499999999562188
49.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020719468916;1.86864884228193e-9;0.00034999999992724396
50.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.8686488422818505e-9;0.00034999999992724396
51.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.8686488422818306e-9;0.00034999999992724396
52.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.86864884228183e-9;0.00034999999992724396
53.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.8686488422818583e-9;0.00034999999992724396
54.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.8686488422819444e-9;0.00034999999992724396
55.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.8686488422769494e-9;0.00034999999992724396
56.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.5372105162502006e-9;0.00034999999992724396
57.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.4395709006618182e-9;0.00034999999992724396
58.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.8686488419053704e-9;0.00034999999992724396
59.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.868648842281775e-9;0.00034999999992724396
60.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.868648842281947e-9;0.00034999999992724396
61.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.8686488422819328e-9;0.00034999999992724396
62.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.8686488422818955e-9;0.00034999999992724396
63.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.868648842281873e-9;0.00034999999992724396
64.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.868648842281917e-9;0.00034999999992724396
65.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.868648842281989e-9;0.00034999999992724396
66.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.8686488420369744e-9;0.00034999999992724396
67.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.262932481658627e-9;0.00034999999992724396
68.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.2629324816605005e-9;0.00034999999992724396
69.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.2629324816591262e-9;0.00034999999992724396
70.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.2629324816469067e-9;0.00034999999992724396
71.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.8686488407534833e-9;0.00034999999992724396
72.0;0.0;129.17581278260263;0.0;0.0;0.03767123287671233;0.037339020202075586;1.8686488422805667e-9;0.00034999999992724396
73.0;0.0;129.17581280280737;0.0;0.0;0.03767123287671233;0.03733902033337851;1.1692130973031216e-9;0.00034999999995421354
74.0;0.0;129.17581280280737;0.0;0.0;0.03767123287671233;0.03733902033337851;1.1692130973031177e-9;0.00034999999995421354
75.0;0.0;129.17581280280737;0.0;0.0;0.03767123287671233;0.03733902033337851;1.1692130973031165e-9;0.00034999999995421354
76.0;0.0;129.17581280280737;0.0;0.0;0.03767123287671233;0.03733902033337851;1.1692130973031256e-9;0.00034999999995421354
77.0;0.0;129.17581280280737;0.0;0.0;0.03767123287671233;0.03733902033337851;1.1692130973031862e-9;0.00034999999995421354
78.0;0.0;129.17581280280737;0.0;0.0;0.03767123287671233;0.03733902033337851;1.1692130973031336e-9;0.00034999999995421354
79.0;0.0;129.17581280280737;0.0;0.0;0.03767123287671233;0.03733902033337851;1.1692130973031173e-9;0.00034999999995421354
80.0;0.0;129.17581280280737;0.0;0.0;0.03767123287671233;0.03733902033337851;1.1692130973031121e-9;0.00034999999995421354
81.0;0.0;129.17581280280737;0.0;0.0;0.03767123287671233;0.03733902033337851;1.1692130973031196e-9;0.00034999999995421354
82.0;0.0;129.17581280280737;0.0;0.0;0.03767123287671233;0.03733902033337851;1.169213097303125e-9;0.00034999999995421354
83.0;0.0;129.17581280280737;0.0;0.0;0.03767123287671233;0.03733902033337851;1.169213097303111e-9;0.00034999999995421354
84.0;0.0;129.17581280280737;0.0;0.0;0.03767123287671233;0.03733902033337851;1.1692130973031183e-9;0.00034999999995421354
85.0;0.0;129.17581280280737;0.0;0.0;0.03767123287671233;0.03733902033337851;1.169213097283532e-9;0.00034999999995421354
86.0;0.0;129.17581280280737;0.0;0.0;0.03767123287671233;0.03733902033337851;1.8034649363603933e-9;0.00034999999995421354
87.0;0.0;129.17581280280737;0.0;0.0;0.03767123287671233;0.03733902033337851;5.0560045773971886e-9;0.00034999999995421354
88.0;0.0;129.17581280280737;0.0;0.0;0.03767123287671233;0.03733902033337851;4.393760281211646e-9;0.00034999999995421354
89.0;0.0;129.17581280280737;0.0;0.0;0.03767123287671233;0.03733902033337851;1.169213157190859e-9;0.00034999999995421354
90.0;0.0;129.17581280280737;0.0;0.0;0.03767123287671233;0.03733902033337851;1.16921309730313e-9;0.00034999999995421354
