Timestep;EOM_price;Demand;DAC;Biomass;SPP_lignite;Solar;ICE;WindOffshore;WindOnshore;Nuclear;CCGT_old;CCGT_new;SPP_coal;OCGT;electrolysis
1.0;3.1300456976623945;-0.28487954000000004;-6.862593392858996e-11;0.0;0.0;1.683027812e-5;0.0;0.009528839995824;0.08506607987344;0.0;0.0;0.0;0.0;0.0;-0.0002045454545356515
2.0;3.0878133479344645;-0.28233063199999997;-6.945374917549652e-11;0.0;0.0;1.5840144399999998e-5;0.0;0.009384660009360002;0.08531898748578;0.0;0.0;0.0;0.0;0.0;-0.00020454545453565468
3.0;3.0588608470356506;-0.28039142600000005;-7.003355274176615e-11;0.0;0.0;1.5840144399999998e-5;0.0;0.009435690000000002;0.08513718203937999;0.0;0.0;0.0;0.0;0.0;-0.00020454545453565685
4.0;3.029112411957082;-0.277665108;-7.064202608292325e-11;0.0;0.0;1.683027812e-5;0.0;0.009073619992584;0.08458096506648001;0.0;0.0;0.0;0.0;0.0;-0.0002045454545356591
5.0;3.034685483137367;-0.278801248;-7.052505628102335e-11;0.0;0.0;1.683027812e-5;0.0;0.00874719000324;0.08574650050675;0.0;0.0;0.0;0.0;0.0;-0.0002045454545356587
6.0;3.0861845581375884;-0.28366492;-6.94812410731438e-11;0.0;0.0;1.683027812e-5;0.0;0.009467280003888;0.08676803139961;0.0;0.0;0.0;0.0;0.0;-0.0002045454545356548
7.0;3.2554389059701085;-0.29589681;-6.626975791040879e-11;0.0;0.0;2.1780281680000002e-5;0.0;0.009099540004571999;0.08885069462959001;0.0;0.0;0.0;0.0;0.0;-0.000204545454535642
8.0;3.475966218154608;-0.310857744;-6.250817051467461e-11;0.0;0.0;0.0005286647916400001;0.0;0.008993430009108;0.08964901874600001;0.0;0.0;0.0;0.0;0.0;-0.00020454545453562533
9.0;3.5885273517132963;-0.31669256;-6.075280990086585e-11;0.0;0.0;0.00285419572812;0.0;0.0073045800036;0.08770225967058999;0.0;0.0;0.0;0.0;0.0;-0.00020454545453561681
10.0;3.6163119229365908;-0.32209970599999993;-6.032449019477415e-11;0.0;0.0;0.0080527327166;0.0;0.007302150005256001;0.08641522081077001;0.0;0.0;0.0;0.0;0.0;-0.00020454545453561465
11.0;3.611776333987517;-0.32911517;-6.03738638943474e-11;0.0;0.0;0.015675801377800003;0.0;0.007414740000540002;0.08646832230524001;0.0;0.0;0.0;0.0;0.0;-0.0002045454545356149
12.0;3.611740177914508;-0.333899634;-6.036221088939753e-11;0.0;0.0;0.020726826952280005;0.0;0.007492499998380001;0.08644672169732;0.0;0.0;0.0;0.0;0.0;-0.00020454545453561484
13.0;3.6025128828333526;-0.33468972399999997;-6.049734498081438e-11;0.0;0.0;0.022106899450000002;0.0;0.007544339996940001;0.08647552250788;0.0;0.0;0.0;0.0;0.0;-0.00020454545453561551
14.0;3.601185196311083;-0.33232339;-6.052318975852122e-11;0.0;0.0;0.01928636405644;0.0;0.007662599996832;0.08674193066504;0.0;0.0;0.0;0.0;0.0;-0.00020454545453561565
15.0;3.6323026092723016;-0.3291131580000001;-6.007086494896896e-11;0.0;0.0;0.014537291248439999;0.0;0.007424460006624;0.08622081484488;0.0;0.0;0.0;0.0;0.0;-0.00020454545453561335
16.0;3.6623399634484466;-0.32351599600000003;-5.964682046888381e-11;0.0;0.0;0.008126983324200001;0.0;0.007514369996184;0.08455846443323001;0.0;0.0;0.0;0.0;0.0;-0.00020454545453561118
17.0;3.691504808212196;-0.320509878;-5.92348253780628e-11;0.0;0.0;0.00299576700484;0.0;0.007391249999604001;0.08465296725775001;0.0;0.0;0.0;0.0;0.0;-0.000204545454535609
18.0;3.712789968653505;-0.321108626;-5.893093565217944e-11;0.0;0.0;0.0007256765737600001;0.0;0.007328070004536;0.08620011426229;0.0;0.0;0.0;0.0;0.0;-0.0002045454545356074
