Year;CAP_SMR;CAP_SMRCCS;CAP_electrolysis_base;CAP_electrolysis_peak;PROD_SMR;PROD_SMRCCS;PROD_electrolysis_base;PROD_electrolysis_peak;CN_CAP_electrolysis_base;CN_CAP_electrolysis_peak;CN_PROD_electrolysis_base;CN_PROD_electrolysis_peak;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;70.0;0.35;0.1;0.1;9.897110549655581;0.09290909090658578;0.0002145331082122493;0.00021453311851298815;0.0;0.0;0.0;0.0;4.062805536902397;0.0;0.0
2022.0;70.0;0.35;0.1;0.1;11.050368321527491;0.0;0.02410771485199231;0.025583146243577687;0.0;0.0;0.0;0.0;9.34304814055086;0.0;0.0
2023.0;65.33333333333333;0.32666666666666666;30.0949999999999;30.09499999999993;3.0644379526585936;0.0;3.375019552575161;5.787095344298233;0.0;0.0;0.0;0.0;7.177456389980998;0.0;0.0
2024.0;60.666666666667325;0.3033333333337685;30.189999999999753;30.189999999999824;4.632066354132341e-13;0.0;5.947605476450781;7.369835998991046;0.0;0.0;0.0;0.0;5.550160818579364;0.0;0.0
2025.0;56.000000000001315;0.28000000000087505;79.50662838123934;30.185000000002344;0.0;0.0;8.741832109154242;5.706070242559725;0.0;0.0;0.0;0.0;2.924548490244479;0.0;0.0
2026.0;51.33333333333531;0.2566666666679862;88.73495355602509;30.180000000005336;0.0;0.0;9.838830306707646;5.719980348255204;0.0;0.0;0.0;0.0;2.848806514387485;0.0;0.0
2027.0;46.66666666666941;0.23333333333528503;88.72995355967251;30.175000000009025;1.4527018850555595;0.0619393939394737;9.492198364209223;5.6604653570584444;0.0;0.0;0.0;0.0;2.8136788616681874;0.0;0.0
2028.0;42.000000000003624;0.21000000000258448;106.99615475092212;30.170000000014014;8.299357426633068e-10;0.05574545454561316;11.868349595499504;5.851496121793243;0.0;0.0;0.0;0.0;2.7565169998729675;0.0;0.0
2029.0;37.33333333333799;0.18666666666990397;116.37326177224432;30.16500000002513;2.6265921104907825e-11;0.04955151515173987;12.972340745541333;5.864878470787707;0.0;0.0;0.0;0.0;2.7034895545534856;0.0;0.0
2030.0;32.66666666667252;0.16333333333726094;125.80375161100584;30.16000000069359;5.944245173128493e-12;0.043357575757891696;14.133547177437435;5.824253995172722;0.0;0.0;0.0;0.0;2.6683718795363367;0.0;0.0
2031.0;28.00000000000728;0.1400000000046637;125.79875161122644;40.69552772682442;2.665310898366492e-12;0.03716363636398728;13.649325063766257;7.813842256269003;0.0;0.0;0.0;0.0;2.6416584771485456;0.0;0.0
2032.0;23.333333333342335;0.11666666667213421;127.11001323411672;48.89895625455098;1.863780784807793e-12;0.030969696969980736;13.609847822902031;9.360707406144511;0.0;0.0;0.0;0.0;2.5970654017376917;0.0;0.0
2033.0;18.666666666677763;0.09333333333970478;135.06663702708292;54.9124531113568;1.5079428334336051e-12;0.024775757575780325;13.937672878715652;10.53767299164795;0.0;0.0;0.0;0.0;2.5439943897125796;0.0;0.0
2034.0;14.0000000000137;0.07000000000744268;139.09763210360143;61.28488476422553;1.2029567036562006e-12;0.018581818179835726;14.244522462885296;11.739433493671406;0.0;0.0;0.0;0.0;2.4388097763420333;0.0;0.0
2035.0;9.333333333350382;0.046666666675540265;142.0226137747229;72.33946330327365;1.3719147969598474e-12;0.012387878787762607;13.78394939537808;13.706813695200173;0.0;0.0;0.0;0.0;2.535571139974342;0.0;0.0
2036.0;4.6666666666883065;0.023333333344172546;143.33517886301178;72.33446330357552;9.751873661037839e-13;7.081782425094729e-12;15.105085114422934;13.897836038998676;0.0;0.0;0.0;0.0;2.27696902424284;0.0;0.0
2037.0;2.8434826649564882e-11;1.4693524371595906e-11;161.57031069060127;82.40030725718921;1.998564283512555e-12;3.236072045162622e-12;14.917862960801898;15.585980994442904;0.0;0.0;0.0;0.0;3.0103453172431105;0.0;0.0
2038.0;3.595012421626602e-11;1.7007626394463242e-11;161.56531069099208;92.28317833781693;1.7230718483580516e-12;3.649865202030162e-12;14.643012884178459;17.361885197020783;0.0;0.0;0.0;0.0;2.892437417860695;0.0;0.0
2039.0;4.271506384883918e-11;1.8697146877102873e-11;172.14723282350104;93.89873808849386;1.4500043780417885e-12;3.7916666090071024e-12;15.750808846045295;17.75499127676509;0.0;0.0;0.0;0.0;2.758724252297565;0.0;0.0
2040.0;5.022984742914519e-11;2.033731365042962e-11;177.02446138592327;97.5221405383418;1.380913314525417e-12;3.976003634369501e-12;16.503226279337955;18.502121737972185;0.0;0.0;0.0;0.0;2.7044532000999553;0.0;0.0
2041.0;5.536809560595072e-11;2.1965845294745198e-11;185.86273083544987;102.00043549829812;1.1901233389258684e-12;3.614779520071293e-12;17.076943511472983;19.42869833397672;0.0;0.0;0.0;0.0;2.5225828748338013;0.0;0.0
2042.0;6.131203032855233e-11;2.3705032367709935e-11;192.17783126110783;104.64634413737973;1.1347973124448584e-12;3.3209832986409707e-12;17.992026406737704;20.01337853207793;0.0;0.0;0.0;0.0;2.421391671404367;0.0;0.0
2043.0;6.811856645020952e-11;2.560497667804737e-11;192.89019254803884;96.81692458433847;1.2701596811005008e-12;4.173265758094513e-12;20.55366868499439;18.952179746008866;0.0;0.0;0.0;0.0;2.5354281222200448;0.0;0.0
2044.0;7.564586402596797e-11;2.757389360408202e-11;207.58486513146852;101.77041945014864;1.2364086270278504e-12;3.870516592771334e-12;21.08013451699853;19.924647617066206;0.0;0.0;0.0;0.0;2.435986961763551;0.0;0.0
2045.0;8.394470001726323e-11;2.965060058940892e-11;217.3639605651839;106.69464706205308;1.2225489444855155e-12;3.488563427884015e-12;21.648260503783543;20.856400020252504;0.0;0.0;0.0;0.0;2.3375139065628203;0.0;0.0
2046.0;9.30540013932769e-11;3.185732203692089e-11;225.83753070146565;110.81411636038527;1.2285454973897933e-12;3.1662315089486236e-12;22.235461181857303;21.769673011186914;0.0;0.0;0.0;0.0;2.245203077772228;0.0;0.0
2047.0;1.0298666540807622e-10;3.419894016905454e-11;233.53780845365185;114.6488183463489;1.2495379356557356e-12;0.0;22.90197805470507;22.602772954845438;0.0;0.0;0.0;0.0;2.1539181434608285;0.0;0.0
2048.0;1.137360203930566e-10;3.6962064988124766e-11;239.69913326589403;118.24017645605198;1.2846855859083847e-12;0.0;23.587902675305298;23.416514031563835;0.0;0.0;0.0;0.0;2.0612918533864564;0.0;0.0
2049.0;1.2457754509334808e-10;3.979130482510186e-11;247.1150363401922;122.06388394065435;1.3391107275332016e-12;0.0;24.27098876529748;24.233078319044864;0.0;0.0;0.0;0.0;1.9675664413986058;0.0;0.0
2050.0;1.360392851925937e-10;4.320873945564375e-11;252.79226014942708;125.44376543540584;0.0;0.0;24.97213287632475;25.031544730657302;0.0;0.0;0.0;0.0;1.876611073250532;0.0;0.0
2051.0;1.4918088987224809e-10;4.732310564655489e-11;253.10660738689842;125.54859010798369;0.0;0.0;24.96163175789942;25.041921829760415;0.0;0.0;0.0;0.0;1.7714702296856715;0.0;0.0
2052.0;1.6401152420830937e-10;5.207971567797187e-11;253.16153366350204;125.93093428292873;0.0;0.0;24.925247475999743;25.07824233335127;0.0;0.0;0.0;0.0;1.669444771490184;0.0;0.0
