Year;EOM_avg;REC_y;ADD_CAP_Biomass;ADD_CAP_SPP_lignite;ADD_CAP_Solar;ADD_CAP_ICE;ADD_CAP_WindOffshore;ADD_CAP_WindOnshore;ADD_CAP_Nuclear;ADD_CAP_CCGT_old;ADD_CAP_CCGT_new;ADD_CAP_SPP_coal;ADD_CAP_OCGT;CAP_Biomass;CAP_SPP_lignite;CAP_Solar;CAP_ICE;CAP_WindOffshore;CAP_WindOnshore;CAP_Nuclear;CAP_CCGT_old;CAP_CCGT_new;CAP_SPP_coal;CAP_OCGT;FS_Biomass;FS_SPP_lignite;FS_Solar;FS_ICE;FS_WindOffshore;FS_WindOnshore;FS_Nuclear;FS_CCGT_old;FS_CCGT_new;FS_SPP_coal;FS_OCGT
2021.0;165.7226282487237;-3.493396482485187e-12;2.1244564632360663;0.0;55.41999999999976;1.1582285484651526e-14;6.353999999998584;82.43499999999973;3.1986003546096893e-15;0.0;8.019028841584933e-14;3.690815871295374e-15;2.0160699413405982e-11;12.6;24.35;110.84;14.407499999999999;12.708;164.87;78.48;59.5;90.0;22.470000000000002;11.39;110.37599999999975;211.4440475382092;137.34215934290341;1.7686764963141838e-13;46.29264014459302;354.4815821335945;687.4847999999996;0.5477212447819835;417.5744496951099;196.83719999995665;4.4253180554554577e-10
2022.0;248.31385812021628;-7.579737516732625e-11;1.7082192991954014e-13;0.0;83.12999999999887;1.20072235407933e-14;6.353999999994904;123.65249999999894;3.237474390219962e-15;0.0;8.175160960799831e-14;3.869229561584039e-15;2.037518405111738e-11;12.6;24.35;166.25999999999976;14.407500000000011;12.708;247.30499999999972;78.48;59.5;90.0;22.470000000000002;11.39000000002016;110.37599999999975;191.8320206748781;206.01323901426267;4.428167637760179e-11;46.29264014459302;531.7223732001715;687.4847999999996;0.0;217.22590231788809;193.16496727322433;0.0
2023.0;121.59603519601109;-1.4180434766852325e-8;8.12259768296966e-14;0.0;58.24255302619613;1.2709760974813163e-14;2.5208900869701645e-11;185.47874999996975;3.2754400186356716e-15;0.0;8.277857909230701e-14;4.065819106273123e-15;2.0554169737111726e-11;11.76;23.863;242.00066666666532;12.966750000000022;18.355999999998584;359.96616666666534;74.556;55.533333333333324;85.5;20.971999999999998;10.251000000040536;92.73136612932765;109.8794567358784;299.8637145650396;0.0;66.86714687306362;773.9514543243018;647.9175406292285;2.1096932938585025e-10;84.12436166317306;135.78394127069427;0.0
2024.0;71.51641480056338;1.5838621668667686e-9;1.497553489562565e-13;0.0;70.04858819249802;1.5290492321317022e-14;2.1613634160230993e-11;82.28821403909964;4.106435520143237e-15;0.0;1.0442925745960217e-13;5.225500971217674e-15;2.4847437229777653e-11;10.92;23.376;292.85388635952813;11.526000000000035;24.00399999999349;534.4535833333018;70.632;51.56666666666667;81.00000000000009;19.474;9.11200000006109;68.49017953385493;45.21357136966908;362.87608376486037;0.0;87.4416536003456;1149.1111287479089;575.8895951536904;2.9645252846755837e-10;28.36217344248707;61.687628901931944;0.0
2025.0;66.13751208474865;1.6523386546553868e-9;4.041767066076614e-13;0.0;23.38312843723938;1.866677919295966e-14;2.0286678275285653e-11;36.268248958120445;5.212005377350285e-15;0.0;1.3388710677316962e-13;7.003715019504493e-15;3.061600574266378e-11;10.08;22.889;355.5131412186928;10.08525000000005;23.298000000018696;605.750464039068;66.708;47.6;76.50000000000016;17.976000000000003;7.9730000000859365;61.201889961270176;2.5920673847842857e-9;440.51734472826894;0.0;84.86984025976112;1302.4042146568247;557.0808134387498;2.800048152326647e-10;106.40301957475079;1.6460534101433548;6.64133173607684e-9
2026.0;66.00752825857789;1.4903685145811944e-7;6.102228231617353;0.0;20.2236380297936;2.388805336245435e-14;1.840343238974923e-11;41.86456756474513;6.757660722278122e-15;0.0;1.7494385797842304e-13;1.0039636169135075e-14;3.877369411960632e-11;11.364456463236065;22.402;371.50693632259885;8.64450000000007;22.592000000040308;631.0273796638552;62.784000000000006;43.633333333333326;72.00000000000024;16.478;6.834000000116553;68.76701680239961;0.3556607622398073;460.33530174423964;0.0;82.29802691786423;1356.7512822986198;522.2269575903682;3.2819320305342656e-10;105.84850106689134;2.848077444787552;7.183745437932061e-9
2027.0;66.58606167682129;2.5209487712124793e-7;5.682228231617748;0.0;19.937046040584594;3.2007248255132786e-14;1.7385407526794182e-11;46.89908375920968;9.054519126724658e-15;0.0;2.3117049121047575e-13;1.610725356725077e-14;5.1115234823531456e-11;10.524456463236238;21.915000000000003;384.3412410190591;7.203750000000094;21.886000000060594;661.9006138952669;58.86;39.666666666666664;67.50000000000036;14.98;5.695000000155328;52.97145425606929;1.2110624235147613;476.23832520746436;0.0;79.72621357561852;1423.1308111145759;483.86932945590615;5.727182552003304e-10;107.80496347677673;5.173450600941613;8.34030408652434e-9
2028.0;67.13977577031332;3.5117453240386495e-7;5.262228231617883;0.0;29.525876733452545;4.490275653452844e-14;1.6230298189636386e-11;45.060843190820556;1.2710172729321317e-14;0.0;3.121911126160326e-13;3.4199311179355264e-14;7.183191157824549e-11;9.684456463236318;21.428;396.88895372631043;5.763000000000126;21.180000000078998;697.8083643211434;54.93599999999999;35.699999999999996;63.00000000000048;13.482000000000001;4.556000000206443;47.606854799119006;2.1647773475210704e-9;491.77825454996326;0.0;77.14080678744237;1500.2183922113425;441.90675920355375;9.996931343684135;107.45541708759595;0.03845173814318871;9.59026481004341e-9
2029.0;68.0632078545101;4.255705502545061e-7;4.842228231617975;0.0;74.33190625579607;6.905927032436815e-14;1.4967348030473846e-11;68.31017578073927;1.893338926203742e-14;0.0;5.323973838482078e-13;4.221590051793151e-12;1.1349013703089887e-10;8.844456463236469;20.941000000000003;419.0254971264296;4.322250000000171;20.474000000096385;731.8778741786306;51.012;31.733333333333334;58.50000000000066;11.984000000000005;3.4170000002782737;42.643349559724065;1.3623262804214754e-9;518.9336497978586;0.0;74.50064230569423;1572.2664043059176;397.75180514971254;14.63424195365043;105.30456808899471;0.7589413710052388;1.1418588923239629e-8
2030.0;68.24945135003345;4.6991053981064526e-7;4.422228231618102;0.0;16.035314384864765;1.353768998588001e-13;1.685189886847336e-11;206.07856247469357;3.2405209188088303e-14;0.0;1.1452630641912217e-12;8.716422984196462e-13;2.38951674852127e-10;8.004456463236872;20.454;485.9680700488924;2.88150000000024;19.768000000112615;789.1967166260366;47.088;27.766666666666662;54.00000000000089;10.486000000000006;2.2780000003917644;34.92683332279647;0.38614109687371395;601.7760445029464;0.0;71.72561604847722;1696.3760969799737;349.4878585998137;16.26605771180564;93.8800700886807;1.4657993663619489;1.4466009997217287e-8
