Timestep;REC_price_h;REC_price_d;REC_price_m;REC_price_y;Biomass_h;Solar_h;WindOffshore_h;WindOnshore_h;electrolysis_h;Biomass_d;Solar_d;WindOffshore_d;WindOnshore_d;electrolysis_d;Biomass_m;Solar_m;WindOffshore_m;WindOnshore_m;electrolysis_m;Biomass_y;Solar_y;WindOffshore_y;WindOnshore_y;electrolysis_y
1.0;0.0038277295033183616;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263678915628311e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
2.0;0.0038277203271293654;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263678916428672e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
3.0;0.0038276867596366655;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263678919424481e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
4.0;0.0038286125385037454;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263678837670789e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
5.0;0.0038285671617880354;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263678841664857e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
6.0;0.0038276993511796647;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263678918258544e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
7.0;0.0038277269528759605;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263678915901639e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
8.0;0.0038281227432142156;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263678880908262e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
9.0;0.003828273121588688;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263678867625278e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
10.0;0.0038283120211344644;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263678864191918e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
11.0;0.003828291517910968;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.26367886598591e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
12.0;0.0038282828605547127;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263678866774743e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
13.0;0.003828267696722735;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263678868068525e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
14.0;0.0038282707940832843;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263678867837466e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
15.0;0.0038283236733930755;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263678863168245e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
16.0;0.0038283983327989956;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263678856538522e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
17.0;0.003828468533853984;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263678851787753e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
18.0;0.003828494938635899;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263679103211567e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
19.0;0.003828455923684024;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263679750684408e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
20.0;0.0038284590910502682;0.0;0.0;-1.5973013369858622e-6;0.0;0.0;0.0;0.0;-5.263678852002235e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248010820453;107.18344833008135;41.72912025279568;107.18344833008135;-6.229971687143272e-6
