Year;EOM_avg;REC_y;ADD_CAP_Biomass;ADD_CAP_SPP_lignite;ADD_CAP_Solar;ADD_CAP_ICE;ADD_CAP_WindOffshore;ADD_CAP_WindOnshore;ADD_CAP_Nuclear;ADD_CAP_CCGT_old;ADD_CAP_CCGT_new;ADD_CAP_SPP_coal;ADD_CAP_OCGT;CAP_Biomass;CAP_SPP_lignite;CAP_Solar;CAP_ICE;CAP_WindOffshore;CAP_WindOnshore;CAP_Nuclear;CAP_CCGT_old;CAP_CCGT_new;CAP_SPP_coal;CAP_OCGT;FS_Biomass;FS_SPP_lignite;FS_Solar;FS_ICE;FS_WindOffshore;FS_WindOnshore;FS_Nuclear;FS_CCGT_old;FS_CCGT_new;FS_SPP_coal;FS_OCGT
2021.0;162.21584048062678;-6.69012491202913e-13;2.835958485452003e-13;0.0;55.41999999999982;3.224607531881143e-16;6.353999999999697;82.43499999999992;5.357474399060359e-14;0.0;5.799614425133934e-13;8.214588114430653e-14;1.1577695629353591e-12;12.6;24.35;110.84;14.407499999999999;12.708;164.87;78.48;59.5;90.0;22.470000000000002;11.39;110.37599999999975;211.73919152523843;137.34215934290341;0.0;46.29264014459302;354.4815821335945;687.4847999999996;1.2438879116864314;435.96325497026413;196.83719999901936;0.0
2022.0;245.08106460403235;-8.741321030733341e-7;2.62668556832058e-13;0.0;83.12999999999919;3.338849489659861e-16;6.3539999999988055;123.65249999999969;5.176963823637743e-14;0.0;5.929884889439195e-13;8.61722836818659e-14;1.1778192533778848e-12;12.6;24.35;166.25999999999982;14.407499999999999;12.708;247.30499999999992;78.48;59.5;90.0;22.470000000000002;11.390000000001159;110.37599999999975;197.4647488890888;206.0132390142841;0.05793422735310114;46.29264014459302;531.7223732003225;687.4847999999996;0.0;248.01047997015695;194.47771079253377;0.0
2023.0;120.618759621401;-9.944539955341138e-12;2.455412283800212e-13;0.0;107.32175990429886;3.4622209909221826e-16;2.3183240070204758e-12;185.4787499999967;5.0372948791755296e-14;0.0;6.045387040740837e-13;9.061371683556285e-14;1.1912516784148705e-12;11.76;23.863;242.00066666666567;12.96675;18.355999999999696;359.96616666666625;74.556;55.533333333333324;85.5;20.971999999999998;10.251000000002335;97.34643293169296;163.11146795333724;299.86371456516576;0.0;66.86714687513353;773.9514543248451;651.4439616084371;7.320381719938986e-12;110.52013517054674;105.57071250856036;0.0
2024.0;74.46379689651168;1.5930881086766334e-12;3.0178460015560465e-13;0.0;110.86508075051343;4.138607144836478e-16;2.3818278745803336e-12;194.0227975628833;6.214493086975036e-14;0.0;7.720433692253249e-13;1.169034505859036e-13;1.4463171829931786e-12;10.92;23.376;341.93309323763117;11.526000000000002;24.003999999998502;534.4535833333297;70.632;51.56666666666667;81.00000000000058;19.474;9.112000000003526;81.50740924096775;81.56991313221175;423.69026863959874;0.0;87.44165360560315;1149.1111287493623;609.3885397033908;9.188085709950123e-12;38.46930113229292;41.6420960176422;0.0
2025.0;63.42178078264643;2.7306263978901604e-11;3.790617555369459e-13;0.0;78.18394910588657;4.991963892972438e-16;2.471836355067322e-12;110.23089111605849;7.797697430529825e-14;0.0;1.014994032959521e-12;1.5759090691996647e-13;1.7940143206291688e-12;10.08;22.889;445.4088406548113;10.08525;23.29800000000082;717.4850475628796;66.708;47.6;76.50000000000118;17.976000000000003;7.973000000004972;75.62358077915056;0.8001820264687778;551.9073616555534;0.0;84.8698402640822;1542.6410797429191;570.5444062844404;6.997722405017608e-12;83.96393916109002;2.186638853940646e-8;0.0
2026.0;62.80887884465845;3.724841487258796e-8;4.890171979661481e-13;0.0;36.85043518599451;6.167416493715929e-16;2.585660351146225e-12;57.64202165556688;9.998474679843223e-14;0.0;1.3784390858583359e-12;2.2558010239181535e-13;2.3120290698783227e-12;9.240000000000283;22.402;516.2034564273645;8.6445;22.592000000003203;816.7246053456048;62.784000000000006;43.633333333333326;72.00000000000178;16.478;6.834000000006766;69.25496070996674;0.6266827796214505;639.629171471948;0.0;82.29802692263459;1756.012799601305;532.2344633296383;6.929213669235714e-12;69.9826233404176;3.4048206269923675e-9;2.2971985432208372e-11
2027.0;62.84979083869279;2.2304288278364443e-8;6.5946986227411e-13;0.0;34.779115053468715;7.878562136992859e-16;2.6929955868063947e-12;57.869080339059394;1.320852953059122e-13;0.0;1.950807980390538e-12;3.586975498438554e-13;3.1647693114827424e-12;8.400000000000547;21.915000000000003;545.6645582800257;7.203750000000002;21.886000000005673;863.3752936678383;58.86;39.666666666666664;67.50000000000254;14.98;5.695000000009079;62.63793492503585;1.9642103025143391;676.1345065951857;0.0;79.72621358115443;1856.3149152322753;495.3454464705368;8.491520950736437e-12;72.33085140120822;6.8222470918011495e-9;3.464366407810626e-10
2028.0;63.09260534344905;2.9029735458376393e-8;9.323591682892123e-13;0.0;39.56357329300291;1.040741383010347e-15;2.811991856189042e-12;56.43556465544878;1.8029442937773784e-13;0.0;2.9897869456441854e-12;7.566722672624539e-13;4.9628424696202904e-12;7.560000000000791;21.428;573.0543400001611;5.7630000000000035;21.180000000008263;910.2530406735643;54.93599999999999;35.699999999999996;63.00000000000357;13.482000000000001;4.556000000012244;56.53882868787727;4.546968271517837;710.0251245473903;0.0;77.13398929694176;1956.8477485224323;460.22930789748426;1.2795388916242786e-11;73.49705049771754;0.10134297503933393;4.1143921912058786e-10
2029.0;63.43033427085235;5.5641493747486904e-5;1.422601670253208e-12;0.0;18.99533249408537;1.4622298417766569e-15;2.9171229663658553e-12;70.74011821665644;2.585376241767122e-13;0.0;5.481711569516323e-12;1.6404942199214164e-10;8.114278590569772e-12;6.720000000001093;20.941000000000003;605.2285799598308;4.322250000000004;20.474000000010957;955.6972719956797;51.012;31.733333333333334;58.500000000004945;11.984000000000083;3.417000000017206;49.817617549384465;5.197202772924068;749.7578794905522;0.0;74.43916240585637;2053.5960174824554;423.7000705621812;5.683234598292371e-11;73.74293555409412;3.348074832049904;5.135014872754182e-10
2030.0;64.0527161105482;3.368644506006384e-5;2.4538579194029004e-12;0.0;12.923809934225318;2.2960059248974378e-15;3.0217256312521184e-12;76.84475587113876;4.1796852449267943e-13;0.0;1.7184995574822394e-11;4.043163669919739e-12;2.387882473743691e-11;5.8800000000014725;20.454;616.8345791205827;2.8815000000000057;19.768000000013767;1015.4460568790029;47.088;27.766666666666662;54.00000000000689;10.486000000000168;2.278000000025321;43.79684570666916;6.546445400027103e-10;764.1325966314586;0.0;71.80786019808393;2179.8526157176516;385.42336469444285;11.972572509118637;70.4876226986808;0.5707306054716488;6.068551795057442e-10
