Hour;EOM_price;PROD_electrolysis_base;PROD_electrolysis_peak
1.0;9.998894072960638;0.16528931351992826;0.04310000000004046
2.0;10.003007929081209;0.16528931351992823;0.04310000000004045
3.0;10.00016874660811;0.16528931351992823;0.04310000000004046
4.0;9.998339550981152;0.16528931351992826;0.04310000000004047
5.0;9.999937882389295;0.16528931351992826;0.04310000000004046
6.0;9.999257224704401;0.16528931351992823;0.04310000000004046
7.0;10.002622608679056;0.16528931351992823;0.04310000000004045
8.0;10.037658788204116;0.1652893135199282;0.043100000000040405
9.0;25.65732809542654;0.16528931351990817;0.0431000000000061
10.0;10.010538719359996;0.16528931351992826;0.04310000000004045
11.0;9.03690825158574;0.16528931351992904;0.043100000000041876
12.0;0.001126206265700673;0.16528931351993506;0.04310000000005286
13.0;0.0011262342876764088;0.16528931351993506;0.04310000000005286
14.0;0.0011261303564171193;0.16528931351993506;0.04310000000005286
15.0;10.002891392711378;0.16528931351992823;0.04310000000004046
16.0;19.702119207405588;0.1652893135199179;0.04310000000002242
17.0;52.39951616744703;0.1652893135192814;0.04309999999956736
18.0;54.849281791292945;0.1587693328500116;0.043099999999245485
19.0;54.83876116691406;0.15806831904937282;0.04309999999924815
20.0;54.867637965209546;0.15813692303743762;0.04309999999924127
21.0;54.8697976086679;0.15654707849741853;0.04309999999924098
22.0;50.39774732312724;0.1652893135195888;0.04309999999969495
23.0;50.00388920341842;0.16528931351961929;0.04309999999971328
24.0;46.764820049140035;0.16528931351975792;0.043099999999819553
25.0;58.95149257215489;3.2576798629514256e-13;0.03814230230940501
26.0;54.86266317657899;0.006253491088129825;0.0430999999994182
27.0;54.86350694052988;0.016532901735145867;0.04309999999941807
28.0;54.863279356399346;0.025395371269917172;0.0430999999994181
29.0;54.863325176947185;0.028377462146059188;0.0430999999994181
30.0;54.86364895964145;0.03348039720996982;0.04309999999941804
31.0;54.8636200057386;0.03231565302561901;0.043099999999418034
32.0;54.863253364525995;0.024592367847344726;0.0430999999994181
33.0;54.8631873255992;0.02943216574235777;0.04309999999941811
34.0;54.86404549668468;0.044710935440682185;0.04309999999941797
35.0;54.86411470568395;0.0693983503232815;0.04309999999941796
36.0;54.864381791194546;0.09227751180773576;0.04309999999941791
37.0;54.864532206149576;0.11155665153240614;0.04309999999941789
38.0;54.8644915458081;0.11468116580713326;0.043099999999417896
39.0;54.86430576728991;0.10268590976305723;0.04309999999941793
40.0;54.86406856496325;0.07406476292492063;0.043099999999417965
41.0;54.86352109859671;0.04629464480247496;0.04309999999941806
42.0;54.863184955847615;0.01905169268066353;0.043099999999418125
43.0;54.86314841332788;0.014575932027564216;0.043099999999418145
44.0;54.86431108367129;0.01775026404893108;0.043099999999417916
45.0;54.86391232043426;0.030404282534477873;0.043099999999417986
46.0;54.86356862771376;0.047564537375016626;0.04309999999941805
47.0;54.86339835184066;0.050511535642114455;0.04309999999941808
48.0;54.863530284034375;0.05712159571235806;0.04309999999941806
49.0;107.95840671387923;4.1959087568836364e-14;9.588889290707173e-14
50.0;107.9619581893583;4.195628207398703e-14;9.588198442396221e-14
51.0;107.96015876126344;4.195759938415089e-14;9.588522826878552e-14
52.0;107.95842728051997;4.195906503814577e-14;9.588883742534417e-14
53.0;107.95935490152091;4.195826719099594e-14;9.58868727332405e-14
54.0;107.95793952908951;4.195959944822623e-14;9.589015340906898e-14
55.0;107.96202091920455;4.195623721468025e-14;9.588187395925822e-14
56.0;107.95905348690421;4.195877830414514e-14;9.588813134452905e-14
57.0;58.945909832035;5.453550105264948e-13;0.022993151513576435
58.0;54.86620481669125;0.037235120234314835;0.04309999999896937
59.0;54.866543152505756;0.09978129535982895;0.04309999999896929
60.0;54.8663387040556;0.143983192531645;0.043099999998969366
61.0;49.99274233233639;0.165289313519508;0.043099999999586885
62.0;31.550616310378754;0.1652893135198702;0.04309999999994087
63.0;54.02124185086124;0.16528931351730214;0.043099999999162135
64.0;54.86633587785296;0.12359151856836598;0.043099999998969345
65.0;54.86567921982702;0.05320197429293131;0.04309999999896953
66.0;71.03048095154607;1.378685898475629e-13;3.8324076002917185e-13
67.0;107.96150545294356;4.195682265329682e-14;9.588331558567902e-14
68.0;110.72372035648753;3.988352899897604e-14;9.079740837849757e-14
69.0;110.71924711633623;3.988698795913575e-14;9.080586100851836e-14
70.0;110.71811474818506;3.988782609020436e-14;9.080790915814721e-14
71.0;110.03906983232248;4.0374105535337666e-14;9.199730395311803e-14
72.0;107.95915461384095;4.1958768956138267e-14;9.588810832513628e-14
73.0;58.95357166209057;3.4053932074649764e-13;0.011966510565811689
74.0;62.73665454692286;1.7713653754999738e-13;7.419874144608158e-13
75.0;73.2935079463897;7.562603914635143e-14;2.030851060662943e-13
76.0;81.90743332165943;5.153045606818944e-14;1.275441339621728e-13
77.0;70.64174857823082;8.834109600130414e-14;2.483731510835277e-13
78.0;66.0812932578783;1.242812881281955e-13;4.029576813045206e-13
79.0;58.95142432339961;3.4069964905961575e-13;0.01809173131457608
80.0;54.86482402025517;0.010185567732092714;0.043099999999386976
81.0;54.86535026733189;0.063503983995826;0.04309999999938688
82.0;54.865919147007354;0.10819628559033101;0.043099999999386775
83.0;54.86629300644985;0.13313594560284842;0.043099999999386705
84.0;54.86820942513533;0.14594978201850894;0.04309999999938646
85.0;39.935265223309145;0.16528931351987228;0.04309999999995714
86.0;10.570515302733625;0.16528931351993428;0.04310000000005223
87.0;10.004081332680151;0.16528931351993467;0.043100000000052936
88.0;35.810837203795664;0.16528931351989254;0.043099999999985095
89.0;54.865424536072695;0.12893937331309022;0.043099999999386865
90.0;54.864820068043855;0.08691016021901692;0.04309999999938697
91.0;54.86422895500598;0.035252905725897954;0.04309999999938707
92.0;58.95491731030749;3.4040744428256305e-13;0.040000598214448485
93.0;58.95493356216622;3.4041736250466296e-13;0.030891076034065955
94.0;58.95434701439158;3.404848379669351e-13;0.029699809461920242
95.0;58.95112495231647;3.407673315457048e-13;0.035334362295215235
96.0;58.95402484301734;3.404783740268265e-13;0.040090531905652683
97.0;107.95968518202402;2.4301691672060683e-14;5.5598970903868754e-14
98.0;107.96227688936891;2.4300510623039242e-14;5.55960561649739e-14
99.0;107.96195195203366;2.4300640365390974e-14;5.559637635812011e-14
100.0;107.9608021482555;2.4301225219323332e-14;5.559781973143166e-14
101.0;107.9620016638025;2.4300673550051536e-14;5.5596458255089904e-14
102.0;107.9597465054614;2.43016587739245e-14;5.559888971347438e-14
103.0;102.88982498344282;2.6859927213917916e-14;6.196537155660437e-14
104.0;58.95575088288836;3.1503841576697743e-13;0.03867987531655322
105.0;54.86609218435447;0.06112356817827503;0.043099999999439156
106.0;54.866928354915466;0.1263976400406731;0.04309999999943902
107.0;40.699406786380415;0.16528931351987458;0.04309999999996264
108.0;10.012751327443418;0.16528931351993698;0.04310000000005741
