Year;ADD_CAP_DAC;CAP_DAC;CO2_captured_DAC
2021.0;1.302563692160345e-15;0.007;6.223912449783028e-7
2022.0;1.3859029231679204e-15;0.007;5.488007535792559e-7
2023.0;1.4088114810791963e-15;0.00665;4.101554260193739e-7
2024.0;1.5890666320484716e-15;0.006300000000001303;1.426545178437035e-7
2025.0;1.881403220915669e-15;0.005950000000002688;1.3008088172734492e-7
2026.0;2.141514369512441e-15;0.005600000000004098;1.5520754916101202e-7
2027.0;2.4581853305987453e-15;0.005250000000005687;1.533479817050203e-7
2028.0;2.954531302464595e-15;0.004900000000007568;1.6016856411068758e-7
2029.0;3.423372711296969e-15;0.0045500000000097095;1.5167817384526287e-7
2030.0;4.01995363341688e-15;0.004200000000012167;1.833979920316548e-7
2031.0;4.8952114666383314e-15;0.0038500000000151226;8.773700524785826e-8
2032.0;5.953354774310099e-15;0.0035000000000185456;1.2475339992811255e-7
2033.0;7.332051691261035e-15;0.0031500000000225653;1.3231265152904662e-7
2034.0;9.450813663296033e-15;0.002800000000027461;1.4715810137145777e-7
2035.0;1.2520228392671952e-14;0.0024500000000334137;1.5206453232985652e-7
2036.0;1.7380379103974302e-14;0.002100000000040746;1.8032631647029353e-7
2037.0;2.605997979158908e-14;0.0017500000000501969;1.8013860906307109e-7
2038.0;6.490951963841772e-14;0.0014000000000627172;1.978005987941554e-7
2039.0;2.3981642560575863e-11;0.0010500000000800973;2.0814564976024496e-7
2040.0;3.812636444413028e-12;0.0007000000001061574;2.3151649226048476e-7
2041.0;4.268848867073183e-6;0.0003500000001710669;2.5806526222547345e-7
2042.0;5.4048156970978884e-14;2.4152709404394683e-11;9.076256125996325e-8
2043.0;2.040803002392376e-13;2.796534584880771e-11;1.044746113407448e-7
2044.0;2.134437067627883e-5;4.268876831116468e-6;3.903230959072138e-7
2045.0;1.1479757931999163e-13;4.2688768837787214e-6;4.4633702810496197e-7
2046.0;1.6110897065820864e-5;4.26887708645021e-6;4.987877849108993e-7
2047.0;0.00012806623421246464;2.5613247761139974e-5;5.516239172986402e-7
2048.0;1.9912818779985413e-13;2.561324787405615e-5;6.042190568638003e-7
2049.0;0.00020862072292935713;4.17241449377355e-5;6.64575183038954e-7
2050.0;0.0008489518941625072;0.00016979037914774197;7.806272054218843e-7
2051.0;0.0002569361898874452;0.00016979037934391559;0.08077395372171564
2052.0;0.0018920555086988527;0.0003784111022698493;1.4059373200930885
2053.0;0.006136814981241185;0.0012273629964283366;5.040265706848715
2054.0;0.003048321783878998;0.0014842991863108865;13.002460316308452
2055.0;0.009953935763752414;0.003376354695003786;29.57686618442688
2056.0;0.047565848379848064;0.009513169676237639;59.57627589346148
2057.0;0.0;0.012561491460107186;110.03866436728795
2058.0;0.0;0.022515427223847077;197.23514068327376
2059.0;0.0;0.07008127560367776;345.93103881188983
2060.0;0.0;0.07008127560365171;613.9119739984264
