Timestep;EOM_price;Demand;Biomass;SPP_lignite;Solar;ICE;WindOffshore;WindOnshore;Nuclear;CCGT_old;CCGT_new;SPP_coal;OCGT;electrolysis
1.0;162.3464832209763;-0.28487954000000004;0.0126;0.02434999999997098;1.683027812e-5;0.0;0.009528839995824;0.08506607987344;0.07848000000000001;9.365436639244923e-14;0.05236889431774977;0.022469999999787132;0.0;-1.6334587220161179e-13
2.0;162.34648322099153;-0.28233063199999997;0.0126;0.02434999999997098;1.5840144399999998e-5;0.0;0.009384660009360002;0.08531898748578;0.07848000000000001;9.365436639248477e-14;0.04971224882547367;0.022469999999787132;0.0;-1.6334587220161179e-13
3.0;162.34648322100145;-0.28039142600000005;0.0126;0.02434999999997098;1.5840144399999998e-5;0.0;0.009435690000000002;0.08513718203937999;0.07848000000000001;9.365436639251062e-14;0.04790381828115983;0.022469999999787132;0.0;-1.6334584509655747e-13
4.0;162.34648322101143;-0.277665108;0.0126;0.02434999999997098;1.683027812e-5;0.0;0.009073619992584;0.08458096506648001;0.07848000000000001;9.36543663925397e-14;0.04609479712767166;0.022469999999787132;0.0;-1.6334584509655747e-13
5.0;162.34648322100978;-0.278801248;0.0126;0.02434999999997098;1.683027812e-5;0.0;0.00874719000324;0.08574650050675;0.07848000000000001;9.365436639253324e-14;0.04639183167676503;0.022469999999787132;0.0;-1.6334584509655747e-13
6.0;162.34648322099264;-0.28366492;0.0126;0.02434999999997098;1.683027812e-5;0.0;0.009467280003888;0.08676803139961;0.07848000000000001;9.3654366392488e-14;0.049513882783387544;0.022469999999787132;0.0;-1.6334587220161179e-13
7.0;162.34648322092576;-0.29589681;0.0126;0.02434999999997098;2.1780281680000002e-5;0.0;0.009099540004571999;0.08885069462959001;0.07848000000000001;9.365436639231352e-14;0.06002589954968447;0.022469999999787132;0.0;-1.6334584509655747e-13
8.0;162.34648322075327;-0.310857744;0.0126;0.02434999999997098;0.0005286647916400001;0.0;0.008993430009108;0.08964901874600001;0.07848000000000001;9.365436639187408e-14;0.07378773492012587;0.022469999999787132;0.0;-1.6334584509655747e-13
9.0;162.3464832204801;-0.31669256;0.0126;0.02434999999997098;0.00285419572812;0.0;0.0073045800036;0.08770225967058999;0.07848000000000001;9.365436639116646e-14;0.08093262906669754;0.022469999999787132;0.0;-1.6334587220161179e-13
10.0;162.34648322035912;-0.32209970599999993;0.0126;0.02434999999997098;0.0080527327166;0.0;0.007302150005256001;0.08641522081077001;0.07848000000000001;9.365436639085303e-14;0.08243070693732768;0.022469999999787132;0.0;-1.6334587220161179e-13
11.0;162.34648322042685;-0.32911517;0.0126;0.02434999999997098;0.015675801377800003;0.0;0.007414740000540002;0.08646832230524001;0.07848000000000001;9.365436639103075e-14;0.08165741078584543;0.022469999999787132;0.0;-1.6334584509655747e-13
12.0;162.34648322045166;-0.333899634;0.0126;0.02434999999997098;0.020726826952280005;0.0;0.007492499998380001;0.08644672169732;0.07848000000000001;9.365436639109537e-14;0.08133468982124839;0.022469999999787132;0.0;-1.6334584509655747e-13
13.0;162.34648322049767;-0.33468972399999997;0.0126;0.02434999999997098;0.022106899450000002;0.0;0.007544339996940001;0.08647552250788;0.07848000000000001;9.365436639121169e-14;0.08066406651405013;0.022469999999787132;0.0;-1.6334587220161179e-13
14.0;162.3464832204933;-0.33232339;0.0126;0.02434999999997098;0.01928636405644;0.0;0.007662599996832;0.08674193066504;0.07848000000000001;9.3654366391202e-14;0.08073359975059041;0.022469999999787132;0.0;-1.6334587220161179e-13
15.0;162.34648322029622;-0.3291131580000001;0.0126;0.02434999999997098;0.014537291248439999;0.0;0.007424460006624;0.08622081484488;0.07848000000000001;9.365436639069147e-14;0.08303169637050002;0.022469999999787132;0.0;-1.6334587220161179e-13
16.0;162.3464832198849;-0.32351599600000003;0.0126;0.02434999999997098;0.008126983324200001;0.0;0.007514369996184;0.08455846443323001;0.07848000000000001;9.365436638963165e-14;0.0854172827200416;0.022469999999787132;0.0;-1.6334587220161179e-13
17.0;162.34648321891513;-0.320509878;0.0126;0.02434999999997098;0.00299576700484;0.0;0.007391249999604001;0.08465296725775001;0.07848000000000001;9.365436638694331e-14;0.08757099821635178;0.022469999999787132;0.0;-1.6334584509655747e-13
18.0;162.34648317973472;-0.321108626;0.0126;0.02434999999997098;0.0007256765737600001;0.0;0.007328070004536;0.08620011426229;0.07848000000000001;9.365436630911725e-14;0.08895587020367603;0.022469999999787132;0.0;-1.6334584509655747e-13
19.0;162.3464829562808;-0.32147224799999996;0.0126;0.02434999999997098;5.9400596919999995e-5;0.0;0.007090739996832;0.08707314064596;0.07848000000000001;9.365436573093416e-14;0.08935007300130318;0.022469999999787132;0.0;-1.6334581799150316e-13
20.0;162.3464832191695;-0.31719631800000003;0.0126;0.02434999999997098;2.079014796e-5;0.0;0.005391360002736;0.08673653051306;0.07848000000000001;9.365436638777049e-14;0.08714874181523975;0.022469999999787132;0.0;-1.6334584509655747e-13
21.0;162.3464832203818;-0.31047439;0.0126;0.02434999999997098;1.881021304e-5;0.0;0.005158890004428001;0.08520918406578001;0.07848000000000001;9.365436639091442e-14;0.08218861018652525;0.022469999999787132;0.0;-1.6334584509655747e-13
22.0;162.34648322074653;-0.301958728;0.0126;0.02434999999997098;1.881021304e-5;0.0;0.005058450000864;0.08489237449014002;0.07848000000000001;9.365436639185146e-14;0.07409019776288049;0.022469999999787132;0.0;-1.6334587220161179e-13
23.0;162.34648322084934;-0.29501343399999996;0.0126;0.02434999999997098;1.881021304e-5;0.0;0.005674049996472;0.08347843172905002;0.07848000000000001;9.365436639211965e-14;0.06794324652756392;0.022469999999787132;0.0;-1.6334584509655747e-13
24.0;162.3464832209136;-0.28822332;0.0126;0.02434999999997098;1.881021304e-5;0.0;0.006036120003888;0.08272780879026;0.07848000000000001;9.365436639228444e-14;0.06154168545843783;0.022469999999787132;0.0;-1.6334584509655747e-13
25.0;162.34648322130482;-0.25112011;0.0126;0.024349999999977008;1.683027812e-5;0.0;0.006204599999208;0.04342001679544;0.07848000000000001;7.423508828560538e-14;0.06357976739466385;0.02246999999983132;0.0;-1.2960837372961997e-13
26.0;162.34648322134333;-0.247231508;0.0126;0.024349999999977008;1.683027812e-5;0.0;0.0073896299964719995;0.04453425062703;0.07848000000000001;7.423508828568616e-14;0.05739190156551274;0.02246999999983132;0.0;-1.2960837372961997e-13
27.0;162.34648322135595;-0.24718417;0.0126;0.024349999999977008;1.7820190160000002e-5;0.0;0.008163989994024;0.04612189877142;0.07848000000000001;7.42350882857104e-14;0.05498156551143017;0.02246999999983132;0.0;-1.2960837372961997e-13
28.0;162.34648322136206;-0.248009674;0.0126;0.024349999999977008;1.683027812e-5;0.0;0.008693730001548;0.04767534595327;0.07848000000000001;7.42350882857217e-14;0.05372487223405094;0.02246999999983132;0.0;-1.2960837372961997e-13
29.0;162.34648322135754;-0.250185334;0.0126;0.024349999999977008;1.5840144399999998e-5;0.0;0.00915623999982;0.04847547012034001;0.07848000000000001;7.423508828571201e-14;0.05463888820246161;0.02246999999983132;0.0;-1.2960837372961997e-13
30.0;162.3464832213328;-0.257285702;0.0126;0.024349999999977008;1.5840144399999998e-5;0.0;0.009438120011052;0.050644535782000004;0.07848000000000001;7.423508828566354e-14;0.059288310529758255;0.02246999999983132;0.0;-1.2960837372961997e-13
