Year;EOM_avg;REC_y;CAP_Biomass;CAP_SPP_lignite;CAP_Solar;CAP_ICE;CAP_WindOffshore;CAP_WindOnshore;CAP_Nuclear;CAP_CCGT_old;CAP_CCGT_new;CAP_SPP_coal;CAP_OCGT;FS_Biomass;FS_SPP_lignite;FS_Solar;FS_ICE;FS_WindOffshore;FS_WindOnshore;FS_Nuclear;FS_CCGT_old;FS_CCGT_new;FS_SPP_coal;FS_OCGT
2021.0;1715.3613283985796;-1.213203053209213e-6;12.6;24.35;110.84;14.407499999999999;12.708;164.87;78.48;59.5;90.0;22.470000000000002;11.39;110.37599999999975;2.3201026452206433e-16;152.6023991968598;3.4865599284802184e-17;51.43626682318845;393.86842451608385;687.4847999999996;9.439606125282282e-15;1.9924182834646408e-17;3.5701156055366343e-16;2.7339238676617157e-16
2022.0;1170.2133107705251;-1.2148459978188503e-6;12.6;24.35;166.25999999999976;14.4075;12.708;247.305;78.48;59.5;90.0;22.470000000000002;11.390000000000002;110.18413919762348;2.327184591169507e-16;228.90359879519988;3.3572061807946676e-17;51.43626682318845;590.802636774122;687.4847999999996;9.688790307265662e-15;1.8516884610192205e-17;3.6833443263579905e-16;2.4674530519463183e-16
2023.0;308.0109538948846;-9.644797755342284e-7;11.76;23.863;297.42066666666244;12.966750000000001;18.355999999999952;442.4011666666667;74.556;55.533333333333324;85.5;20.971999999999998;10.251000000000001;53.56004831038988;1.2955928665811288e-16;409.0857685029149;1.653691136092622e-17;73.9362964883664;1056.4698438451026;501.9969730599223;4.5087540811489615e-15;8.74466399070674e-18;2.1102574128269316e-16;9.862286848889642e-17
2024.0;120.4934360839832;-1.0725064421967035e-6;10.92;23.376;290.0313333333367;11.526000000000002;17.650000000000283;740.5410833333332;70.632;51.56666666666667;81.0;19.474;9.112000000000004;22.471172283929334;6.21487785264539e-17;387.7025501012118;7.649055428031931e-18;68.86311817939529;1539.9523434038585;237.74357434316101;2.2777512028647876e-15;4.267923684503901e-18;1.0594234464482453e-16;5.4926950485922263e-17
2025.0;88.67123970577161;-1.286153195959362e-6;10.08;22.889;282.64200000001244;10.08525;16.944000000000415;1000.2029283069326;66.708;47.6;76.5;17.976000000000003;7.9730000000000025;16.74741142965488;5.026478074277934e-17;375.54422401747746;6.020698288371898e-18;63.5237268422324;1738.3055520239448;150.0714936937069;1.7621253875835366e-15;3.4555442203364813e-18;8.595730269706469e-17;3.9528609882341226e-17
2026.0;88.80997294857255;-5.589223437015732e-10;15.539999999999907;22.402;275.25266666669614;8.6445;16.238000000000564;1022.3154499102853;62.784000000000006;43.633333333333326;72.0;16.478;6.834000000000003;25.818925953997752;5.4788386299732355e-17;366.0746566509649;5.539095582039052e-18;61.726582438537;1787.6897350378522;149.68674413223093;1.7577758268431265e-15;3.666207843903553e-18;9.289408642302957e-17;4.387161686462602e-17
2027.0;88.17651050602838;-5.241542496995758e-10;27.299999999999756;21.915000000000003;267.86333333340207;7.203750000000001;15.53200000000075;1011.3241165770165;58.86;39.666666666666664;67.5;14.98;5.695000000000006;45.39092901195617;5.948871767448229e-17;360.9330906874111;5.411355941966066e-18;59.49627681702828;1820.6501853005775;156.5900072449931;2.1792274893555316e-15;3.77695321153195e-18;9.518398018197552e-17;4.965214596014898e-17
2028.0;88.38843316725166;-3.5018058350342725e-10;39.05999999999944;21.428;260.4740000002694;5.763000000000003;14.826000000000974;1010.2251194871282;54.93599999999999;35.699999999999996;63.0;13.482000000000001;4.556000000000008;66.22966382868057;7.088480242252035e-17;355.5452222570115;5.261959940727576e-18;57.68509026192834;1861.6583022870877;160.17170778384644;2.2190465507587638e-15;3.885387829038326e-18;1.1659144014993633e-16;4.835560132714701e-17
2029.0;88.24365158359534;6.663793540659691e-10;49.979999999998974;20.941000000000003;253.0846671181619;4.322250000000002;14.12000000000125;1034.2926270250919;51.012;31.733333333333334;58.5;11.984000000000007;3.417000000000011;89.30220881961897;8.52690348651477e-17;347.4339203271302;5.09530583470867e-18;54.794455955889724;1924.8809913974908;157.1851617180213;2.104997976511894e-15;3.486643290691749e-18;1.3525919694502543e-16;4.564222168785447e-17
2030.0;88.36468634109232;3.706298567070124e-9;60.05999999999825;20.454;272.67684406001024;2.8815000000000075;13.414000000001597;1076.7897667555073;47.088;27.766666666666662;54.0;10.486000000000006;2.278000000000046;104.88437143612926;8.772519524063734e-17;362.3640475101041;4.929982050959658e-18;53.16157185486957;1999.9476708522318;145.75493971763296;2.2581047050647316e-15;3.2911295978910505e-18;1.3795850788209015e-16;4.150414877317434e-17
2031.0;88.82839645431055;0.0040462301095577965;72.44999999999666;19.967;274.2074162353784;1.4407500000000153;12.708000000002063;1131.9236240259863;43.16400000000001;23.8;49.50000000000001;8.988000000000019;1.139000000000056;127.49097267545127;9.015374477274559e-17;366.0727946347114;4.9564532063700846e-18;50.11074700003077;2091.9205080460333;137.16313712001684;2.637839916597878e-15;2.890172847865576e-18;1.4003411737308254e-16;4.020438685257879e-17
2032.0;88.83436018319965;0.17802217446753898;89.29869227842723;19.480000000000004;291.13060622449746;2.9355820781364463e-14;12.002000000002742;1172.8770026009456;39.24000000000002;19.833333333333332;45.0;7.490000000000025;1.0023552762102964e-13;171.24198356567362;9.117592432599158e-17;400.46266824244907;4.989117568296002e-18;48.14891170158411;2182.4463468854674;128.0898451732724;2.8489221932291518e-15;2.795635396501608e-18;1.3897244916244236e-16;3.889028902242178e-17
2033.0;88.11979484045118;0.005965382693559038;88.4586922784288;18.993000000000002;353.2383992219619;3.54289632114025e-14;11.296000000003986;1379.741333541539;35.31600000000003;15.866666666666667;40.5;5.9920000000000355;1.1744327457098773e-13;153.40138869167743;8.644774683897957e-17;481.57756389831206;4.634406091328432e-18;45.411308723829755;2386.968101764904;103.66460286362486;2.6869488546834008e-15;2.7016834413945796e-18;1.2768409622118063e-16;3.6154580834893294e-17
