Year;CAP;Supply;Cancellation;MSR;TNAC;Emissions_Ind;Emissions_H2S;Emissions_PS;EUAprice;EUAs_Ind;EUAs_PS
2021.0;1596.0;2826.79124536;0.0;2272.5326496400003;1714.5607661230717;512.9;90.64807111855929;508.68240811836915;80.0;1764.860923857524;1062.952402073721
2022.0;1552.0;1162.2315505501542;0.0;2662.3010990898465;1885.1262298964225;461.60999999999996;101.21603475927598;428.8400520175278;87.43801714135888;888.8969015396192;273.3378986706273
2023.0;1509.0;1083.8601790285948;2202.800920061253;884.6399999999999;2125.594535475423;463.3501841579659;106.01205657122873;274.0296327203998;87.42131176530373;802.3569761301081;281.50547207173616
2024.0;1412.0;940.3322403785385;956.3077596214612;400.0;2321.3842194122803;530.4190021148684;87.08604552267758;127.0375088041356;96.15015508231522;722.7520915119767;217.5807084632568
2025.0;1412.0;886.1941367709499;525.8058632290501;400.0;2629.372042974336;516.984954630371;24.905889017108283;36.31546956141456;105.75384015917918;669.8913311106071;216.30087256338393
2026.0;1295.0;713.2287614560883;581.7712385439117;400.0;2780.1954223802577;503.0044347221781;17.178127979242547;42.22281934874629;116.33417681432186;542.9024032751568;170.31973702228015
2027.0;1233.0;589.8848393336857;643.1151606663143;400.0;2821.6213116635054;488.4843907619746;15.505432828997911;44.469126459465464;127.9780124540232;468.613145970314;121.26529417449319
2028.0;1141.0;470.4390274860783;670.5609725139216;400.0;2756.8235693599045;473.42500957758784;14.9222259338407;46.889534278250935;140.7806220170378;384.1587805460632;86.28396503925148
2029.0;1049.0;376.99470458504686;672.0052954149533;400.0;2622.005395094448;457.8039815312231;11.875605858957595;42.13329146032246;154.84941937713546;306.45384948053163;70.5545241186969
2030.0;958.0;307.1477972948595;650.8522027051404;400.0;2429.5435124341852;441.5767318070855;12.78145207478154;45.251496073255446;170.32405634637811;240.24711183470657;66.9196559275391
2031.0;866.0;559.0578278950768;306.9421721049232;400.0;2509.4595124276525;424.664159964034;10.879382279551377;43.59828565802377;187.38395382660488;521.612691267861;37.45402376241462
2032.0;774.0;479.25813850815916;294.74186149184084;400.0;2521.369289973279;407.13572013315326;16.005197346002664;44.20744348337626;206.12576335648941;442.5633970649178;36.69824089239493
2033.0;682.0;380.38846740685665;301.61153259314324;400.0;2453.942504390515;388.9363797941825;15.251093267475074;43.62777992796343;226.74110046644773;344.3095496231486;36.0793981570465
2034.0;591.0;291.13275662651705;299.867243373483;400.0;2321.7601259040753;370.0385892023145;10.91621522193371;42.36033068870866;249.4168413529253;258.3901804973353;32.740148055823816
2035.0;499.0;209.81419461259583;289.18580538740434;400.0;2128.367530130627;350.4142896729297;7.470311409698542;45.32218930341566;274.3608691092488;181.4141778442769;28.39590260272965
2036.0;407.0;136.12448872244892;270.87551127755114;400.0;1887.2151490397016;330.03376318577614;5.032963804905867;42.2101428226922;301.8010553959734;108.8469060150548;27.271981634415678
2037.0;315.0;69.24199162796177;245.75800837203838;400.0;1598.2636417369526;308.8745266684657;3.4029052900516774;45.91606697219343;331.97550238391796;40.3649487538599;28.864700257439317
2038.0;224.0;9.092242407345793;214.9077575926542;400.0;1270.172139095372;286.8978246690714;3.0944450676125657;47.19147531224249;365.1768861292994;0.3769550910840629;8.702980049714968
2039.0;132.0;0.0;178.667976902771;400.0;984.1549487888329;235.6078246690714;3.046253171225998;47.36311246624158;563.0071827630875;4.464251319822826e-13;1.1304586267494602e-10
2040.0;40.0;0.0;80.0;400.0;748.6390155820939;184.3178246690714;2.7253303118739267;48.47277822579377;580.3364804130479;5.731913448726045e-13;1.3962276766312591e-10
2041.0;0.0;0.0;0.0;400.0;562.3641419307692;138.7124773783304;1.5751893619948534;45.987206910999404;605.3810348250468;7.33466706068528e-13;1.671923447194333e-10
2042.0;0.0;0.0;0.0;400.0;396.08144502437744;125.57875930173066;1.4584474938991006;39.24549011076194;639.5631278408473;9.203858074916374e-13;1.9109704754055534e-10
2043.0;0.0;33.333333333333336;0.0;366.66666666666674;230.00489527654642;163.67589186550344;0.9900358898557271;34.74395532580518;588.137273641958;0.3058158063332445;33.03456613725256
2044.0;0.0;99.99999999999999;0.0;266.66666666666697;162.50938409881172;136.11518806191157;1.0551399948217142;30.325183121001352;646.9500922789264;58.64568404879259;41.36136519950528
2045.0;0.0;99.99999999999999;0.0;166.66666666666688;127.9707055337382;107.49404810972851;1.1485006277630194;25.89612982758201;711.6442135700769;76.57837102162812;23.428678478707894
2046.0;0.0;99.99999999999999;0.0;66.66666666666688;127.7920290345609;77.77167072868713;0.17157356694256812;22.23543220354759;782.8077726264039;76.99412888662657;23.012920507108138
2047.0;0.0;66.6666666666669;0.0;0.0;129.51745131239377;46.90166672674866;0.022252214960859468;18.017325447124488;861.0960745746179;43.89037292240834;22.783411071954742
2048.0;0.0;0.0;0.0;0.0;100.16819526895024;12.697400095564035;9.909368668720989e-9;16.65185593797013;951.9144733167208;9.959224701059575e-8;9.845069236488509e-9
2049.0;0.0;0.0;0.0;0.0;85.4074974004366;0.0;3.650569534326717e-9;14.760697864863078;1046.115466826851;1.2150643380757124e-12;6.6570017461196745e-9
2050.0;0.0;0.0;0.0;0.0;72.27749301973888;0.0;3.292252507043495e-9;13.130004377405463;1150.5057822747;6.414558373852331e-13;4.3437878528250725e-9
2051.0;0.0;0.0;0.0;0.0;59.21905602844784;0.0;2.979745814339391e-9;13.0584369883113;1264.6464915187664;4.76335285917375e-13;4.006249980150923e-9
2052.0;0.0;0.0;0.0;0.0;46.32080852927453;0.0;3.2327832008428696e-9;12.898247495940526;1388.897444750654;4.0551420501651796e-13;4.602204450877026e-8
2053.0;0.0;0.0;0.0;0.0;33.92731844859179;0.0;3.124700474300924e-9;12.393490077558036;1527.7410105367553;3.477811392721244e-13;5.096772823661314e-8
2054.0;0.0;0.0;0.0;0.0;23.68606785195978;0.0;2.9251905514279115e-9;10.24125059370682;1680.4665207037806;3.109528016909163e-13;5.7399640907153535e-8
2055.0;0.0;0.0;0.0;0.0;17.07558405998797;0.0;2.788995477172036e-9;6.6104837891828145;1848.4872680417168;2.7480617113450334e-13;6.095879021257228e-8
2056.0;0.0;0.0;0.0;0.0;12.604494553035149;0.0;2.6928679318986542e-9;4.471089504259954;2033.3071104822163;2.47780699812024e-13;6.498711838720273e-8
2057.0;0.0;0.0;0.0;0.0;8.923782969283577;0.0;2.7007051715196045e-9;3.6807115810508675;2236.60551241653;2.2568528109961703e-13;6.949465426403954e-8
2058.0;0.0;0.0;0.0;0.0;5.348305110482183;0.0;2.731476639785324e-9;3.575477856069918;2460.2280744746936;2.104836600544884e-13;7.496273220605216e-8
2059.0;0.0;0.0;0.0;0.0;2.377738559554283;0.0;2.5914001090684112e-9;2.9705665483365;2706.206159834007;1.9806915575433534e-13;8.128497465692849e-8
2060.0;0.0;0.0;0.0;0.0;-1.060951754716609;0.0;4.067441007601645e-9;3.4386903102034507;2976.7707510760492;1.8649370545204118e-13;8.942548506815068e-8
