scen_number;sensitivity;n_iter;walltime;PrimalResidual_ETS;PrimalResidual_MSR;PrimalResidual_EOM;PrimalResidual_REC;PrimalResidual_H2;PrimalResidual_H2CN_prod;PrimalResidual_H2CN_cap;DualResidual_ETS;DualResidual_EOM;DualResidual_REC;DualResidual_H2;DualResidual_H2CN_prod;DualResidual_H2CN_cap;Beta;EUA_2022;CumulativeEmissions;TotalCost
6;2030 res target 80;9504;1550.683999;0.11970844;0.009992432;0.035356248;0.168900935;0.547796864;0.005977395;0.000536016;0.150364255;0.040481612;0.163852761;1.008835422;0.002740321;0.001163945;0.531846365;80.11420128;11976.58722;2.22E+06
6;Cheap RES;4325;674.5756883;0.062937676;0.00281885;0.040814032;0.000832798;0.508531729;0.00139499;0.003255738;0.068794146;0.040964755;0.00032671;0.925373452;0.000711039;0.007121414;0.531846365;79.96022587;11984.96435;2.16E+06
6;low demand growth;4792;683.4638373;0.447770506;0.00799517;0.035088771;5.86E-05;0.132653886;0.000908462;0.002760948;0.914324463;0.028601906;4.55E-05;0.177290433;0.000464083;0.000687102;0.531846365;77.99871979;11900.62044;2.04E+06
6;high demand growth;4325;644.0440884;0.062937676;0.00281885;0.040814032;0.000832798;0.508531729;0.00139499;0.003255738;0.068794146;0.040964755;0.00032671;0.925373452;0.000711039;0.007121414;0.531846365;79.96022587;11984.96435;2.16E+06
6;expensive electrolysis;4757;872.4700914;0.107984648;0.008130659;0.041338513;0.002467954;0.391498647;0.00113741;0.003115791;0.169319532;0.031159995;0.100058341;0.66029222;0.002498923;0.001624352;0.531846365;79.90460902;11987.58007;2.23E+06
6;cheap electrolysis;5031;790.7948082;0.067906966;0.007956008;0.039045859;0.000550896;0.498811014;0.000936055;0.002464214;0.093157522;0.038961445;0.000267025;0.971967908;0.000223159;0.001286494;0.531846365;79.95499977;11983.99895;2.22E+06
6;double CNHydrogen target 2030;4897;802.3078584;0.052867824;0.010331348;0.041341313;0.000975009;0.456453865;0.001027145;0.027844314;0.092043552;0.029532102;0.000368685;0.907643295;0.001091984;0.006742376;0.531846365;79.97558453;11982.22208;2.22E+06
6;Low discount rate;4132;683.9377932;3.122720816;0.145894881;0.04131625;7.41E-05;0.674201795;0.000257305;0.020300649;6.166374688;0.035530407;3.94E-05;1.1921933;0.000533815;0.010037271;0.531846365;105.2116721;11546.10849;2.57E+06
6;High discount rate;5968;998.8379225;1.283263181;0.013160876;0.041313343;8.23E-05;0.390189864;0.000325761;0.020384152;1.08633286;0.031464164;4.54E-05;0.771208528;0.000345648;0.008369743;0.531846365;84.36188177;11942.01143;2.28E+06
6;No new nuclear-biomass;5532;818.4561163;1.178524546;0.061302421;0.041268024;0.000178817;0.905342368;0.000368607;0.017985489;1.260475443;0.025694801;0.000175325;1.769276893;0.000187445;0.050701966;0.531846365;84.40691241;11945.50327;2.28E+06
6;Low RES buildout;4180;629.5769751;1.21752277;0.045730029;0.041350714;0.000362355;0.329587435;0.003201687;0.036342345;1.085747202;0.04081062;0.000391648;0.347104687;0.002465109;0.038409481;0.531846365;86.67078575;13316.18182;2.11E+06
6;High RES buildout;5532;793.8184059;1.178524546;0.061302421;0.041268024;0.000178817;0.905342368;0.000368607;0.017985489;1.260475443;0.025694801;0.000175325;1.769276893;0.000187445;0.050701966;0.531846365;84.40691241;11945.50327;2.28E+06
6;cheap SMR+CCS;5031;932.6266595;0.067906966;0.007956008;0.039045859;0.000550896;0.498811014;0.000936055;0.002464214;0.093157522;0.038961445;0.000267025;0.971967908;0.000223159;0.001286494;0.531846365;79.95499977;11983.99895;2.22E+06
6;expensive SMR+CCS;5031;760.4873563;0.067906966;0.007956008;0.039045859;0.000550896;0.498811014;0.000936055;0.002464214;0.093157522;0.038961445;0.000267025;0.971967908;0.000223159;0.001286494;0.531846365;79.95499977;11983.99895;2.22E+06
7;ref;3411;380.7912766;1.142341397;0.012084214;0.041271218;0.043340914;0.039576171;0.00226669;0.002662979;0.612108595;0.033553291;0.075538919;0.043391708;0.001238352;0.001351498;0.531846365;83.87497043;12088.45791;2.20E+06
7;low natural gas price;3963;491.946541;1.218922535;0.018065854;0.041271691;0.067174192;0.137343471;0.001670689;0.015249683;1.095727787;0.040878327;0.123927887;0.061128896;0.001353018;0.025882224;0.531846365;89.76885249;12042.56231;1.97E+06
7;high natural gas price;3411;382.3974627;1.142341397;0.012084214;0.041271218;0.043340914;0.039576171;0.00226669;0.002662979;0.612108595;0.033553291;0.075538919;0.043391708;0.001238352;0.001351498;0.531846365;83.87497043;12088.45791;2.20E+06
