Year;EOM_avg;REC_y;CAP_Solar;CAP_ICE;CAP_SPP_lignite_old;CAP_WindOffshore;CAP_SPP_lignite_new;CAP_WindOnshore;CAP_Nuclear;CAP_CCGT_old;CAP_SPP_coal_new;CAP_SPP_gas;CAP_CCGT_new;CAP_SPP_coal_old;CAP_OCGT;FS_Solar;FS_ICE;FS_SPP_lignite_old;FS_WindOffshore;FS_SPP_lignite_new;FS_WindOnshore;FS_Nuclear;FS_CCGT_old;FS_SPP_coal_new;FS_SPP_gas;FS_CCGT_new;FS_SPP_coal_old;FS_OCGT
2017.0;66.24733504024306;NaN;106.038;17.3094;34.0592;15.78;1.7926999999999997;153.539;94.72480000000002;32.29575;16.10495;6.43365;129.1847;37.894;5.5896;69.40876499999999;0.0;125.52072578744823;65.78249000000001;15.704051999969572;300.082195;829.7892480000003;0.4649763753263503;141.07936199124515;6.208400713710858e-12;1011.2855442178347;1.1358794261481787e-13;7.978632804077846e-13
2018.0;57.791424464831934;NaN;99.80047058823536;13.847520000000006;32.35624;14.903333333333771;1.732943333333333;563.1130484256995;90.93580800000001;30.142699999999994;15.56811833333333;6.1119674999999996;122.725465;35.9993;4.4716800000000045;65.32589647057206;0.0;6.321968487723056e-11;62.1279072220796;15.180583599940944;1100.5685826057927;796.59767808;2.018961398172721e-10;5.3855463788860346e-8;0.0;521.0097373660095;8.929542933712808e-15;5.151250740120208e-13
2019.0;57.79116982104482;NaN;93.56294117647074;10.385640000000008;30.653279999999995;14.026666666667502;1.6731866666666666;554.0813425433506;87.14681600000002;27.98965;15.031286666666666;5.790285;116.26623000000001;34.1046;3.35376000000001;61.24302794116037;0.0;6.322038609925426e-11;58.47332444430347;14.657115199940929;1082.9166887822714;763.40610816;2.0189802703769995e-10;1.2793255019605909e-8;0.0;583.8461937165039;9.467562310587763e-15;5.33705552250551e-13
2020.0;59.98025799039188;2.4785610682608888e-11;87.3254117647061;6.923760000000006;28.950319999999998;13.150000000001196;1.61343;545.0496366609996;83.35782400000001;25.8366;14.494454999999999;5.4686025;109.80699499999999;32.2099;2.2358400000000156;57.16015941174765;0.0;5.3890533162066394e-11;54.81874166651833;14.133646799846165;1065.2647949587397;730.2145382400004;2.2070613841196002e-10;7.254933182134693e-9;8.596591546679318e-13;658.6232236863231;7.764061842275536e-15;5.86883620533988e-13
2021.0;66.79066364265437;2.848474300032083e-11;81.08788235294149;3.461880000000015;27.24736;12.273333333334996;1.5536733333333335;536.0179307786505;79.568832;23.683549999999997;13.957623333333334;5.14692;103.34776000000008;30.3152;1.1179200000000278;53.07729088233592;0.0;1.0232667726473584e-10;51.16415888874234;5.752648477079731;1047.612901135218;697.0229683200002;0.7048313585403697;31.829281341580465;4.2781825126647585e-12;706.8957129351891;3.6694709098741546e-14;8.521698545051371e-13
2022.0;75.17107169628366;3.564221658583169e-11;74.85035294117692;2.7893971639037204e-14;25.544399999999996;11.396666666668937;1.4939166666666666;526.9862248963082;75.77984000000002;21.530499999999996;13.420791666666666;4.8252375;96.88852500000016;28.420499999999997;3.099825866894221e-13;48.994422352924445;0.0;1.1097217406299017e-10;47.509576110968915;7.633914166693064;1029.9610073117103;663.8313983999999;37.24667884877323;65.88093429918736;8.197726713150743e-12;706.4878425587367;2.419055541312959e-14;7.165608359823766e-13
2023.0;84.41439831042373;4.035943668822023e-11;68.61282352941237;5.150518209029059e-14;23.841439999999995;10.520000000003037;1.4341599999999999;517.9545190140382;71.99084800000001;19.377449999999996;12.88396;4.5035549999999995;90.4292900000002;26.525799999999997;3.380956097939451e-13;44.911553823512946;0.0;28.759638231573184;43.854993333195665;8.375494400000473;1012.3091134883439;630.6398284799999;89.07964092011134;69.22087151020192;2.0882767692842485e-11;698.7088118944987;9.84465682491183e-13;1.0062622284764465e-12
2024.0;84.27602562724226;5.206195956658719e-11;62.37529411764784;1.5417508651464538e-13;22.138479999999998;9.6433333333373;1.3744033333333332;660.9501906421506;68.201856;17.2244;12.347128333333334;4.1818725;83.97005500000026;24.6311;3.5041056720852433e-13;40.8286852940997;8.199968360871557e-14;2.0419392902795067e-8;40.20041055540744;7.023201033328576;1291.7850448000092;597.4482585599999;32.36599282486748;54.791038030637864;1.7634844184050326e-11;572.8175579902291;3.496059168503211e-13;8.683473883621005e-13
2025.0;81.33638034155726;3.0634251333108537e-6;56.13776470588336;1.871207178140285e-13;20.435519999999997;8.766666666671748;1.3146466666666665;799.7703560644385;64.41286400000001;15.071349999999997;11.810296666666664;3.8601899999999993;77.5108200000003;22.7364;3.58916598740409e-13;36.74581676468536;0.0;5.200382209727806e-11;36.545827777610256;3.838768266671311;1563.1002152139165;564.2566886400001;1.189737329458266;17.75736012206998;1.1333416089538697e-11;430.96178778542287;8.18478004754818e-15;6.907916166065836e-13
2026.0;79.84504325100342;3.619428667009585e-8;49.90023529411894;3.885682436078419e-13;18.73256;7.890000000006438;1.2548899999999998;838.1392701140975;60.623872000000006;12.9183;11.273464999999998;3.5385075;71.05158500000034;20.8417;3.6595668405049316e-13;32.66294823526736;4.4603502772042007e-13;4.508785116510659e-11;32.89124499978077;3.206243950005096;1638.0898136076946;531.0651187200002;24.838479620853676;4.79343073267067;1.1650046343773778e-11;400.1815830716077;6.725196680182858e-15;6.623351065439454e-13
