Year;CAP_SMR;CAP_SMRCCS;CAP_electrolysis_base;CAP_electrolysis_peak;PROD_SMR;PROD_SMRCCS;PROD_electrolysis_base;PROD_electrolysis_peak;CN_CAP_electrolysis_base;CN_CAP_electrolysis_peak;CN_PROD_electrolysis_base;CN_PROD_electrolysis_peak;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;70.0;0.35;0.1;0.075;10.438134284466082;0.092909090908986;7.8729430570543e-13;1.7095594189332386e-12;0.0;0.0;0.0;0.0;2.866559468783075;0.0;0.0
2022.0;70.0;0.35;0.1;0.075;10.403366608023854;0.0;2.049747942789604e-13;3.8601540049243517e-13;0.0;0.0;0.0;0.0;11.4055230819739;0.0;0.0
2023.0;65.33333333333333;0.32666666666666666;0.14499999999999952;0.10874999999999921;12.626134913781392;0.08671515151501229;0.011226515152494764;0.012028409090561444;0.0;0.0;0.0;0.0;5.9916791858567295;0.0;0.0
2024.0;61.8056946983835;0.4783333333333287;0.23999999999999894;0.17999999999999816;13.692319665883328;0.12697575757563137;0.04512727272691227;0.03384545454617295;0.0;0.0;0.0;0.0;4.831748757983865;0.0;0.0
2025.0;58.253622426166864;0.8049999999999893;0.3599999999999976;0.2699999999999963;13.640076705303454;0.0;0.023890909092599395;0.020904545454247185;0.0;0.0;0.0;0.0;7.29804712809801;0.0;0.0
2026.0;55.28459354388341;1.1316666666666482;0.5249999999999957;0.3937499999999933;14.675546649829885;0.0;0.029034090909654402;0.021775568183319976;0.0;0.0;0.0;0.0;6.717338469822301;0.0;0.0
2027.0;58.50552237860961;1.5224999999979465;0.7474999999999927;0.5606249999999887;15.530556849593578;0.0;2.754043136492095e-12;3.1683484841726097e-12;0.0;0.0;0.0;0.0;6.325719089176324;0.0;0.0
2028.0;68.03019749109308;2.0649999999954765;1.0499999999999883;0.7874999999999817;18.058925152180237;0.548163636363742;0.2787272727238482;0.20904545454270212;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2029.0;71.860463806224;2.7591666666602324;1.4612499999999815;1.095937499999971;19.075686755833228;0.7324333333353684;0.37173314393649487;0.28186759224632907;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030.0;75.74630132596809;3.6370833333236634;2.021249999999972;1.5159374999999549;20.107199988346917;0.9654803030307839;0.5141937499920026;0.38564531249796463;2.021249999999954;1.5159374999999267;0.0;0.0;0.0;0.0;4652.668776995644
2031.0;74.57463943484036;4.774583333314059;2.784374999999956;2.0882812499999286;19.796177013611054;0.11195087797398061;0.05195834752907586;7.079041688281043e-12;2.78437499999993;2.0882812499998873;0.0;0.0;8.10231195154458;0.0;3400.6776499775738
