Year;CAP;Supply;Cancellation;MSR;TNAC;Emissions_Ind;Emissions_PS;EUAprice;EUAs_Ind;EUAs_PS
2017.0;3457.904897;3457.904897;0.0;0.0;1966.5503044094596;756.7289523460736;734.6256402444667;5.0;1728.2771791747969;1745.0242925975458
2018.0;1892.9805800000001;1892.9805800000001;0.0;0.0;2784.4389405743705;756.7289523460736;318.3629914890158;5.0;1376.6555189850362;531.7216357873218
2019.0;1854.716334;1317.313170048537;0.0;1437.4031639514637;3007.6153441277124;756.7289523460736;337.40781414912203;24.72;1051.8689661511783;274.6425291512206
2020.0;1816.452088;1130.3326299778837;0.0;2123.5226219735805;3463.537192166059;441.0560571114662;233.35472482807054;57.348197982152534;901.8372611439463;228.7979288415994
2021.0;1635.379448;877.0780175662813;0.0;3581.824052407298;3606.0122824234304;464.594724922649;270.0082023862616;63.21845318137897;713.618007007973;163.65397451645708
2022.0;1547.7698321887224;705.1228988482784;0.0;4424.470985747744;3491.828607882455;501.1135577942732;318.19301559498075;69.6515205462614;564.5420377262811;140.58145653169137
2023.0;1460.160216377445;603.8519625590997;4880.779239566092;400.0;3184.8216711044843;536.528892550127;374.3300067869431;76.81683348822206;446.7509857946313;156.86523558310543
2024.0;1372.5506005661675;559.072289616616;813.4783109495515;400.0;2909.1480857889946;570.5638558232823;264.1820191088226;84.94088807823;400.23175633011317;158.46424950500565
2025.0;1284.94098475489;542.6376705150528;742.3033142398367;400.0;2677.2471165442857;603.9642769448399;170.57436281492136;93.79154434806145;408.2187157879473;134.19908716889157
2026.0;1197.3313689436127;517.6879058938306;679.643463049782;400.0;2446.144112663462;589.1983326583853;159.59257711626978;103.17506891278407;410.02753261363733;107.92044277564023
2027.0;1109.7217531323354;485.67068547217275;624.0510676601625;400.0;2214.5803561108696;571.7205141944023;145.51392783036187;113.98051344664943;408.9007703010105;76.83654702828777
2028.0;1022.1121373210578;453.5626508060344;568.5494865150233;400.0;1992.7139640213882;554.9783025650796;120.45074033043636;124.84019652590844;401.48406759873603;52.04623115047832
2029.0;934.5025215097804;420.7525474103303;513.7499740994501;400.0;1779.4309044393685;536.451187219718;97.58441977263047;137.00123316477845;406.6363325006487;13.92024228495465
2030.0;846.892905698503;385.70419909993143;461.18870659857157;400.0;1585.5278138461;514.669539689835;64.9377500033647;151.33130646718695;369.7918743245535;15.519254935624284
2031.0;759.2832898872256;553.5077049782321;205.77558490899355;400.0;1601.910353909745;497.4963642045284;39.628800710058904;163.80934616064746;543.4056171594476;9.863664050964722
2032.0;671.6736740759482;480.75503481187036;190.9186392640779;400.0;1578.8925333789412;474.34525050952516;29.427604833149662;180.06255013726206;471.34944451118315;9.33909915218492
2033.0;584.0640582646706;392.7555286167334;191.30852964793712;400.0;1500.0218725736377;449.4459067775882;22.18028264444951;197.84311797034906;391.7754454268222;0.9680969939775583
2034.0;496.4544424533931;310.1421648801323;186.31227757326064;400.0;1370.2465733023091;422.46686551819136;17.4505986332693;217.49619964503742;309.7231658769826;0.5300052752349074
2035.0;408.84482664211555;234.03321390413214;174.8116127379833;400.0;1193.2469046505012;393.58228392268916;17.450598633251296;238.9459491697452;233.48921371255852;0.691859376921796
2036.0;321.235210830838;163.88560878063322;157.34960205020457;400.0;977.2637530919001;362.4181617059863;17.450598633247147;262.5412997489186;163.18731291574602;0.8826548596468864
2037.0;233.62559501956048;90.07792495022039;143.54767006934003;400.0;725.3671936187366;324.5238857901621;17.450598633223066;291.37446300449056;88.345501140712;2.556897115334948
2038.0;146.01597920828294;49.840143813682886;96.1758353946002;400.0;472.2432297956457;285.51350900355214;17.45059863322129;321.9300152402208;45.881990382285444;5.383824354438438
2039.0;58.40636339700586;58.40636339700586;0.0;400.0;259.75139529545595;253.44759926397762;17.450598633217094;348.26889772128703;56.75713140764887;1.5707583520905615
2040.0;0.0;33.333333333333336;0.0;366.66666666666674;69.37225924598897;211.13828527541523;12.574184107386428;382.8731643489768;31.76967220009857;1.5022061849344897
2041.0;0.0;99.99999999999999;0.0;266.66666666666697;-6.991682605292226;163.37439216226687;12.989549689013632;422.3237509163056;98.01975135705698;1.858632153965155
2042.0;0.0;99.99999999999999;0.0;166.66666666666688;-26.760252649093673;113.20142174226976;6.5671483015311765;464.85748987890764;98.01931082734788;1.8485488135728045
2043.0;0.0;99.99999999999999;0.0;66.66666666666688;-32.69335334396419;96.06439428015858;9.868706414712383;486.1446241189978;90.24499860265658;9.895242267773975
2044.0;0.0;66.6666666666669;0.0;0.0;-42.22659858322004;64.76845058733875;11.431461318582956;518.2372415097004;56.0033082948917;11.4049254654368
2045.0;0.0;0.0;0.0;0.0;-42.22659858332008;0.0;9.952753805316872e-11;595.6691029819491;6.0038450096695815e-12;4.040403083273435e-11
2046.0;0.0;0.0;0.0;0.0;-42.22659858341467;0.0;9.48553230466706e-11;628.5564456857672;3.091767650945264e-12;3.92236415802004e-11
2047.0;0.0;0.0;0.0;0.0;-42.22659858341467;0.0;1.2432668375234736e-13;648.8152893830857;2.921081452123919e-12;2.177617722706623e-11
2048.0;0.0;0.0;0.0;0.0;-42.22659858341467;0.0;1.2806389999828616e-13;690.0240762919257;2.4750721018857225e-12;1.8510631837589196e-11
2049.0;0.0;0.0;0.0;0.0;-42.22659858341467;0.0;1.338280250764055e-13;738.5382913648338;2.130886522035679e-12;1.687085491241961e-11
2050.0;0.0;0.0;0.0;0.0;-42.22659858341285;0.0;1.4916169293091273e-13;795.7574124155434;1.8774189782870652e-12;1.5724675404640243e-11
