Year;CAP_SMR;CAP_electrolysis;CAP_SMRCCS;PROD_SMR;PROD_electrolysis;PROD_SMRCCS;CAP_electrolysis;CAP_SMRCCS;PROD_electrolysis;PROD_SMRCCS;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2017.0;70.0;1.0;0.0;10.020412167886995;2.781373558260009e-13;0.0;1.0;0.0;0.0;0.0;1.8973026520648146;0.0;0.0
2018.0;65.33333333333333;0.96;0.0;10.020412167884631;3.9680693447551113e-13;0.0;0.96;0.0;0.0;0.0;1.897302652067594;0.0;0.0
2019.0;60.66666666666667;0.92;0.0;10.020412167884716;3.9653217845822315e-13;0.0;0.92;0.0;0.0;0.0;1.8973026520673946;0.0;0.0
2020.0;56.00000000000214;0.8800000000000048;37.67137850871981;2.7176360366715103e-9;3.3686826007886836e-13;10.000038658785313;0.8800000000000048;37.67137850871981;0.0;0.0;1.7923301940907548;0.0;0.0
2021.0;51.33333333333762;0.84000000000001;37.671378508719826;1.6994791590113961e-9;3.097820774560057e-13;10.000038658785316;0.84000000000001;37.671378508719826;0.0;0.0;1.8564216376767855;0.0;0.0
2022.0;46.66666666667312;0.8000000000000156;37.67137850871983;1.1137110109264506e-9;2.8369910287469636e-13;10.000038658785318;0.8000000000000156;37.67137850871983;0.0;0.0;1.9258856444211712;0.0;0.0
2023.0;42.000000000008924;0.7600000000000227;37.67137850871984;7.725996143292927e-10;2.6429836401133775e-13;10.000038658785318;0.7600000000000227;37.67137850871984;0.0;0.0;2.0012437776850374;0.0;0.0
2024.0;37.33333333334507;0.720000000000032;37.67137850871985;5.668997030900257e-10;3.058827083206003e-13;10.000038658785359;0.720000000000032;37.67137850871985;0.0;0.0;2.083080093151801;0.0;0.0
2025.0;32.666666666681614;0.6800000000000449;37.671378508719854;5.190389723351091e-10;3.894275254434939e-13;10.00003865878536;0.6800000000000449;37.671378508719854;0.0;0.0;2.1720570732131503;0.0;0.0
2026.0;28.000000000018627;0.6400000000000644;37.67137850871986;3.579421669285848e-12;0.014157575757764513;9.985659188575081;0.6400000000000644;37.67137850871986;0.0;0.0;1.591165933376771;0.0;0.0
2027.0;23.333333333356165;0.6000000000001;37.67137850871987;3.5725877077653657e-12;0.03318181818197125;9.96634797674619;0.6000000000001;37.67137850871987;0.0;0.0;1.6230052977368976;0.0;0.0
