Year;CAP_SMR;CAP_electrolysis;CAP_SMRCCS;PROD_SMR;PROD_electrolysis;PROD_SMRCCS;CAP_electrolysis;CAP_SMRCCS;PROD_electrolysis;PROD_SMRCCS;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2017.0;70.0;1.0;0.0;9.995155797509746;3.242451544781752e-12;0.0;1.0;0.0;0.0;0.0;1.813310371871347;0.0;0.0
2018.0;65.33333333333333;0.96;0.0;9.9951557974993;4.457077273262401e-12;0.0;0.96;0.0;0.0;0.0;1.813310371868942;0.0;0.0
2019.0;60.66666666666667;0.92;0.0;9.995155797499182;4.456776291302915e-12;0.0;0.92;0.0;0.0;0.0;1.8133103718689771;0.0;0.0
2020.0;56.00000000000001;0.8800000000000646;37.65512289976024;1.17308056092103e-10;4.896956810821346e-12;9.995723533388613;0.8800000000000646;37.65512289976024;0.0;0.0;1.8806643455541676;0.0;0.0
2021.0;51.333333333333336;0.8400000000001343;37.655122899760244;1.2352236537565854e-10;4.614188255639227e-12;9.995723533388608;0.8400000000001343;37.655122899760244;0.0;0.0;1.9794720802154004;0.0;0.0
2022.0;46.66666666666668;0.8000000000002097;37.65512289976025;1.3415864569909838e-10;4.236473218683289e-12;9.995723533388608;0.8000000000002097;37.65512289976025;0.0;0.0;2.0860580943596565;0.0;0.0
2023.0;42.000000000000014;0.760000000000306;37.65512289976026;1.1396695063688495e-10;3.974903975347601e-12;9.995723533388606;0.760000000000306;37.65512289976026;0.0;0.0;2.199575313942846;0.0;0.0
2024.0;37.33333333333336;0.7200000000004347;37.655122899760265;8.958275191197735e-12;4.646900676998145e-12;9.995723533388547;0.7200000000004347;37.655122899760265;0.0;0.0;2.3105778900662295;0.0;0.0
2025.0;32.66666666666669;0.6800000000006182;37.655122899760265;7.96998160780242e-13;0.000837521661362717;9.995723533388546;0.6800000000006182;37.655122899760265;0.0;0.0;2.383390904425265;0.0;0.0
2026.0;28.000000000000032;0.6400000000009127;37.655122899760265;5.908388242081684e-15;0.014157575763763763;9.984860972385606;0.6400000000009127;37.655122899760265;0.0;0.0;1.677525705732378;0.0;0.0
2027.0;23.33333333333337;0.6000000000015056;37.655122899760265;6.215441864261108e-15;0.03318181818403957;9.965747697833057;0.6000000000015056;37.655122899760265;0.0;0.0;1.725360558053599;0.0;0.0
2028.0;18.666666666666718;0.5600000000028162;37.65512289976027;6.393568748611042e-15;0.043357575759287045;9.955463011229458;0.5600000000028162;37.65512289976027;0.0;0.0;1.775557473793263;0.0;0.0
2029.0;14.000000000000062;0.5200000000069631;37.65512289976028;6.531781327542777e-15;0.04601212121424445;9.952697475338253;0.5200000000069631;37.65512289976028;0.0;0.0;1.8283022077819366;0.0;0.0
2030.0;9.33333333333341;20.826879692127417;37.655122899760286;9.794862781597581e-15;2.0064353972030893;9.995723533388615;20.826879692127417;37.655122899760286;0.0;0.0;2.1402922213981497;0.0;0.0
2031.0;4.666666666666763;38.25211775230754;37.65512289976029;1.0199806800007428e-14;4.006078225738973;9.995723533388613;38.25211775230754;37.65512289976029;0.0;0.0;2.230297103235441;0.0;0.0
2032.0;1.0919650105522273e-13;59.129945768844344;37.6551228997603;8.591088249743402e-15;6.0051969963408;9.995723533388546;59.129945768844344;37.6551228997603;0.0;0.0;2.651370918260774;0.0;0.0
2033.0;1.3020043960052565e-13;68.48651023890041;37.65512289976031;1.2668972475855875e-14;8.00618154397054;9.995723533388542;68.48651023890041;37.65512289976031;0.0;0.0;2.8199457924696922;0.0;0.0
