Year;EOM_avg;REC_y;CAP_Solar;CAP_ICE;CAP_SPP_lignite_old;CAP_WindOffshore;CAP_SPP_lignite_new;CAP_WindOnshore;CAP_Nuclear;CAP_CCGT_old;CAP_SPP_coal_new;CAP_SPP_gas;CAP_CCGT_new;CAP_SPP_coal_old;CAP_OCGT;FS_Solar;FS_ICE;FS_SPP_lignite_old;FS_WindOffshore;FS_SPP_lignite_new;FS_WindOnshore;FS_Nuclear;FS_CCGT_old;FS_SPP_coal_new;FS_SPP_gas;FS_CCGT_new;FS_SPP_coal_old;FS_OCGT
2017.0;66.17808473679901;NaN;106.038;17.3094;34.0592;15.78;1.7926999999999997;153.539;94.72480000000002;32.29575;16.10495;6.43365;129.1847;37.894;5.5896;69.40876499999999;0.0;131.81213388928197;65.78249000000001;15.704051998272728;300.082195;829.7892480000003;0.6939034148070377;94.12148427149242;5.168299110034229e-13;1058.2829361326442;4.883503336518311e-13;5.292711148865101e-14
2018.0;57.635892571517125;NaN;99.80047058823553;13.84752;32.35624;14.90333333333344;1.732943333333333;545.6818894817663;90.93580800000001;30.142699999999994;15.56811833333333;6.1119674999999996;122.725465;35.9993;4.471679999999999;65.32589647053723;0.0;1.565525432093164e-10;62.12790722218702;15.180583596564418;1066.5004928222486;796.59767808;2.272685199003962e-12;5.1849175243897735e-9;0.0;555.9980847144924;6.846104389488536e-14;3.498730096170548e-14
2019.0;57.635936972674415;NaN;93.56294117647107;10.38564;30.653279999999995;14.026666666666873;1.6731866666666666;536.6501835994136;87.14681600000002;27.98965;15.031286666666666;5.790285;116.26623000000001;34.1046;3.3537600000000003;61.24302794112564;0.0;1.5657070667566368e-10;58.473324444409634;14.657115196564476;1048.8485989987196;763.40610816;2.272692263272851e-12;4.2349806781419095e-9;0.0;618.3322487471792;7.772364468786457e-14;3.8146047214205825e-14
2020.0;60.17567655591986;1.3811501469057674e-11;87.32541176470662;6.92376;28.950319999999998;13.150000000000297;1.61343;527.6184777170607;83.35782400000001;25.8366;14.494454999999999;5.4686025;109.80699499999999;32.2099;2.2358400000000005;57.160159411711156;0.0;1.3747887004339675e-10;54.818741666630245;14.133646791117993;1031.1967051751901;730.2145382400004;2.547776386102072e-12;2.363901801918316;1.138771607920307e-13;687.8791857995046;6.626795293041036e-14;5.006523103743313e-14
2021.0;67.15425128038486;2.1115023170952163e-11;81.08788235294222;3.46188;27.24736;12.273333333333747;1.5536733333333335;518.586771834708;79.568832;23.683549999999997;13.957623333333334;5.14692;103.34776000000184;30.3152;1.1179200000000011;53.0772908822996;0.0;3.0674908554677994e-10;51.164158888852945;7.312893283713332;1013.5448113516612;697.0229683200002;5.482107066889076;37.333203847245585;4.3761504895569697e-13;726.3477700914573;2.887707176930043e-13;1.0076323830636604e-13
2022.0;75.2667833534868;3.451667990591852e-11;74.85035294117789;2.5860500151069604e-16;25.544399999999996;11.396666666667231;1.4939166666666666;509.5550659523555;75.77984000000002;21.530499999999996;13.420791666666666;4.8252375;96.88852500000338;28.420499999999997;2.5697874832588435e-14;48.99442235288846;0.0;2.995208083166095e-10;47.50957611107607;7.633914170297772;995.8929175281328;663.8313983999999;54.34476659827109;68.58024541551353;1.034251337381502e-12;721.0188509102222;2.8990322090709266e-13;7.445336182237874e-14
2023.0;84.32121579830618;4.1885044718549974e-11;68.61282352941367;4.942945260581074e-16;23.841439999999995;10.520000000000755;1.4341599999999999;500.523360070005;71.99084800000001;19.377449999999996;12.88396;4.5035549999999995;90.42929000000431;26.525799999999997;2.884656899090253e-14;44.911553823477355;0.0;45.181775278038245;43.854993333299326;8.898962797631356;978.2410237046079;630.6398284799999;96.62191591410351;70.53968099958034;1.675850615108921e-12;709.1556813205942;2.782936307575163e-12;1.0873703532013986e-13
2024.0;84.46333296483992;5.399279464822845e-11;62.37529411764954;2.3051446535891784e-15;22.138479999999998;9.643333333334322;1.3744033333333332;630.7451648429571;68.201856;17.2244;12.347128333333334;4.1818725;83.97005500000515;24.6311;2.9860542453968526e-14;40.82868529406077;1.9970094739014786e-15;6.780913612697037;40.2004105555189;7.023201033093867;1232.7512459486559;597.4482585599999;51.328842694706225;63.09382578082392;1.6145367618422404e-12;598.1843999752799;1.4779566801861825e-12;9.963509305355647e-14
2025.0;81.35224576205918;1.0560330112295289e-10;56.13776470588556;2.5847316455020084e-15;20.435519999999997;8.766666666667936;1.3146466666666665;780.7905691726899;64.41286400000001;15.071349999999997;11.810296666666664;3.8601899999999993;77.5108200000059;22.7364;3.053076336446792e-14;36.74581676464164;0.0;1.5460384215901534e-10;36.54582777773682;3.838768278276571;1526.005430754657;564.2566886400001;29.24625151996997;0.7004444109318847;1.0949987066727611e-12;455.338854379918;8.075584728147134e-14;7.885520776769862e-14
2026.0;79.74795024459195;1.6562106241205715e-6;49.90023529412178;4.037099844308423e-15;18.73256;7.890000000001612;1.2548899999999998;834.674226938114;60.623872000000006;12.9183;11.273464999999998;3.5385075;71.05158500000672;20.8417;3.107873938958731e-14;32.66294823521324;3.6093701964310336e-15;1.748230990885836e-10;32.89124499994847;3.6642787990998595;1631.3176074451208;531.0651187200002;28.38132837707468;3.769461105235329;1.0809554219875767e-12;403.5998132790502;7.54425079610295e-14;7.238037307142428e-14
