Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;IMPORT_Import;CN_CAP_Alkaline_base;CN_CAP_Alkaline_peak;CN_PROD_Alkaline_base;CN_PROD_Alkaline_peak;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;70.0;0.35;0.135;0.135;6.372075316164385;0.09290909090884655;1.439463179078816e-12;3.138147790174336e-10;2.3187417032838433;0.0;0.0;0.0;0.0;4.200849188302684;0.0;0.0
2022.0;70.0;0.35;0.135;0.135;2.8755907658908137;5.643195083144717e-13;0.0035528738881281017;0.002842299222966824;5.183204582138869;0.0;0.0;0.0;0.0;9.392004954079898;0.0;0.0
2023.0;65.33333333333971;0.3266666666721886;1.4782499999997332;1.4782499999821395;5.784968312151132;6.05483161614723e-12;0.08017419799370644;0.0801741974117089;4.012760068554081;0.0;0.0;0.0;0.0;7.263325014109736;0.0;0.0
2024.0;60.66666666667951;3.343685983770404;2.8214999999991632;2.82149999988739;6.604447878347338;0.8875966429349575;0.2759494024091257;0.216947026405706;3.457905408942222;0.0;0.0;0.0;0.0;6.2605983704864085;0.0;0.0
2025.0;56.00000000001936;5.7678874427831515;17.664749999989194;17.66474999947736;5.224227433304682;1.5311119393543393;1.7962126437676;1.4227768531291676;2.958768051678932;0.0;0.0;0.0;0.0;5.363830412941361;0.0;0.0
2026.0;51.33333333336026;10.649687171595827;17.657999999990487;19.521617172936374;4.415144288636675;2.827007867366153;2.952939552545047;1.6417863712858274;2.3631834133579206;0.0;0.0;0.0;0.0;4.272579833001744;0.0;0.0
2027.0;46.66666666670245;21.666776325207245;17.651249999991226;19.514867173302193;3.4652088778057424;5.751544260869978;3.0109100569008738;1.8844664620743794;1.6286745670295832;0.0;0.0;0.0;0.0;2.9406523395698754;0.0;0.0
2028.0;42.00000000004625;33.142294664105805;17.64449999999214;19.508117173749454;2.3643773276666815;8.797772765377266;2.508821377011839;1.5479280003268763;1.643487680110796;0.0;0.0;0.0;0.0;2.9654752542352307;0.0;0.0
2029.0;37.33333333339207;39.351185139186214;17.637749999993343;19.501367174377663;1.2384332881234597;10.44595096421642;2.794269542947724;1.8299643159604138;1.6565183911224712;0.0;0.0;0.0;0.0;2.9867340601576142;0.0;0.0
2030.0;32.66666666674061;45.50542124570814;17.630999999994973;19.494617175312705;0.34528683456095677;12.079620912492649;2.8527587216468917;2.134627361722144;1.6679077811434198;0.0;0.0;0.0;0.0;3.0081288377458573;0.0;0.0
2031.0;28.000000000094506;53.72148710330519;17.624249999997026;19.487867176618863;1.0989529166920621e-9;14.26061294014529;3.0985049369375024;1.6803332032124054;1.7051648320051547;0.0;0.0;0.0;0.0;3.069479457117103;0.0;0.0
2032.0;23.333333333452387;60.54875755767447;17.617499999999705;19.4811171784296;6.848168654419031e-10;16.072942915304665;3.2173114515130337;1.1387832169689651;1.6970793320190225;0.0;0.0;0.0;0.0;3.069164032155237;0.0;0.0
2033.0;18.666666666818735;67.37110634854693;17.610750000003616;19.47436718159539;5.002074689553601e-10;17.88396641251751;3.2907598387100374;0.7493893854873512;1.7187648540680387;0.0;0.0;0.0;0.0;3.0987656581749743;0.0;0.0
2034.0;14.000000000212552;72.28661566424573;17.604000000010966;19.46761719220047;4.3773776664799225e-10;19.188810703593457;3.276594303617768;0.8716819938178635;1.7564969006819495;0.0;0.0;0.0;0.0;3.1615026402815096;0.0;0.0
2035.0;9.333333333665331;72.96310575461354;17.597250000028573;19.635363229719264;6.334935028158406e-10;19.368388073038705;3.01400319186093;2.1215719739471637;1.871191709211182;0.0;0.0;0.0;0.0;3.3507979079038224;0.0;0.0
2036.0;4.666666667259242;72.93977242128098;17.590500000388023;47.776969203536375;4.906996696352824e-10;19.362194133644465;3.2773319940358085;3.3353155787947326;1.9057542117207158;0.0;0.0;0.0;0.0;3.3948294437930677;0.0;0.0
2037.0;6.68943626518071e-9;72.91643908794805;23.72737104028563;73.68121766649247;1.9999004931649351e-10;19.356000194248885;3.66535259902726;4.542419686152102;1.8751950535165776;0.0;0.0;0.0;0.0;3.350372172891305;0.0;0.0
2038.0;7.186418359404968e-9;72.91643908794835;29.42414646088838;86.58710251024353;1.6512922036495764e-10;19.35600019424077;4.416928502908988;5.358246790840618;1.824804492735571;0.0;0.0;0.0;0.0;3.259270000483027;0.0;0.0
2039.0;7.845792177292474e-9;72.91643908794867;37.56891550105241;97.86254230674619;1.3774481286839715e-10;19.292897964664277;5.296918968553021;6.212799614216693;1.7501042993011764;0.0;0.0;0.0;0.0;3.145830825194853;0.0;0.0
2040.0;8.68160750718392e-9;72.91643908794907;38.76417944293149;102.08134238376432;1.3048569506130857e-10;19.28560717815525;6.2645297802539295;6.821255629023388;1.7371620037128983;0.0;0.0;0.0;0.0;3.1300662768391914;0.0;0.0
2041.0;9.693624725632491e-9;72.91643908794964;71.35901866235129;139.60940855799873;1.2138250018361145e-10;19.10207628715909;7.118685295412808;7.834064157573385;1.652123712660994;0.0;0.0;0.0;0.0;2.9927998242007448;0.0;0.0
2042.0;1.0887951820943549e-8;72.91643908795076;71.35226866248904;139.60266135526166;1.1052903155320977e-10;19.18650210839194;8.003704555283907;8.425833768639919;1.6496665951166665;0.0;0.0;0.0;0.0;2.9827221737667053;0.0;0.0
