Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;IMPORT_Import;CN_CAP_Alkaline_base;CN_CAP_Alkaline_peak;CN_CAP_Import;CN_PROD_Alkaline_base;CN_PROD_Alkaline_peak;CN_PROD_Import;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;70.0;0.35;0.135;0.135;2.2014297462231362e-11;1.6270828385310678e-13;4.724001412753482e-13;2.7308087044518188e-14;0.022384140711205484;0.0;0.0;0.0;0.0;0.0;0.0;0.04749885902493246;0.0;0.0
2022.0;70.0;0.35;0.135;0.135;8.789973504102007e-12;5.993109404954757e-14;3.0930204557135616e-13;1.7881494483416725e-14;0.025428205570665257;0.0;0.0;0.0;0.0;0.0;0.0;0.05277418865150269;0.0;0.0
2023.0;65.3333333333373;0.3266666666668625;0.12825000000007916;0.12825000000000675;1.2236761725941235e-11;8.201458261470252e-14;7.812371209833353e-13;4.514382484988917e-14;0.0284722246670584;0.0;0.0;0.0;0.0;0.0;0.0;0.058049430565488745;0.0;0.0
2024.0;60.66666666667466;0.3033333333336388;0.12150000000016137;0.12150000000001379;1.6178411539693793e-11;1.1196987351188005e-13;2.260134935200554e-12;1.295784102019302e-13;0.03233174589555732;0.0;0.0;0.0;0.0;0.0;0.0;0.06332084770348982;0.0;0.0
2025.0;56.00000000001206;0.2800000000004071;0.1147500000002467;0.11475000000002111;2.2280991116816776e-11;1.6507404605231328e-13;3.4928124769713945e-12;2.008424515682244e-13;0.03641326267421738;0.0;0.0;0.0;0.0;0.0;0.0;0.06858734064398192;0.0;0.0
2026.0;51.33333333335009;0.25666666666720855;0.108000000000345;0.10800000000002959;3.271247483195651e-11;3.4387538646860216e-13;3.497866245737636e-12;2.0117405703682866e-13;0.04075172093242437;0.0;0.0;0.0;0.0;0.0;0.0;0.07385857933254888;0.0;0.0
2027.0;46.666666666688904;0.23333333333406164;0.10125000000045858;0.10125000000003943;5.91529116988949e-11;1.165341422876029e-12;2.8283281125459946e-12;1.631755456303182e-13;0.045376412765120826;0.0;0.0;0.0;0.0;0.0;0.0;0.07912640719500691;0.0;0.0
2028.0;42.00000000002868;0.21000000000102276;0.09450000000059039;0.09450000000005093;6.569365537570209e-11;1.3971876994381508e-12;3.4794771603961885e-12;2.004240400114954e-13;0.050328852739679936;0.0;0.0;0.0;0.0;0.0;0.0;0.08439805130405728;0.0;0.0
2029.0;37.33333333336967;0.18666666666826598;0.08775000000074426;0.08775000000006443;7.292828886005103e-11;1.6639753098196835e-12;4.246805574997239e-12;2.440745751176569e-13;0.05564803748102459;0.0;0.0;0.0;0.0;0.0;0.0;0.08966705503444755;0.0;0.0
2030.0;32.666666666712246;0.16333333333590178;0.08100000000092435;0.08100000000008041;8.110315624727642e-11;1.9414521389162843e-12;4.975743439131898e-12;2.853098810298562e-13;0.061380982569986274;0.0;0.0;0.0;0.0;0.0;0.0;0.09493239594386609;0.0;0.0
2031.0;28.000000000056964;0.140000000003884;0.07425000000113675;0.07425000000009967;8.907556032072081e-11;2.200909916687923e-12;6.435208284881681e-12;3.6565215954212446e-13;0.06891946425475984;0.0;0.0;0.0;0.0;0.0;0.0;0.10204169652966831;0.0;0.0
2032.0;23.33333333340473;0.11666666667283374;0.06750000000139293;0.06750000000012313;9.779106119749664e-11;2.5174423681965356e-12;5.56193338035106e-12;3.1855151401014297e-13;0.07708875750647698;0.0;0.0;0.0;0.0;0.0;0.0;0.10915090616414401;0.0;0.0
2033.0;18.66666666675697;0.0933333333424492;0.060750000001701665;0.06075000000015225;1.0731910463730363e-10;2.974004968189186e-12;5.688958201032021e-12;3.262203887946434e-13;0.08596806870116025;0.0;0.0;0.0;0.0;0.0;0.0;0.11625416636693627;0.0;0.0
2034.0;14.000000000116652;0.07000000002427989;0.054000000002097;0.054000000000189306;1.1774211621545858e-10;4.244639367014509e-12;7.511517708197078e-12;4.2507634189840633e-13;0.09565114675822359;0.0;0.0;0.0;0.0;0.0;0.0;0.1233541086694216;0.0;0.0
2035.0;9.33333333349114;0.04666666669756711;0.047250000002572054;0.04725000000023784;1.2915649687189403e-10;8.68578456428547e-12;7.7896982319238e-12;4.4184283208454823e-13;0.10621665286027024;0.0;0.0;0.0;0.0;0.0;0.0;0.13040318334848872;0.0;0.0
2036.0;4.66666666691537;0.02333333338735798;0.04050000000323016;0.040500000000302794;1.416776871426087e-10;1.2426258424724423e-11;7.959149944978962e-12;4.5446083799494834e-13;0.11777767823174488;0.0;0.0;0.0;0.0;0.0;0.0;0.1373955601742813;0.0;0.0
2037.0;4.402482408125243e-9;8.907729860788984e-11;0.033750000004092735;0.033750000000395124;1.3544963038643662e-10;3.677494110650706e-12;8.788567341899606e-12;5.013156212466685e-13;0.13047359176095616;0.0;0.0;0.0;0.0;0.0;0.0;0.14434940667427565;0.0;0.0
2038.0;4.758139133025783e-9;9.0711338069365e-11;0.027000000005635894;0.027000000000545515;1.4827590254136425e-10;4.052897431876232e-12;1.1174528936887273e-11;6.32502789873374e-13;0.14444409333593333;0.0;0.0;0.0;0.0;0.0;0.0;0.15125463141501208;0.0;0.0
2039.0;5.251084944145396e-9;9.50523269409501e-11;0.020250000007916866;0.020250000000862977;1.6291049960235108e-10;4.499955479061348e-12;7.705809775162386e-11;2.1135480888380235e-11;0.15977640699928689;0.0;0.0;0.0;0.0;0.0;0.0;0.15803988826395868;0.0;0.0
2040.0;5.868424724153735e-9;1.0203698119977855e-10;0.013500000010594461;0.016869286240380345;1.7956726049984206e-10;5.035806525359369e-12;0.0002842512760958301;0.0004439588551614484;0.17677329552901824;0.0;0.0;0.0;0.0;0.0;0.0;0.16487535468552342;0.0;0.0
2041.0;6.607619032142994e-9;1.1305592539677021e-10;0.006750000039017389;0.04180371632741293;1.9836547757221894e-10;5.691219710536144e-12;0.00017764369691099263;0.0013425127041640948;0.19445943195080065;0.0;0.0;0.0;0.0;0.0;0.0;0.17138787884116363;0.0;0.0
2042.0;7.47042907310577e-9;1.272587919280793e-10;2.990411847499329e-8;0.27124657872740277;2.1986454939178134e-10;6.467255804963183e-12;8.860239230742947e-10;0.01795201421595464;0.2138128961103024;0.0;0.0;0.0;0.0;0.0;0.0;0.17812794908924354;0.0;0.0
