Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;IMPORT_Import;CN_CAP_Alkaline_base;CN_CAP_Alkaline_peak;CN_PROD_Alkaline_base;CN_PROD_Alkaline_peak;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;70.0;0.35;0.135;0.135;7.909605880186973;6.068711717314392e-6;1.1680380753702478e-12;3.3256560293335277e-12;2.0902552386047026;0.0;0.0;0.0;0.0;3.9869448803539416;0.0;0.0
2022.0;70.0;0.35;0.135;0.135;6.243135440570198;4.142717248807892e-11;0.001421149555835146;0.0014211495562421888;4.865008877929225;0.0;0.0;0.0;0.0;9.266945099206556;0.0;0.0
2023.0;65.33333333335221;0.4849447412934449;1.4782499999997194;1.4782499999997616;8.365352043602421;7.062551555601e-11;0.0761910870679188;0.07160465090139495;3.7088699387963397;0.0;0.0;0.0;0.0;7.066940451312195;0.0;0.0
2024.0;60.66666666670467;0.46265652802876306;2.8214999999992774;2.821499999998694;9.54471934957077;1.4496139969773051e-10;0.33742608394000495;0.29541135897018944;3.155411329394453;0.0;0.0;0.0;0.0;6.013601661148759;0.0;0.0
2025.0;56.00000000005732;0.44361863465490625;6.670264097937476;17.664749999992818;6.128256434109694;2.4211626251284363e-9;1.7466191287951913;3.9645399831073567;2.60488442706338;0.0;0.0;0.0;0.0;4.966120283666277;0.0;0.0
2026.0;51.33333333341372;0.8307405900522125;6.663514097938202;17.658000000005277;11.277551808692987;0.2205238655019633;0.8914092916711793;1.1099659427429853;2.0558776705826944;0.0;0.0;0.0;0.0;3.9214436697258965;0.0;0.0
2027.0;46.66666666677463;5.47692693654281;6.656764097938907;17.651250000012148;12.387878782760161;1.4538751503430012;0.5857244624886125;0.7871231241384995;1.451818941522069;0.0;0.0;0.0;0.0;2.7718653516761598;0.0;0.0
2028.0;42.00000000013898;13.994332836941062;6.650014097940014;17.644500000030963;11.149090906631788;3.7148592621020247;0.5626164774956165;0.817095895669221;1.5330082532848015;0.0;0.0;0.0;0.0;2.925167537549138;0.0;0.0
2029.0;37.333333333506665;22.368235321791694;6.643264097941698;17.637750000081724;9.91030302355482;5.93774973988637;0.6734077042088495;0.8677498456691402;1.5010128227077266;0.0;0.0;0.0;0.0;2.867597448134884;0.0;0.0
2030.0;32.66666666688203;27.268877712816828;6.636514097944382;22.431761958582882;8.67151514864994;7.238647538245541;0.9148858256670683;1.565793309887939;1.5941329795220156;0.0;0.0;0.0;0.0;3.0161024297462493;0.0;0.0
2031.0;28.000000000261338;27.245544379502235;6.629764097948482;59.325927267720964;7.432727263361523;7.232453598845232;1.093717498753926;4.1615322251134055;1.5742302520220155;0.0;0.0;0.0;0.0;2.9949337283013775;0.0;0.0
2032.0;23.3333333336517;27.22221104617943;6.623014097953915;93.93699834201277;6.193939353900505;7.226259659451406;1.1918430217262697;6.78462544562663;1.6047109101003971;0.0;0.0;0.0;0.0;3.065622878874969;0.0;0.0
2033.0;18.666666667061357;27.19887771285296;6.616264097960538;112.01380466856031;4.955151506360738;7.220065720066375;1.43665366515009;9.190006595700297;1.6953203692402674;0.0;0.0;0.0;0.0;3.2288618883867177;0.0;0.0
2034.0;14.000000000492388;27.17554437952407;6.60951409797044;197.2547390495366;9.878520999808206e-9;7.213871780658148;1.4858450787523267;15.646696493955009;1.656605357358725;0.0;0.0;0.0;0.0;3.1696284075178824;0.0;0.0
2035.0;9.333333333982264;27.152211046194243;6.602764097985087;217.91777814961912;2.3215983954392754e-9;7.207677841227886;1.4861746747599425;17.24329710462957;1.5631327552924839;0.0;0.0;0.0;0.0;2.9851304603586386;0.0;0.0
2036.0;4.666666667647712;27.128877712864103;6.596014098011095;238.92414529143818;1.5044513817314154e-9;7.201483901777547;1.4754159490296375;18.833413627101095;1.48674286170717;0.0;0.0;0.0;0.0;2.8298610952107244;0.0;0.0
2037.0;2.0745925429340403e-8;27.105544379533914;6.589264098066624;258.83396252852816;9.363984897065832e-10;7.195289962283279;1.4862479192581777;20.393281489878785;1.4190970261053875;0.0;0.0;0.0;0.0;2.690997198370608;0.0;0.0
2038.0;2.478061180290239e-8;27.10554437953718;6.582514098186012;276.6404881278638;8.333976421922245e-10;7.195289961967876;1.5206879030923341;21.941884758728914;1.3417014202309072;0.0;0.0;0.0;0.0;2.561178938335239;0.0;0.0
2039.0;2.8678431977587908e-8;27.105544379540778;8.134594262052259;294.8285308747421;7.517486057683428e-10;7.193553042014643;1.8565325001299355;23.196375148707475;1.2567036378754914;0.0;0.0;0.0;0.0;2.414135796883167;0.0;0.0
2040.0;3.204799525454573e-8;27.105544379545048;29.91265392592412;364.05253182034045;7.220689505449051e-10;0.3765006844766484;6.305657223335109;27.095026159299092;1.2205953030085055;0.0;0.0;0.0;0.0;2.321958504221196;0.0;0.0
2041.0;3.6161341360625185e-8;27.105544379550135;31.98726729161239;388.35757942609683;6.700605983437056e-10;5.002615653928094e-10;6.634503751565574;28.73954411829246;1.1290413154244352;0.0;0.0;0.0;0.0;2.173469604273784;0.0;0.0
2042.0;4.103922141850884e-8;27.105544379556243;40.02604445487752;388.3508294284259;6.286605401244816e-10;3.1253984471977584e-10;8.490669112724373;28.487072785684123;1.0273780562498067;0.0;0.0;0.0;0.0;1.992713363592339;0.0;0.0
