Year;CAP;Supply;Cancellation;MSR;TNAC;Emissions_Ind;Emissions_H2S;Emissions_PS;EUAprice;EUAs_Ind;EUAs_PS
2021.0;1636.083007;3214.8554329999997;0.0;0.0;2194.1180255183444;512.9;9.594449076920972e-11;507.83740748155964;80.0;1396.9305202556334;1656.417154887175
2022.0;1550.6159844786314;1550.6159844786314;0.0;0.0;2647.906799257472;717.8696107395124;3.801849912633218e-11;378.9575999999539;10.73567985198528;1155.0901866073966;490.5382036612287
2023.0;1465.1489619572628;1465.1489619572628;0.0;0.0;3036.0863103640318;716.1891490802249;5.299575691860344e-11;360.7803017704253;12.11096410165915;1133.5691332617057;425.9750436241641
2024.0;1379.6819394358943;1379.6819394358943;0.0;0.0;3445.1870361100846;715.0086088703434;7.021904027812094e-11;255.5726048194276;13.203630388409241;1116.9598461008356;357.9998468404733
2025.0;1294.2149169145257;1294.2149169145257;0.0;0.0;3872.298571500197;714.6194173106385;9.712663359879875e-11;152.48396421367804;13.746037215136282;1106.2428668910509;284.493189182307
2026.0;1208.7478943931571;1208.7478943931571;0.0;0.0;4230.436981381448;713.1921904460183;1.4389825508573892e-10;137.4172940657433;15.068938049782277;1086.321895101311;218.692099700885
2027.0;1123.2808718717886;1123.2808718717886;0.0;0.0;4490.407266874488;712.3203927666767;2.67521064009949e-10;150.9901936118048;16.258219574601785;1071.8822065547859;158.19298346732606
2028.0;1037.81384935042;1037.81384935042;0.0;0.0;4680.740281052591;710.5732797282108;2.9932445686246467e-10;136.90755544380804;18.23772477332969;1049.838796457719;107.67807304745416
2029.0;952.3468268290513;952.3468268290513;0.0;0.0;4821.05622420566;708.4229718479781;3.35098089106027e-10;103.60791182766948;20.92801098031995;1024.8565099711793;73.65811828959902
2030.0;866.8798043076827;866.8798043076827;0.0;0.0;4865.692043102311;705.6423130677767;3.762996818867936e-10;116.60167234287832;24.063388316086982;995.5646053870593;37.28795459831027
2031.0;781.412781786314;781.412781786314;0.0;0.0;4863.240722212722;702.6905665903847;4.172862379016057e-10;81.17353608510018;27.36105238180683;963.6714359558114;4.4005609033092017e-11
2032.0;695.9457592649453;695.9457592649453;0.0;0.0;4798.646074282884;698.7699300125746;4.6300488310891705e-10;61.770477181745555;32.296509605431716;923.6987739527509;1.4877736432046534e-11
2033.0;610.4787367435766;610.4787367435766;0.0;0.0;4637.1302611971505;693.6695597400815;5.14075335841151e-10;78.32499008871449;38.18053287300232;873.5181853550406;1.2366850560756078e-11
2034.0;525.011714222208;525.011714222208;0.0;0.0;4398.080961033949;688.1477102240882;5.714561011863247e-10;75.91330416074922;44.481739858903765;816.7825783605526;1.0872983043531115e-11
2035.0;439.5446917008393;439.5446917008393;0.0;0.0;4086.556621145262;682.6339436542519;6.370812190946559e-10;68.43508793463785;50.90801679951788;756.66918776794;9.840098895035292e-12
2036.0;354.0776691794706;354.0776691794706;0.0;0.0;3702.540736856693;677.2054043459226;7.133826031287087e-10;60.8881491214032;57.41175565288894;693.9858068582054;9.079063876204074e-12
2037.0;268.6106466581019;268.6106466581019;0.0;0.0;3228.4884822361546;671.9158030118624;6.702788086118638e-10;70.74709826610786;63.94870302549941;628.9701183014867;8.499553886872375e-12
2038.0;183.14362413673328;183.14362413673328;0.0;0.0;2677.6959562278544;666.8243339632019;7.436679103156943e-10;67.11181618108799;70.52028479663346;564.1998229907452;7.995849210838958e-12
2039.0;97.67660161536463;97.67660161536463;0.0;0.0;2058.8354381865643;661.93072980805;8.293334366144075e-10;54.60638984777533;77.12321541666898;499.74224935140796;7.551052334620269e-12
2040.0;12.209579093995984;12.209579093995984;0.0;0.0;1362.7068168057476;657.2333644469119;9.281868378432401e-10;51.104836026972706;83.75254801933848;435.54728419906536;7.154993610253407e-12
2041.0;0.0;0.0;0.0;0.0;662.391135744693;657.6894974720874;1.0416664445842166e-9;42.62618358792554;84.8734669641733;428.36089701627986;7.1252805230896385e-12
2042.0;0.0;0.0;0.0;0.0;-33.89538395124225;658.976535916018;1.1726221903113384e-9;37.309983778744794;85.05739428355946;430.46458008726034;7.1504420129011135e-12
2043.0;0.0;0.0;0.0;0.0;-729.5126652130795;660.2520184944573;1.3245945614514262e-9;35.36526276605527;85.22483864169068;432.38113833400746;7.173464957143871e-12
2044.0;0.0;0.0;0.0;0.0;-1422.5012263201766;661.514708935028;1.5012942762192758e-9;31.473852170567916;85.3772574238814;434.12687246083226;7.194486066815966e-12
