Year;EOM_avg;REC_y;CAP_CCGT_new;CAP_WindOffshore;CAP_SPP_coal;CAP_WindOnshore;CAP_Nuclear;CAP_Solar;CAP_OCGT;FS_CCGT_new;FS_WindOffshore;FS_SPP_coal;FS_WindOnshore;FS_Nuclear;FS_Solar;FS_OCGT
2021.0;166.10170043197667;1.4554930789741116;153.0;12.708;49.44;164.87;78.48;110.84;11.39;313.3281431193074;27.51013231758485;433.0943999999114;288.6219235013827;687.4847999999996;126.15955034204879;0.0
2022.0;280.1094436335357;1.255086077571836;153.0;12.708;49.44;247.30499999999995;78.48;166.25999999999962;11.390000000000041;0.0;27.51013231758485;433.09439999995504;432.9328852520648;687.4847999999996;189.2393255130393;0.0
2023.0;209.33331344902683;1.2508051595580711;145.35;18.355999999999998;46.144000000000005;359.9661666666665;74.556;242.00066666666484;10.251000000000081;71.08935637774685;39.73685779206669;364.1462857813526;630.1578663113382;653.1105599999997;275.4483515800884;0.0
2024.0;130.72709398863788;1.29176122749195;137.70000000000007;24.00399999999999;42.848000000000006;534.4535833333326;70.632;279.0571579700628;9.112000000000124;6.445371587720104e-11;51.963583266548305;296.3251963422141;935.6160686836109;607.1160842730842;317.62653887782943;0.0
2025.0;71.50391750808106;1.4080958910087975;130.0500000000001;23.298000000000002;39.552;744.8386924990316;66.708;271.66782463674394;7.973000000000174;0.0;50.4352425822377;173.19933991411486;1303.9168807382562;583.9700535071211;309.2159021883137;0.0
2026.0;69.85390940088891;1.5227388366150072;122.40000000000015;22.592000000000017;36.25599999999999;867.0790953105633;62.784000000000006;264.2784913034695;6.834000000000236;0.0;48.90690189792748;136.19454426557664;1517.9113017308466;549.9878400000006;300.80526549891556;0.0
2027.0;67.09227276756353;1.6241073992010178;114.7500000000002;21.88600000000006;32.96;867.1968031461279;58.86;323.38668333574344;5.6950000000003165;3.4013670406606167;47.37856121361722;79.35521119832065;1518.1173614258262;515.6135999999996;368.08298950038414;0.0
2028.0;66.41355477337433;1.632037429103885;107.10000000000025;26.815766075973173;29.664;916.1993098345047;54.93599999999999;315.9973500026345;4.556000000000421;3.017110597219084;58.050462145688186;34.399786930131285;1603.9012986902562;481.2393599999998;359.6723528111381;0.0
2029.0;66.46277673072372;1.5920172662229206;99.45000000000033;37.40576607597313;26.368000000000077;967.3665887692159;51.012;308.60801666987095;3.4170000000005682;3.812902560626625e-11;80.97557241034187;20.803661633291743;1693.4748928339197;446.86512000000016;351.2617161222875;0.0
2030.0;68.57634165713735;1.5037500992278672;91.80000000000041;50.460649113959676;23.072000000000152;1004.1436768725865;47.088;337.81319514868585;2.2780000000008047;3.854922618565602;109.23663314103149;5.36253080146849;1757.8569751361802;412.49088000000035;384.5034355786533;0.0
2031.0;65.2667033322857;7.07506754688144;84.15000000000055;68.8105321519462;19.77600000000023;993.1523435392969;43.16400000000002;414.0390051803986;1.1390000000013134;21.09419926424392;148.960249004046;1.0139344944528764e-9;1738.6155135690062;368.8034681595401;471.2646582238198;0.0
2032.0;68.72043063746746;6.815342763224881;76.50000000000065;93.68785670892599;16.480000000000334;995.9639686963191;39.240000000000045;406.64967184721604;0.16946430629627313;41.38222400578378;202.81439523240812;6.260907353988938e-10;1743.5375530538513;339.2177250752674;462.85402153473893;0.0
2033.0;70.27421506696551;6.230086095291237;68.85000000000082;127.74012278489899;13.18400000000047;984.9726353632254;35.31600000000007;420.218405428142;0.8236964594401532;31.45665021209884;276.53034939227854;4.756387135120267e-10;1724.2960915553722;308.9982787330031;478.2981331127158;0.0
2034.0;68.65127375819652;5.604591616607664;61.20000000000101;172.83129324791653;9.888000000000664;973.9813020299534;31.39200000000009;433.0607072263158;1.2355446891604849;42.97844541952281;374.1431968735803;3.969714476483361e-10;1705.0546299886864;274.9939197791713;492.9154104513438;1.173494700613657e-11
2035.0;73.3799628465064;5.435669299276819;53.550000000001276;183.04957158604236;6.592000000000973;964.1391967314216;27.468000000000114;455.4138698323391;1.8533170337415825;50.843448675481966;396.2636083576654;5.270687234894455e-10;1687.8250105154102;240.6196799998468;518.3580750408503;0.6438277214350983
2036.0;75.97831536890396;5.313807022980866;45.90000000000168;201.67519009619122;3.2960000000016274;953.1478633981567;23.544000000000164;457.7354696781987;2.7799755506084853;48.24910960045286;436.5841332011537;1.145004406359493;1668.5835489487606;206.2454399998559;521.0005506148763;1.9314831644297796
2037.0;85.47890634263236;5.232621121977453;38.25000000000225;206.7199702658211;4.842053839529691e-11;942.1565300648365;19.620000000000235;529.0962697734279;4.169963325906029;51.71781437240445;447.50501532105056;1.4449942249499112e-10;1649.3420873820337;171.87119999987203;602.2243547655204;4.603571378255936
2038.0;89.27598271163606;5.364718922934979;30.60000000000292;206.01397026582123;5.568488510303202e-11;943.6289858366608;15.696000000000362;583.5095929450956;6.254944988875366;43.64914935270411;445.97667463674037;1.5824034793207292e-10;1651.9197729351024;137.49695999986352;664.1583170891156;7.771498802855067
2039.0;82.77703449949573;5.47909782189649;22.950000000003676;205.30797026582147;6.069861682537964e-11;1003.7204313904431;11.772000000000599;583.5095929453128;9.38241748331368;28.313730576197973;444.4483339524299;1.5280087864454953e-10;1757.116040307596;103.1227199994475;664.158317089278;11.177185630896242
2040.0;81.41778953091348;5.458466329284931;15.300000000004893;216.75571275346377;6.582023943137189e-11;1047.407112526644;7.848000000001355;583.5095929454135;14.073626224959565;18.35098347630172;469.23027529431505;1.590220852984466e-10;1832.6676267526007;68.74847999972224;664.1583170893418;16.080581287829133
