Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;CN_CAP_Alkaline_base;CN_CAP_Alkaline_peak;CN_PROD_Alkaline_base;CN_PROD_Alkaline_peak;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;70.0;0.35;0.135;0.135;1.6488965390045842e-14;7.842487327351805e-15;2.4117410327883274e-13;1.139998465102959e-11;0.0;0.0;0.0;0.0;0.00023653678411546223;0.0;0.0
2022.0;70.0;0.35;0.135;0.135;6.159280718933137e-15;3.1056125771059055e-15;1.3975761983709242e-13;6.605902006907551e-12;0.0;0.0;0.0;0.0;0.0002627077854610502;0.0;0.0
2023.0;65.33333333333333;0.3266666666666685;0.1282500000000447;0.12825000000303352;8.241315871056136e-15;4.363358073429559e-15;3.764464500736407e-13;1.7798882853872413e-11;0.0;0.0;0.0;0.0;0.00029966614251103436;0.0;0.0
2024.0;60.66666666666668;0.3033333333333359;0.1215000000000909;0.12150000000616915;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005851091532542851;0.0;0.0
2025.0;56.00000000000001;0.28000000000000325;0.11475000000013891;0.11475000000940624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012484559071868448;0.0;0.0
2026.0;51.33333333333334;0.2566666666666707;0.10800000000019323;0.10800000001309834;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0021659143633911758;0.0;0.0
2027.0;46.66666666666668;0.23333333333333828;0.10125000000025539;0.10125000001731663;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0036428820434178276;0.0;0.0
2028.0;42.00000000000002;0.21000000000000596;0.09450000000032639;0.09450000002214151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005781562050024488;0.0;0.0
2029.0;37.33333333333336;0.1866666666666738;0.08775000000040786;0.087750000027679;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008832510015549765;0.0;0.0
2030.0;32.66666666666669;0.1633333333333419;0.08100000000050259;0.08100000003407122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012987063997236542;0.0;0.0
2031.0;28.000000000000036;0.14000000000001026;0.0742500000006117;0.07425000004148562;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018929627531911547;0.0;0.0
2032.0;23.33333333333338;0.11666666666667896;0.06750000000073707;0.06750000005000696;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026624492403600004;0.0;0.0
2033.0;18.666666666666725;0.09333333333334816;0.06075000000088162;0.06075000005983413;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.036224459572607025;0.0;0.0
2034.0;14.000000000000073;0.07000000000001798;0.05400000000106036;0.05400000007198957;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04815533659042566;0.0;0.0
2035.0;9.333333333333433;0.04666666666668867;0.04725000000128462;0.04725000008724825;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06246009057848752;0.0;0.0
2036.0;4.666666666666825;0.023333333333360552;0.040500000001571515;0.04050000010678196;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0793352326107993;0.0;0.0
2037.0;2.9662075025636665e-13;3.4198078452123575e-14;0.03375000000194854;0.03375000013247412;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09883895911441007;0.0;0.0
2038.0;8.401129009409686e-13;4.620214438262562e-14;0.027000000002463904;0.0270000001676449;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12117436107594813;0.0;0.0
2039.0;9.982640650587735e-13;6.299745824858496e-14;0.020250000003214065;0.02025000021898931;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1463114087610934;0.0;0.0
2040.0;1.3485194960565813e-12;8.146182932352572e-14;0.013500000004439676;0.01350000030423982;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17431162904775013;0.0;0.0
2041.0;1.7787075685136196e-12;1.096269520096385e-13;0.006750000007095313;0.006750000518863379;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2052613479899045;0.0;0.0
2042.0;2.3850577094098118e-12;1.5868002162612032e-13;2.5297931053061125e-10;3.466195964243585e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23923678533887666;0.0;0.0
2043.0;3.206306124996622e-12;4.0097027114784787e-13;3.2861856621528514e-10;0.03311548793135109;0.0;0.0;0.0;0.004996566856884297;0.0;0.0;0.0;0.0;0.27650862732812553;0.0;0.0
2044.0;4.3231201739914875e-12;4.852374341722242e-13;0.04016823278797291;0.1006157512511271;0.0;0.0;0.004900938194371239;0.009929576536989964;0.0;0.0;0.0;0.0;0.3170671449659923;0.0;0.0
2045.0;5.857776074521978e-12;4.111054177813934e-12;0.040168232795665774;0.43177062803516975;3.237654829986891e-13;2.586359144244866e-13;0.006875700474024585;0.07390728486304303;0.0;0.0;0.0;0.0;0.36527807488634817;0.0;0.0
2046.0;7.879751075559023e-12;6.133898377170223e-12;0.44185056064695255;1.4379281373243613;4.028852078880376e-13;2.9082057393988156e-13;0.07563271157206164;0.24613345095439373;0.0;0.0;0.0;0.0;0.41686787328464653;0.0;0.0
