Hour;EOM_price;PROD_Alkaline_base;PROD_Alkaline_peak;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;53.21891280582156;1.2836799191432712e-10;8.415292875211351e-13;0.0;0.013635105356902532;4.310431149869045e-15;0.26449234938554833;0.007847999999942918;0.00011616187926449299;0.0
2.0;52.95163330833687;0.004690810409025231;8.737719245747239e-13;0.0;0.012810727727733964;4.3077166894469536e-15;0.26706521931199734;0.007847999999942545;0.00011616187926423259;0.0
3.0;52.91777897311543;0.021404484015175463;8.752654799012026e-13;0.0;0.012279686867687344;4.307596024892121e-15;0.27545164756139234;0.007847999999942528;0.00010841763837367501;0.0
4.0;52.89250921281665;0.019482815702505728;8.787696543156534e-13;0.0;0.012213938987576655;4.307314608265148e-15;0.27107214558496173;0.00784799999994249;0.00010841763837364843;0.0
5.0;52.9466205548478;0.020609543323721703;8.717947835450074e-13;0.0;0.01320268641620563;4.307877089157066e-15;0.2746643219276656;0.007847999999942568;0.00010841763837370153;0.0
6.0;52.95629625672729;0.01389808015863349;8.71228297610192e-13;0.0;0.013619932772236375;4.30792318708336e-15;0.27907194134301583;0.007847999999942573;0.0001161618792642525;0.0
7.0;53.32495649554426;8.097176214575362e-11;8.286529926682101e-13;0.0;0.013356941132773265;4.3115771529450555e-15;0.2812159994004364;0.007847999999943074;0.0017037087192491693;0.0
8.0;52.948163872821105;0.006209680254145721;8.731219359847107e-13;0.0;0.012527505922484597;4.307769337171344e-15;0.2793812486238119;0.007847999999942552;0.0185626835738682;0.0
9.0;53.19418783127613;0.04492355510082003;8.440694131414286e-13;0.0;0.01279555514306804;4.310209406600459e-15;0.28149015698520546;0.007847999999942887;0.08432585123661085;0.0
10.0;45.962836963614386;0.09212504191004765;0.011631152971972335;0.0;0.01378430257169308;4.239633373176015e-15;0.26572254753934516;0.00784799999993111;0.17971032240095483;0.0
11.0;45.85687440256473;0.09212504191006776;0.1085777793442446;0.0;0.012426355291917976;4.239273432926298e-15;0.25810938556035534;0.007847999999931037;0.2668008286195366;0.0
12.0;39.94063964805722;0.0921250419117796;0.18279853518047767;0.0;0.012441527876579797;4.183651706795686e-15;0.26026750169337026;0.007847999999917277;0.32235722984720433;0.0
13.0;0.4933741509809292;0.09212504191331508;0.18279853518142802;0.0;0.013035787863236068;0.0;0.2738769950040229;0.0;0.3419421393380616;0.0
14.0;0.18926153068423826;0.09212504191331772;0.18279853518142886;0.0;0.012100144517012738;0.0;0.2888361910562424;0.0;0.32415905509678045;0.0
15.0;18.126154419420185;0.09212504191306346;0.1827985351813395;0.0;0.01127829564490485;0.0;0.29769360798171;0.007847999999693179;0.28871672167977175;0.0
16.0;45.80057299242607;0.09212504191009363;0.11742305774080952;0.0;0.010426101517987464;4.238805182201875e-15;0.30029459663484037;0.007847999999930941;0.21675824800690396;0.0
17.0;45.76529901166207;0.09212504191013289;0.020009562308774792;0.0;0.01092932595958845;4.238082801998223e-15;0.3002594482265368;0.007847999999930794;0.12174549607018705;0.0
18.0;53.11408737295835;0.03127735906140257;8.506254508562739e-13;0.0;0.011174616223829651;4.309643506254658e-15;0.29321569174979417;0.00784799999994281;0.03868968213211828;0.0
19.0;53.34873016317215;7.342068669816498e-11;8.25060010477926e-13;0.0;0.011591862579860503;4.311903633347316e-15;0.2947130165189795;0.007847999999943117;0.0064663501062209115;0.0
20.0;53.00420095075;0.002177377996028904;8.652361586787635e-13;0.0;0.01282842906328653;4.3084146721676565e-15;0.30811864906365594;0.00784799999994264;0.0005188563364180921;0.0
21.0;53.14910832097593;0.01771491261724862;8.46480699185605e-13;0.0;0.013243146668430851;4.310000201775785e-15;0.31819923574418385;0.007847999999942859;0.00035622987878332205;0.0
22.0;53.15165140906101;0.02990453775518303;8.469978098881117e-13;0.0;0.01339993013588481;4.309955499566222e-15;0.32506724889168803;0.007847999999942852;0.000123906120155038;0.0
23.0;53.126046114818884;0.03237697325794033;8.525782550325953e-13;0.0;0.012469344334707018;4.309476708903102e-15;0.3185155714189173;0.007847999999942786;0.00010067339748326401;0.0
24.0;52.774414790918705;0.06114807169374722;8.906622639129734e-13;0.0;0.011672783084310481;4.306376805966242e-15;0.3198371541465838;0.007847999999942358;0.00010067339748294488;0.0
25.0;52.353750657922475;0.09212504185580174;1.035182454290437e-12;0.0;0.0050575316471329875;4.6209252350795535e-15;0.2927517327601824;0.007847999999935875;0.0009989932024706823;0.0
26.0;53.07194574729616;0.03191674106520419;9.513477619410484e-13;0.0;0.004609940121770471;4.626918445950328e-15;0.27833382348091207;0.007847999999936763;0.0009370401423691549;0.0
27.0;52.986102739237545;0.03133027621489437;9.593063896419436e-13;0.0;0.0037349871178103075;4.626302308615385e-15;0.2655889835877921;0.007847999999936675;0.00030976530045703137;0.0
28.0;53.2125161650666;0.021522956527004453;9.261464826819e-13;0.0;0.0029106094886419964;4.6289428074630305e-15;0.2532799839576384;0.007847999999937058;0.00014713884282179597;0.0
29.0;103.44563662688962;6.791168799297891e-13;1.3426472604760423e-13;2.0007276204395283e-13;0.002048300318474606;5.2020149848521945e-15;0.24739612753037332;0.007847999999971472;0.00014713884284832743;0.0
30.0;126.26611485774858;4.863852571610855e-13;9.911316054872271e-14;2.428633712962285e-13;0.0017827798884538341;5.507772805948734e-15;0.24589177179180619;0.007847999999977298;0.00035622987880933385;2.243991585536405e-15
31.0;166.29791339294394;3.2941012124078883e-13;6.828389151803913e-14;3.8872276794134145e-13;0.0016158813777831227;6.128838308940261e-15;0.23776544176386116;0.007847999999983408;0.003554556281452728;2.9377476146388095e-15
32.0;78.82272554237791;1.2506483093768014e-12;2.2360344195903659e-13;0.0;0.0016007087534338693;4.904766973747558e-15;0.22966723046254822;0.007847999999960826;0.04779678110011813;0.0
33.0;45.66460491521002;0.09212504190983091;0.02736853525936776;0.0;0.0018282976821052239;4.552461829827218e-15;0.212008631499046;0.007847999999923442;0.17082780295069816;0.0
34.0;45.77426841766786;0.09212504190976445;0.1158551250675688;0.0;0.0022531303701425957;4.553649374534784e-15;0.1844170717453501;0.007847999999923702;0.30410431070677907;0.0
35.0;44.82943931743884;0.0921250419102479;0.18279853517393543;0.0;0.0027007219351782596;4.544064251232205e-15;0.1698163907428996;0.007847999999921553;0.4024470411412714;0.0
36.0;0.12687981944553955;0.09212504191328048;0.18279853518141895;0.0;0.0027462396788773065;0.0;0.17222054701381265;0.0;0.4078001541977752;0.0
37.0;0.15098670140990622;0.09212504191328019;0.18279853518141886;0.0;0.0027487684711492116;0.0;0.17181282419095184;0.0;0.40406935224499774;0.0
38.0;0.10867857765050093;0.09212504191328062;0.182798535181419;0.0;0.0031230257813773745;0.0;0.16770748237263242;0.0;0.40205761000648627;0.0
39.0;45.26931565427604;0.09212504191003047;0.18279853516542838;0.0;0.0032342915064381746;4.548673945464483e-15;0.16477609869035936;0.007847999999922603;0.3878183755833064;0.0
40.0;45.59776833263683;0.09212504190986552;0.09917543529273425;0.0;0.0036919981146942608;4.551831322141835e-15;0.16450896949952784;0.007847999999923303;0.29272043699679434;0.0
41.0;53.02346182315338;0.05821024785429758;9.588755453336362e-13;0.0;0.004809712632009546;4.626335389021251e-15;0.16654758104431766;0.007847999999936678;0.1684116336067245;0.0
42.0;124.15309814186763;4.988553944001455e-13;1.0147337563564458e-13;2.382851694505885e-13;0.009151603533239678;5.478989428426815e-15;0.19036419530759094;0.00784799999997687;0.05456515226601972;2.2161183535401132e-15
43.0;96.33035893641693;7.769479009245894e-13;1.510243915502103e-13;1.89825674297433e-13;0.013710968359589472;5.114441167469129e-15;0.21738635084676367;0.00784799999996907;0.01116703756608703;0.0
44.0;53.508629249296824;5.497601778442465e-11;8.916808274993583e-13;0.0;0.018280448229150103;4.63190616846353e-15;0.24591989051843555;0.007847999999937483;0.003701694257270961;0.0
45.0;53.11153499545505;0.007200306932098698;9.436020143815791e-13;0.0;0.019180688860995575;4.627528571940961e-15;0.26443611321998345;0.007847999999936852;0.00291179382474623;0.0
