Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;IMPORT_Import;CN_CAP_Alkaline_base;CN_CAP_Alkaline_peak;CN_CAP_Import;CN_PROD_Alkaline_base;CN_PROD_Alkaline_peak;CN_PROD_Import;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;70.0;0.35;0.135;0.135;7.689313238395455e-13;2.800152555674652e-11;1.1194824211603057e-14;1.9292829828291734e-14;0.004102700100360501;0.0;0.0;0.0;0.0;0.0;0.0;0.019810278759145927;0.0;0.0
2022.0;70.0;0.35;0.135;0.135;3.069255744763216e-13;1.5562593762924896e-11;7.283527522128688e-15;1.2552856365476054e-14;0.005116627974816648;0.0;0.0;0.0;0.0;0.0;0.0;0.022010860683997192;0.0;0.0
2023.0;65.33333333333351;0.3266666666719351;0.1282500000000025;0.12825000000000977;4.106444888499411e-13;1.9419089553861216e-11;1.8239238806661736e-14;3.140608245415075e-14;0.00613053580961155;0.0;0.0;0.0;0.0;0.0;0.0;0.024211402909220484;0.0;0.0
2024.0;60.66666666666702;0.3033333333438971;0.12150000000000515;0.12150000000001866;5.428845941271506e-13;2.335257753129807e-11;4.908352316916717e-14;8.397853202495602e-14;0.007178479702835051;0.12149999999962377;0.12149999999931196;0.0;0.0;0.0;0.0;0.026411654404412722;0.0;0.09199475342810642
2025.0;56.00000000000051;0.28000000001584424;0.11475000000000789;0.11475000000002777;7.452349319851654e-13;2.754780867306168e-11;7.738802235360987e-14;1.3269110805915787e-13;0.008234662731545949;0.11474999999962686;0.11474999999932176;0.0;0.0;0.0;0.0;0.028609707077306496;0.0;0.092196408660218
2026.0;51.33333333333404;0.25666666668874033;0.10800000000001128;0.1080000000000395;1.0834176594182353e-12;3.118236547870139e-11;7.403430131743932e-14;1.2700165762049945e-13;0.009300419755507126;0.10799999999963056;0.10799999999933417;0.0;0.0;0.0;0.0;0.030805704884728426;0.0;0.09164998018681211
2027.0;46.66666666666761;0.23333333336280646;0.10125000000001547;0.10125000000005538;1.971103520742244e-12;3.412122455187229e-11;6.332675047247154e-14;1.0882257512855857e-13;0.010378118096854868;0.10124999999963515;0.10124999999935087;0.0;0.0;0.0;0.0;0.033001413210338795;0.0;0.09150769687812114
2028.0;42.000000000001236;0.21000000003861316;0.0945000000000208;0.0945000000000788;2.1912704615611836e-12;3.513095131405225e-11;7.75447381216757e-14;1.3305407091158861e-13;0.01147335394976462;0.09449999999964091;0.09449999999937522;0.0;0.0;0.0;0.0;0.035204594571232366;0.0;0.09170935211020247
2029.0;37.33333333333496;0.1866666667170099;0.08775000000002782;0.08775000000011976;2.4352161814617015e-12;3.668162408815246e-11;9.387666293969248e-14;1.6072310247457337e-13;0.012582839079001745;0.08774999999964843;0.08774999999941713;0.0;0.0;0.0;0.0;0.03740547527821571;0.0;0.0919110049799046
2030.0;32.666666666668846;0.16333333340082254;0.08100000000003925;0.08100000000026267;2.7112804505350558e-12;3.903632110351844e-11;1.1293443860877132e-13;1.9291241355754775e-13;0.013709187997731673;0.08099999999998381;0.08100000000015975;0.0;0.0;0.0;0.0;0.03960529756659811;0.0;0.6339850966458056
2031.0;28.000000000003066;0.14000000008959138;0.07425000000005454;0.07425000000046168;2.9771597530378875e-12;4.1942375286237567e-11;1.415646644748242e-13;2.3958444397607266e-13;0.015221718126129605;0.07424999999999908;0.07425000000035872;0.0;0.0;0.0;0.0;0.04257574409495629;0.0;0.6341867518777448
