Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;CN_CAP_Alkaline_base;CN_CAP_Alkaline_peak;CN_PROD_Alkaline_base;CN_PROD_Alkaline_peak;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;70.0;0.35;0.135;0.135;2.4456286303168548e-15;2.0868319479533984e-16;2.3922778454082937e-11;9.348133936228778e-13;0.0;0.0;0.0;0.0;0.00020499938866631892;0.0;0.0
2022.0;70.0;0.35;0.135;0.135;4.277885386111813e-17;4.3478845966454903e-17;1.4492740526354624e-11;5.6634045437438e-13;0.0;0.0;0.0;0.0;0.00022771659520313264;0.0;0.0
2023.0;65.33333333333333;0.32666666666666666;0.1282500000054456;0.12825000000052236;7.727753849817956e-16;7.049273793657154e-17;4.083062013748333e-11;1.5951099704160056e-12;0.0;0.0;0.0;0.0;0.0002583418971931617;0.0;0.0
2024.0;60.66666666666667;0.30333333333333334;0.12150000001111738;0.12150000000106445;1.8210147693341256e-15;1.1100736679312335e-16;9.350293319992528e-11;3.6553818628277966e-12;0.0;0.0;0.0;0.0;0.0005060358759999743;0.0;0.0
2025.0;56.0;0.27999999999999997;0.11475000001700404;0.11475000000145719;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010657707702050653;0.0;0.0
2026.0;51.33333333333333;0.25666666666666665;0.10800000002391393;0.10800000000194221;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0018622714730655875;0.0;0.0
2027.0;46.666666666666664;0.2333333333333333;0.1012500000320794;0.10125000000255964;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0031845315450354404;0.0;0.0
2028.0;42.0;0.21;0.0945000000418219;0.09450000000346599;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00508163214322625;0.0;0.0
2029.0;37.333333333333336;0.18666666666666665;0.08775000005356481;0.08775000000447386;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007812553443510558;0.0;0.0
2030.0;32.666666666666664;0.16333333333333333;0.08100000006770028;0.08100000000577925;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011549855486349283;0.0;0.0
2031.0;28.0;0.13999999999999999;0.07425000008585508;0.07425000000758612;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01687819750131537;0.0;0.0
2032.0;23.333333333333332;0.11666666666666667;0.06750000010886079;0.06750000001113278;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023819788794131425;0.0;0.0
2033.0;18.666666666666668;0.09333333333333334;0.06075000013887119;0.06075000001605621;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.032544794283833216;0.0;0.0
2034.0;14.0;0.07;0.05400000018787413;0.13165831858841046;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04330928246248141;0.0;0.0
