Hour;EOM_price;PROD_Alkaline_base;PROD_Alkaline_peak;IMP_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;56.7997165063574;0.012859073508219633;1.7544689754721385e-12;0.005426747193831112;0.0;0.004367519992689035;2.865427681850319e-14;0.2905039506563775;0.007847999999996701;0.00021314057685557197;0.0
2.0;56.79972472625113;0.018813059482295218;1.7544665878966872e-12;0.005426747193954584;0.0;0.004103460003198744;2.865427764827682e-14;0.2933298504598877;0.0078479999999967;0.000213140576855572;0.0
3.0;56.79975158583609;0.02871413228518067;1.7544587859887583e-12;0.005426747193831103;0.0;0.003933359992037269;2.865428035974579e-14;0.3025410452033489;0.0078479999999967;0.00019893099294650195;0.0
4.0;56.79973759400005;0.026577003055799138;1.7544628500799552e-12;0.0054267471938311196;0.0;0.003912300002153089;2.8654278947311465e-14;0.29773083942985;0.007847999999996701;0.00019893099294650195;0.0
5.0;56.79974907045085;0.028302487991552074;1.7544595166095018e-12;0.005426747193831102;0.0;0.004229009998123833;2.8654280105824765e-14;0.3016762897290146;0.0078479999999967;0.00019893099294650195;0.0
6.0;56.79976308587641;0.023625379263338114;1.7544554458942555e-12;0.00542674719383112;0.0;0.004362659996000993;2.865428152056534e-14;0.3065173781617191;0.007847999999996701;0.00021314057685557203;0.0
7.0;56.79975635398496;0.01246940135002616;1.754457445403157e-12;0.005426747193831111;0.0;0.004278419998340261;2.8654280825652036e-14;0.30887229442891684;0.0078479999999967;0.0031260639157901825;0.0
8.0;56.79960625926119;0.03450746778743196;1.7545015121667778e-12;0.005426747193831107;0.0;0.004012739993009959;2.8654265511033073e-14;0.30685710438535774;0.0078479999999967;0.03405989218951347;0.0
9.0;50.85415365408372;0.10406623661503293;0.03325531410697169;0.0054267471938311005;0.0;0.00409860000646384;2.806346919261672e-14;0.3091734141462196;0.007847999999996209;0.15472597970419077;0.0
10.0;50.85328723978698;0.10406623661503298;0.1809716233920185;0.005426747193831094;0.0;0.00441531000243458;2.8063383998068798e-14;0.29185513311816663;0.00784799999999621;0.3297429588753474;0.0
11.0;50.85251783493581;0.104066236615033;0.3271550799546662;0.00542674719383111;0.0;0.0039803399938628005;2.8063308320607833e-14;0.2834932518122545;0.00784799999999621;0.48954168844632606;0.0
12.0;50.85204943020075;0.10406623661503303;0.43344609081005514;0.005426747193831113;0.0;0.003985199990550839;2.8063262225584497e-14;0.2858636087018724;0.00784799999999621;0.5914798068611664;0.0
13.0;40.08633684379294;0.10406623661517553;0.4860817876158134;0.005426747193831104;0.0;0.004175549996264284;2.7047101981989687e-14;0.3008115328402874;0.007847999999994826;0.6274153386729162;0.0
14.0;50.852050462174994;0.10406623661503303;0.48358864952634667;0.005426747193831109;0.0;0.00387585000152989;2.8063262227722726e-14;0.31724189675321357;0.00784799999999621;0.6108329881078342;0.0
15.0;50.852456804213745;0.104066236615033;0.41739369108634666;0.0054267471938311005;0.0;0.0036126000072516126;2.806330217786363e-14;0.32697039972897785;0.007847999999996209;0.5297542445619479;0.0
16.0;50.85308073751719;0.10406623661503298;0.2945054113830847;0.005426747193831104;0.0;0.0033396299941812514;2.8063363559352708e-14;0.3298271836060585;0.00784799999999621;0.397720649006257;0.0
17.0;50.85389348407487;0.10406623661503295;0.12726354360348194;0.005426747193831104;0.0;0.003500820007178656;2.8063443528238807e-14;0.3297885785140956;0.007847999999996209;0.22338572190842348;0.0
18.0;56.79947826643847;0.07717590706566088;1.7545392517407453e-12;0.005426747193831106;0.0;0.0035793900002782;2.865425239594633e-14;0.32205210111235544;0.007847999999996701;0.07099008055715236;0.0
19.0;56.79975872923415;0.015797026273207688;1.7544568880007286e-12;0.005426747193831097;0.0;0.0037130399981553605;2.8654281019375473e-14;0.3236966808587057;0.007847999999996701;0.011864835523456558;0.0
20.0;56.79985244052665;0.016597041751585863;1.7544295035486258e-12;0.005426747193831113;0.0;0.0041091299950987955;2.865429053675889e-14;0.338420695463756;0.0078479999999967;0.0009520278040897675;0.0
21.0;56.799886037731596;0.032729969573398306;1.7544197407365731e-12;0.005426747193831099;0.0;0.004241969997763945;2.8654293929870726e-14;0.34949266129728945;0.007847999999996701;0.0006536313145867716;0.0
22.0;56.799909967555614;0.04756753371875451;1.7544127839420025e-12;0.005426747193831109;0.0;0.004292189993192384;2.865429634776247e-14;0.3570361118248579;0.007847999999996701;0.00022735016076464253;0.0
23.0;56.79988923470085;0.0563691005517555;1.7544188050759407e-12;0.005426747193831092;0.0;0.003994110001469799;2.86542942550658e-14;0.3498401071249558;0.007847999999996701;0.00018472140903743264;0.0
24.0;56.799893456950926;0.06188563286224752;1.7544175787385998e-12;0.005426747193831096;0.0;0.0037389599974355864;2.865429468128919e-14;0.35129166141149126;0.007847999999996701;0.00018472140903743264;0.0
25.0;56.799799237798595;0.07422078579004658;1.934670611531274e-12;0.004925519467861564;0.0;0.0016199999926965873;3.037176065090621e-14;0.32154251389843824;0.007847999999996358;0.0018330108704090677;0.0
26.0;56.799753704828824;0.06209591948634639;1.9346849912303572e-12;0.004925519467861543;0.0;0.0014766300014433442;3.037175603410102e-14;0.3057066698161261;0.007847999999996358;0.001719335789998997;0.0
27.0;56.7997183535289;0.0493375756201585;1.934696138100191e-12;0.00492551946786156;0.0;0.0011963699933409146;3.0371752455290366e-14;0.2917084337687085;0.00784799999999636;0.0005683754019892185;0.0
28.0;56.79968041948569;0.036862698114741604;1.934708114944078e-12;0.004925519467861559;0.0;0.000932310003850625;3.037174861005566e-14;0.27818890086163117;0.00784799999999636;0.00026997891248623103;0.0
29.0;56.7996616214782;0.0289446303484921;1.9347140524980845e-12;0.004925519467861564;0.0;0.0006560999972242309;3.037174670378886e-14;0.27172639432338946;0.00784799999999636;0.000269978912486231;0.0
30.0;56.7996550264702;0.02587107828959357;1.9347161419371833e-12;0.004925519467861545;0.0;0.0005710499916434937;3.0371746032970425e-14;0.2700740921442818;0.00784799999999636;0.0006536313145811444;0.0
31.0;56.79960170159249;0.020409439638066445;1.9347330821848386e-12;0.004925519467861564;0.0;0.00051759000265903;3.03717405943411e-14;0.2611485750813462;0.007847999999996358;0.0065221067441776056;0.0
32.0;56.79919732521113;0.08468476116183532;1.9348621592375045e-12;0.0049255194678615635;0.0;0.0005127299932629848;3.037169915768555e-14;0.2522539420919809;0.007847999999996358;0.08770031578656463;0.0
33.0;50.853191624325206;0.10406623661501059;0.171203400256267;0.004925519467861562;0.0;0.0005856299943639974;2.9777348444564795e-14;0.23285870145885437;0.007847999999995817;0.31344479521583624;0.0
34.0;50.85196325826939;0.10406623661501065;0.3710023707687799;0.004925519467861549;0.0;0.0007217100032931649;2.977722679870375e-14;0.20255363920717717;0.007847999999995818;0.5579882884827789;0.0
35.0;0.0008613972123530351;0.10406623661522972;0.4860817876165432;0.0049255194678615435;0.0;0.0008546926550527696;0.0;0.17850748361502597;0.0;0.715454289246082;0.0
36.0;0.0008614323547677257;0.10406623661522972;0.4860817876165432;0.004925519467861545;0.0;0.0008691962687019995;0.0;0.18108876639552746;0.0;0.7190240608439998;0.0
37.0;0.0008614347102208022;0.10406623661522972;0.4860817876165432;0.004925519467861552;0.0;0.0008700020333199036;0.0;0.18065093502810253;0.0;0.715639497411522;0.0
38.0;0.0008624358905456697;0.10406623661522972;0.4860817876165432;0.004925519467861571;0.0;0.0009892605551939503;0.0;0.17624267131594004;0.0;0.7152377481121782;0.0
39.0;0.0021791032463653144;0.10406623661522972;0.48608178761654314;0.004925519467861559;0.0;0.0010332473707594905;0.0;0.1809760950386894;0.0;0.7027658614352026;0.0
40.0;50.85199704695298;0.10406623661501063;0.3376249103908081;0.004925519467861557;0.0;0.00118259999843716;2.977723021726189e-14;0.18068766703097294;0.007847999999995818;0.5371004944460066;0.0
