scen_number;sensitivity;n_iter;walltime;PrimalResidual_ETS;PrimalResidual_MSR;PrimalResidual_EOM;PrimalResidual_REC;PrimalResidual_H2;PrimalResidual_H2CN_prod;PrimalResidual_H2CN_cap;DualResidual_ETS;DualResidual_EOM;DualResidual_REC;DualResidual_H2;DualResidual_H2CN_prod;DualResidual_H2CN_cap;Beta;EUA_2022;CumulativeEmissions;TotalCost
7;ref;10000;1676.163163;50.9167068;61.9928689;0.047803316;0.001067889;0.179366598;1.57E-05;0.00060986;22.88979135;0.046993135;0.001017957;0.185776651;8.05E-06;0.000325173;0.424254446;79.85831952;13156.69292;2.25E+06
7;ref;2531;460.1341021;21.88032557;1.552448177;0.188383885;0.418488945;3.203796702;0.00231701;0.010216429;43.17948403;0.198913877;0.636793454;3.17490092;0.002452714;0.010855686;0.424394031;79.84374499;13160.67635;2.25E+06
8;ref;6264;711.1263745;0.541328232;0.009519293;0.040366426;0.125178054;0.126194783;0.000361457;0.001725493;0.294679619;0.040578216;0.073118768;0.135653183;8.70E-05;0.000906303;0.424254446;83.58141541;13179.19451;2.20E+06
9;ref;6197;673.5105506;0.485907537;0.027181229;0.038996105;0.166481091;0.248843965;0.0043442;0.002101781;0.714482454;0.040348244;0.1061421;0.205721546;0.002482037;0.002261429;0.424254446;83.55882547;13176.69299;2.20E+06
10;ref;5188;609.0919337;0.640422942;0.008715342;0.041237117;0.077559412;0.249612977;0.00037461;0.00215652;0.404874363;0.035196778;0.049645719;0.160660894;8.98E-05;0.001128115;0.424254446;83.51656586;13181.24859;2.20E+06
11;ref;3271;370.46144;0.828796113;0.027144327;0.040191792;0.064917127;0.098613518;0.001318396;0.002933863;0.64152996;0.037893072;0.123487919;0.081806617;0.000670232;0.001490517;0.424254446;83.39656108;13192.13663;2.20E+06
12;ref;10000;1511.662775;0.574219667;0.024584508;0.036149089;0.405312191;0.001394665;1.57E-05;0.000313854;0.238404643;0.050624986;1.312739345;0.064445994;3.81E-06;0.000168018;0.424254446;83.45576148;13189.85245;2.20E+06
13;ref;3785;431.8798458;0.580020297;0.00670461;0.041134423;0.115158243;0.171211623;0.000871495;0.002175051;0.39391579;0.039503795;0.091332708;0.092206335;0.001914836;0.002307405;0.424254446;83.49738424;13180.83777;2.20E+06
14;ref;4461;505.1445132;0.64086612;0.011975064;0.040911374;0.165617202;0.036384118;0.001380119;0.015256401;0.601052732;0.041027749;0.103188633;0.061940848;0.003030524;0.019379237;0.424254446;83.83060095;13348.37807;2.14E+06
15;ref;4661;530.154774;0.578183125;0.006383669;0.04127724;0.253257346;0.031305713;0.005878501;0.01380995;0.330991908;0.03731713;0.132517005;0.015608191;0.007622486;0.029290839;0.424254446;83.82786466;13351.5291;2.14E+06
