scen_number;MSR;RES_target_2030;H2_demand_2030;H2_demand_2050;CNH2_cap_target_2024;CNH2_cap_target_2030;CNH2_demand_2024;CNH2_demand_2030;gamma;max_em_change;Additionality_pre_2030;Additionality_post_2030;H2_balance;ref_scen_number;sensitivity;remarks
22;YES;0.45;20;50;6;100;1;10;1;10;Hourly;Hourly;Hourly;1;NO;
23;YES;0.45;20;50;6;40;0;5.6;2;10;NA;NA;Yearly;22;NO;Used to calibrate MACC
24;YES;0.45;20;50;6;100;1;10;2;10;NA;NA;Yearly;22;YES;
25;YES;0.45;20;50;6;100;1;10;2;10;Yearly;Yearly;Yearly;22;YES;
26;YES;0.45;20;50;6;100;1;10;2;10;Monthly;Monthly;Yearly;22;YES;
27;YES;0.45;20;50;6;100;1;10;2;10;Daily;Daily;Yearly;22;YES;
28;YES;0.45;20;50;6;100;1;10;2;10;Hourly;Hourly;Yearly;22;YES;
29;YES;0.45;20;50;6;100;1;10;2;10;NA;NA;Monthly;22;YES;
30;YES;0.45;20;50;6;100;1;10;2;10;Yearly;Yearly;Monthly;22;YES;
31;YES;0.45;20;50;6;100;1;10;2;10;Monthly;Monthly;Monthly;22;YES;
32;YES;0.45;20;50;6;100;1;10;2;10;Daily;Daily;Monthly;22;YES;
33;YES;0.45;20;50;6;100;1;10;2;10;Hourly;Hourly;Monthly;22;YES;
34;YES;0.45;20;50;6;100;1;10;2;10;NA;NA;Daily;22;YES;
35;YES;0.45;20;50;6;100;1;10;2;10;Yearly;Yearly;Daily;22;YES;
36;YES;0.45;20;50;6;100;1;10;2;10;Monthly;Monthly;Daily;22;YES;
37;YES;0.45;20;50;6;100;1;10;2;10;Daily;Daily;Daily;22;YES;
38;YES;0.45;20;50;6;100;1;10;2;10;Hourly;Hourly;Daily;22;YES;
39;YES;0.45;20;50;6;100;1;10;2;10;NA;NA;Hourly;22;YES;
40;YES;0.45;20;50;6;100;1;10;2;10;Yearly;Yearly;Hourly;22;YES;
41;YES;0.45;20;50;6;100;1;10;2;10;Monthly;Monthly;Hourly;22;YES;
42;YES;0.45;20;50;6;100;1;10;2;10;Daily;Daily;Hourly;22;YES;
43;YES;0.45;20;50;6;100;1;10;2;10;Hourly;Hourly;Hourly;22;YES;
44;YES;0.45;20;50;6;40;0;5.6;3;10;NA;NA;Yearly;43;NO;Used to calibrate MACC
45;YES;0.45;20;50;6;100;1;10;3;10;NA;NA;Yearly;43;NO;
46;YES;0.45;20;50;6;100;1;10;3;10;Yearly;Yearly;Yearly;43;NO;
