scen_number;sensitivity;n_iter;walltime;PrimalResidual_ETS;PrimalResidual_MSR;PrimalResidual_EOM;PrimalResidual_REC;PrimalResidual_H2;PrimalResidual_H2CN_prod;PrimalResidual_H2CN_cap;DualResidual_ETS;DualResidual_EOM;DualResidual_REC;DualResidual_H2;DualResidual_H2CN_prod;DualResidual_H2CN_cap;Beta;Alpha;EUA_2022;CumulativeEmissions;TotalCost;PolicyCost
12;ref;50;0.0;364.6283571007641;0.0;3.5237471296639247;21.753263973977386;0.0;0.0;17.750589853537516;185.51292597627915;3.7816041243821426;11.607167000745548;0.0;0.0;9.159784281969516;1.131177920055935;1400000;155.6655115415304;19835.19592927508;1.8954833432597904e6;0.0
13;ref;50;0.0;246.47074036988198;0.0;2.0387114632154044;60.92541780662858;46524.28619497659;19562.846845250955;0.0;171.72097615091906;9.69028706819739;80.48308802363542;266.5680038497702;16.91211034004618;0.0;0.4421110679389235;1400000;114.49579942437114;19206.18617480125;1.1241666344816959e7;1.1303220782431103e10
14;ref;50;0.0;327.52014449120185;0.0;4.767285707652589;122.46946950445006;0.0;222.999426442871;0.0;176.2679138186795;5.284163752324731;92.84102578838424;0.0;130.86393224299144;0.0;0.5985695235455923;1400000;326.7549859379891;19512.624015597226;1.550082543496243e7;1.3358228129478756e8
15;ref;50;0.0;673.9174192160002;0.0;4.98604705242455;175.06952726305343;0.0;674.0826987331089;0.0;343.3949024532052;5.723168370867007;106.03884977228199;0.0;514.5841573416745;0.0;1.1785300243661458;1400000;480.03671461934067;21742.155321026057;1.5602724210296195e7;3.052038899301089e8
16;ref;50;0.0;664.8719421882402;0.0;8.60952444215817;103.98879999853632;0.0;308.147979208391;0.0;378.71946545912266;9.695427984412722;67.53913812518819;0.0;160.43189746996387;0.0;1.131177920055935;1400000;465.51286983814566;21728.337435450703;1.672134298419703e7;1.7950711771502846e8
17;ref;50;0.0;177.82828745398447;0.0;0.814698981444931;20.311325721709864;204.87990670105683;0.0;0.047603364867891955;84.22409587690694;1.6647922536054436;11.892391568423346;107.99554361873514;0.0;0.014940858313687121;0.4421110679389235;1400000;83.16164366016167;18724.011350353616;1.9858340924548712e6;0.0
18;ref;50;0.0;177.74854199467958;0.0;0.9153198969688006;19.202037384334712;0.0;0.0;0.0;94.04451516962354;1.6541078178348423;11.976905742022153;0.0;0.0;0.0;0.5985695235455923;1400000;85.00111619098226;18763.30820759554;1.9762484717832436e6;0.0
19;ref;50;0.0;373.42808398856965;0.0;2.9870924330712856;20.482486434067333;0.0;0.0;0.0;187.39066862438864;4.93931697424827;10.993568903866601;0.0;0.0;0.0;1.1785300243661458;1400000;162.04885449135227;19855.838070926748;2.0918674754002017e6;0.0
20;ref;50;0.0;364.66539280413207;0.0;3.603935103708288;19.808680397524455;0.0;0.0;0.0;185.45726298508106;4.881007275225496;12.177378689767528;0.0;0.0;0.0;1.131177920055935;1400000;155.6783107435114;19835.5499669789;1.9403079876867305e6;0.0
21;ref;50;0.0;289.2381230096862;0.0;1.4005527906314714;78.49026720696712;46523.686819211005;19563.405898473564;0.0;212.95292755741062;4.232759616276412;89.36411614803376;268.06854751056926;30.174424012699507;0.0;0.4421110679389235;1400000;122.45636953164477;19543.99643398467;1.3664831357312184e7;1.1304944990976349e10
22;ref;50;0.0;333.0953532078352;0.0;4.901925625331057;118.64321990746896;0.0;133.04519080467446;0.0;169.45812445501014;7.928710201788048;94.46791851168086;0.0;68.82351895848637;0.0;0.5985695235455923;1400000;324.4860141977514;19535.634002891853;1.876701668063924e7;1.3802978096500373e8
23;ref;50;0.0;676.9487006510615;0.0;4.976211274747974;157.40818929873618;0.0;464.2611641297882;0.0;355.3978685736676;11.359324819670238;103.03966935918938;0.0;505.7580105456925;0.0;1.1785300243661458;1400000;471.82199407282127;21792.123538060445;1.8877692705449376e7;3.118260443460362e8
24;ref;50;0.0;656.5551946164585;0.0;8.18563469163272;82.57517703958526;0.0;150.79388165448665;0.0;360.83699772768273;15.786969036218293;63.01542086396634;0.0;83.88600498505676;0.0;1.131177920055935;1400000;462.9234302365958;21680.541886770978;2.0404677016532235e7;1.8017722321585095e8
18;ref;50;0.0;177.74854199467958;0.0;0.9153198969688006;19.202037384334712;0.0;0.0;0.0;94.04451516962354;1.6541078178348423;11.976905742022153;0.0;0.0;0.0;0.5985695235455923;1400000;85.00111619098226;18763.30820759554;1.9762484717832436e6;0.0
19;ref;50;0.0;373.42808398856965;0.0;2.9870924330712856;20.482486434067333;0.0;0.0;0.0;187.39066862438864;4.93931697424827;10.993568903866601;0.0;0.0;0.0;1.1785300243661458;1400000;162.04885449135227;19855.838070926748;2.0918674754002017e6;0.0
20;ref;50;0.0;364.66539280413207;0.0;3.603935103708288;19.808680397524455;0.0;0.0;0.0;185.45726298508106;4.881007275225496;12.177378689767528;0.0;0.0;0.0;1.131177920055935;1400000;155.6783107435114;19835.5499669789;1.9403079876867305e6;0.0
21;ref;50;0.0;289.2381230096862;0.0;1.4005527906314714;78.49026720696712;46523.686819211005;19563.405898473564;0.0;212.95292755741062;4.232759616276412;89.36411614803376;268.06854751056926;30.174424012699507;0.0;0.4421110679389235;1400000;122.45636953164477;19543.99643398467;1.3664831357312184e7;1.1304944990976349e10
22;ref;50;0.0;333.0953532078352;0.0;4.901925625331057;118.64321990746896;0.0;133.04519080467446;0.0;169.45812445501014;7.928710201788048;94.46791851168086;0.0;68.82351895848637;0.0;0.5985695235455923;1400000;324.4860141977514;19535.634002891853;1.876701668063924e7;1.3802978096500373e8
23;ref;50;0.0;676.9487006510615;0.0;4.976211274747974;157.40818929873618;0.0;464.2611641297882;0.0;355.3978685736676;11.359324819670238;103.03966935918938;0.0;505.7580105456925;0.0;1.1785300243661458;1400000;471.82199407282127;21792.123538060445;1.8877692705449376e7;3.118260443460362e8
24;ref;50;0.0;656.5551946164585;0.0;8.18563469163272;82.57517703958526;0.0;150.79388165448665;0.0;360.83699772768273;15.786969036218293;63.01542086396634;0.0;83.88600498505676;0.0;1.131177920055935;1400000;462.9234302365958;21680.541886770978;2.0404677016532235e7;1.8017722321585095e8
25;ref;50;0.0;160.80249292617268;0.0;0.8174853628133755;19.806921617531213;204.14411497631124;0.0;0.0;97.0658910709724;1.7013683081109876;11.912802907138651;106.74671793271217;0.0;0.0;0.4421110679389235;1400000;82.76595608443724;18667.313197502044;1.9929993390154047e6;0.0
26;ref;50;0.0;177.35519842906226;0.0;0.936357314993195;18.886991977197958;0.0;0.0;0.0;93.64701500968556;1.705358708059449;12.025159630762293;0.0;0.0;0.0;0.5985695235455923;1400000;84.67422540941874;18759.068908330184;2.0012364662989872e6;0.0
27;ref;50;0.0;373.41280028644104;0.0;2.9816681147672;20.209435230769756;0.0;0.0;0.0;187.45738746257143;5.16496546788376;10.986097991322534;0.0;0.0;0.0;1.1785300243661458;1400000;162.03915154861113;19855.642925346034;2.106193439995946e6;0.0
28;ref;50;0.0;364.6600396463527;0.0;3.5325316900495807;20.29530925406752;0.0;0.0;0.0;185.5639851188292;4.8699444496572655;12.117563992485453;0.0;0.0;0.0;1.131177920055935;1400000;155.6767959953978;19835.453340948206;1.899708898557458e6;0.0
29;ref;50;0.0;148.25534735371008;0.0;0.8651953720467157;17.867497247648487;210.96335917898858;0.0;0.0;80.42274229876497;1.7202707215113646;11.595337643151941;107.41404211386055;0.0;0.0;0.4421110679389235;1400000;78.10666507601493;18543.36460053531;2.1476342488586083e6;0.0
30;ref;50;0.0;180.47839375731692;0.0;0.974758042157097;18.187959741838863;0.0;0.0;0.0;96.83283356721614;1.7269420153543504;12.99632456608511;0.0;0.0;0.0;0.5985695235455923;1400000;88.62745271760916;18780.643736928847;1.9090175074221492e6;0.0
31;ref;50;0.0;373.43660394543303;0.0;2.8554015011587124;21.711107991248703;0.0;0.0;0.0;187.3828281200129;4.706879448770788;10.956708710889911;0.0;0.0;0.0;1.1785300243661458;1400000;162.05184411235533;19855.96014420196;2.0168809535684462e6;0.0
32;ref;50;0.0;364.6653116113752;0.0;3.5955607077692973;19.759735799898817;0.0;0.0;0.0;185.45136770054128;4.760943553477469;12.183709643344494;0.0;0.0;0.0;1.131177920055935;1400000;155.67808895167641;19835.55117092013;1.9348475138411825e6;0.0
