scen_number;sensitivity;n_iter;walltime;PrimalResidual_ETS;PrimalResidual_MSR;PrimalResidual_EOM;PrimalResidual_REC;PrimalResidual_H2;PrimalResidual_H2CN_prod;PrimalResidual_H2CN_cap;DualResidual_ETS;DualResidual_EOM;DualResidual_REC;DualResidual_H2;DualResidual_H2CN_prod;DualResidual_H2CN_cap;Beta;Alpha;EUA_2022;CumulativeEmissions;TotalCost;PolicyCost
1;ref;50;0.0;179.19495351770465;0.0;0.8326521505956505;20.1489050533567;205.45319808099745;0.0;0.0;93.47780526173078;1.7148520355571797;11.778446921165472;108.71550275099226;0.0;0.0;0.4421110679389235;1400000;85.88355120877495;18734.821579110077;1.9856906270871232e6;0.0
2;ref;50;0.0;178.8767541340116;0.0;0.8964779355481759;18.963305473470168;0.0;0.0;0.0;96.50283382782473;1.597449991601645;11.93951385819102;0.0;0.0;0.0;0.5985695235455923;1400000;86.05185547378558;18772.43815649608;1.9764161848811656e6;0.0
3;ref;50;0.0;373.4124268559554;0.0;2.988465832146141;20.28306467346434;0.0;0.0;0.0;187.4158298544001;4.9572476805468835;10.832667712846698;0.0;0.0;0.0;1.1785300243661458;1400000;162.50609968899164;19857.663775794004;2.109581756809662e6;0.0
4;ref;50;0.0;367.1380227756877;0.0;3.5933978426073145;19.95260641416335;0.0;0.0;0.0;186.69434990575084;4.6719578228995085;12.555004873852505;0.0;0.0;0.0;1.131177920055935;1400000;155.957805752137;19855.770858544613;1.9379302957505225e6;0.0
5;ref;50;0.0;177.9480186052428;0.0;0.8147875828984562;20.30574023441884;205.01144703800315;0.0;0.0;84.36586286734334;1.6632529747472486;11.891458881343274;108.04714339861637;0.0;0.0;0.4421110679389235;1400000;83.16555012299168;18725.369956567618;1.9849648790721616e6;0.0
6;ref;50;0.0;177.75833619800954;0.0;0.9157750182729741;19.201840840258093;0.0;0.0;0.0;94.03058589935527;1.657512734214241;11.977716074332529;0.0;0.0;0.0;0.5985695235455923;1400000;84.99728818480982;18763.283747176163;1.9759736077018322e6;0.0
7;ref;50;0.0;373.4277869318108;0.0;2.986128957510518;20.48627597222364;0.0;0.0;0.0;187.3773272315533;4.9418584679304605;10.994127897746512;0.0;0.0;0.0;1.1785300243661458;1400000;162.04910575227348;19855.826540590773;2.09180998188646e6;0.0
8;ref;50;0.0;364.6638229609759;0.0;3.603764853612182;19.810696197463905;0.0;0.0;0.0;185.4495530992287;4.872548325411848;12.178968365392565;0.0;0.0;0.0;1.131177920055935;1400000;155.67570290713232;19835.526772148718;1.9401302370819673e6;0.0
9;ref;50;0.0;177.82931466382055;0.0;0.8147347171822537;20.311217891222054;204.8803981716174;0.0;0.35883682789045185;84.21984206999291;1.664792711570369;11.892402985406232;107.99595092065125;0.0;0.015151740778085001;0.4421110679389235;1400000;83.16206825780782;18724.01773508838;1.9858484667124075e6;0.0
10;ref;50;0.0;177.3929730476873;0.0;0.9156048605396011;19.181841250795774;0.0;0.0;2.845094040083229;93.61178967146161;1.6463650960495768;11.974038370950378;0.0;0.0;3.934766390187131;0.5985695235455923;1400000;85.00578255065776;18759.855139441683;1.978445307394368e6;0.0
11;ref;50;0.0;373.3529518555282;0.0;2.947300947073607;21.05808361474132;0.0;0.0;7.510291927074222;187.61558947299818;5.077653044346758;10.965414630391189;0.0;0.0;10.421231006223152;1.1785300243661458;1400000;162.00973459027102;19854.82765089128;2.10423918398408e6;0.0
