Hour;EOM_price;PROD_electrolysis_base;PROD_electrolysis_peak
1.0;58.96764824311315;1.3693872060438978e-11;0.07719047634991708
2.0;58.967464254668855;1.3695217256096294e-11;0.08355525030301285
3.0;58.967062066927085;1.369808201380671e-11;0.09136230544014178
4.0;58.96682499466771;1.3699771094899296e-11;0.09471572420697541
5.0;58.966193788967416;1.370426127284864e-11;0.10586843597732096
6.0;58.96577864292364;1.3707198228901964e-11;0.10393606136118132
7.0;58.965276893616405;1.371085194718524e-11;0.08812206321107142
8.0;58.96611541763957;1.370478988479711e-11;0.0574024461351732
9.0;58.968099381165345;1.3690906870968788e-11;0.037457205330985135
10.0;58.973545800242555;1.3652282313771021e-11;0.044636752655894354
11.0;58.97973502220261;1.360872595715987e-11;0.06919277888282516
12.0;58.98468546278452;1.3574083742661414e-11;0.07851659974212447
13.0;58.98370336952631;1.3581830408741376e-11;0.09583071875789563
14.0;58.983627739360664;1.358200059239691e-11;0.09502206056166672
15.0;58.98167157309615;1.3595163877072389e-11;0.08519911752522867
16.0;58.97754332592994;1.3624004165770056e-11;0.05214531153028142
17.0;58.97208266018532;1.3662676337617025e-11;0.02203942680903382
18.0;73.60901489006606;1.5448309867078592e-12;9.058520567997621e-14
19.0;58.95143663461886;1.3812589643131314e-11;0.01946958549633929
20.0;58.9657557733799;1.3708273904076125e-11;0.03485001471710845
21.0;58.96658525190341;1.3701336588933943e-11;0.05415548545533052
22.0;58.96602427484831;1.3705344352451317e-11;0.0782425879181832
23.0;58.96597049552462;1.3705662718000669e-11;0.09524222339525092
24.0;58.96619190841649;1.3704109489445743e-11;0.10479985407368632
25.0;187.2729779787367;2.1517263390857897e-13;1.1333643915596466e-14
26.0;186.70116111712144;2.1612255348327972e-13;1.1384418975031723e-14
27.0;202.29471467856533;1.9289514463612444e-13;1.0144759624019953e-14
28.0;207.58191521580667;1.8611366421845156e-13;9.783570620738249e-15
29.0;229.2740053498819;1.6265401237751528e-13;8.5366623818949e-15
30.0;256.58532952661756;1.403741555710381e-13;7.356151965374552e-15
31.0;236.30359979555658;1.5624939526075908e-13;8.196942790084322e-15
32.0;113.77226637565863;4.936647657181834e-13;2.6507967632832295e-14
33.0;59.0081978287603;1.4769189818508717e-11;0.02439850283641803
34.0;58.734572253977234;1.647962611467221e-11;0.11267881373166776
35.0;57.138021259789426;0.01714087187054793;0.11267881374612237
36.0;57.1397262149291;0.03815127771199011;0.1126788137461217
37.0;57.139097979621546;0.05373992184426297;0.11267881374612193
38.0;57.13747272514465;0.06595586370812596;0.1126788137461226
39.0;57.133545609179876;0.058604464884801755;0.11267881374612422
40.0;57.12850798728846;0.02105731769674945;0.11267881374612625
41.0;59.00358848816394;1.480393776560527e-11;0.06983870108797732
42.0;58.995497627992926;1.486525716066522e-11;0.010576340418911243
43.0;152.58015105015218;2.9321471875740365e-13;1.5527284882174184e-14
44.0;243.98291781667555;1.4984407154418523e-13;7.857482438091357e-15
45.0;249.5300701174865;1.4553128922617006e-13;7.629086623505526e-15
46.0;234.70113266657043;1.576889572824445e-13;8.273275501967968e-15
47.0;220.41341966966843;1.7149075960805475e-13;9.005877023279558e-15
48.0;201.40029914911457;1.9409928602874512e-13;1.0208928521245263e-14
49.0;57.08737235337547;0.0446110734553163;0.11267881374636445
50.0;57.08856218888889;0.03103053820008372;0.11267881374636411
51.0;57.08984993176309;0.022606765524060542;0.11267881374636377
52.0;57.09207298420061;0.00834860803356705;0.1126788137463631
53.0;57.43240946799041;6.563685757810974e-11;0.11267881374625288
54.0;58.97670916163395;1.061906092631698e-11;0.10374892230332815
55.0;57.096056993941964;0.0015407843808930561;0.11267881374636188
56.0;57.10544986415749;0.03954713597604472;0.11267881374635944
57.0;57.116078412699736;0.10371702216142054;0.11267881374635647
58.0;57.1226835679661;0.17219949517945662;0.11267881374635466
59.0;57.07973939401403;0.24045883717957298;0.11267881374636177
60.0;1.4946320469071654;0.30729351472801714;0.11267881374688665
61.0;0.05330501807957495;0.3072935147280265;0.11267881374688711
62.0;0.05216570373285715;0.3072935147280266;0.1126788137468871
63.0;0.0488082008025011;0.3072935147280265;0.1126788137468871
64.0;0.043750604559478254;0.3072935147280266;0.11267881374688711
65.0;57.00743374393502;0.2725048662969789;0.11267881374638818
66.0;57.10363623768609;0.1840080606968759;0.11267881374635996
67.0;57.09715605406816;0.08744990482233539;0.11267881374636175
68.0;57.11126709421701;0.0022643112676705946;0.11267881374635828
69.0;58.97558815295946;1.0626629170601276e-11;0.07673965285846153
70.0;58.976105559925585;1.0623692571743514e-11;0.07536779670145878
71.0;58.97582756463505;1.0625174123945014e-11;0.0853907432587235
72.0;58.97573843828237;1.0625608360832356e-11;0.09788985691816346
73.0;57.076222101044664;0.17646265274588996;0.11267881374633802
74.0;57.075771242461464;0.17991187539608577;0.11267881374633816
75.0;57.07536305431054;0.18797905837836026;0.11267881374633827
76.0;57.07606589475312;0.17726154974694774;0.11267881374633808
77.0;57.075852769120985;0.17151097790701492;0.11267881374633815
78.0;57.07596997818789;0.158067964453815;0.11267881374633812
79.0;57.07603892347149;0.15061426018876403;0.11267881374633808
80.0;57.07821300239965;0.15780859230516198;0.11267881374633748
81.0;57.08499000899164;0.18407277640851497;0.11267881374633552
82.0;57.09441984466162;0.2057581993572804;0.11267881374633279
83.0;57.10247373346136;0.21413339256966446;0.11267881374633043
84.0;57.106319818727435;0.23245034054527164;0.11267881374632926
85.0;57.10713300174842;0.2410648263252532;0.11267881374632902
86.0;57.10103525437381;0.22387638138341934;0.11267881374633085
87.0;57.094764901152786;0.18271368998822274;0.11267881374633268
88.0;57.0885748274578;0.14021165667453597;0.11267881374633447
89.0;57.08353669810334;0.11161272267778452;0.11267881374633591
90.0;57.08105066173352;0.103263999302789;0.11267881374633663
91.0;57.07909136367189;0.11331353070049749;0.11267881374633722
92.0;57.07852945090856;0.12494380046692828;0.11267881374633736
93.0;57.07826718236475;0.13397172607135038;0.11267881374633744
94.0;57.07801126897847;0.13641969445466395;0.11267881374633751
95.0;57.07710728600567;0.1437743253045066;0.11267881374633777
96.0;57.07740250487192;0.14355035208042785;0.1126788137463377
