Hour;EOM_price;PROD_SMR;PROD_SMRCCS;PROD_electrolysis_base;PROD_electrolysis_peak
1.0;112.5529463621087;0.0;0.0;-3.33994066748561e-14;-9.498025900347384e-14
2.0;112.57702127578958;0.0;0.0;-3.338104075433593e-14;-9.492242270148838e-14
3.0;112.46469491407387;0.0;0.0;-3.34586165924007e-14;-9.51667641794994e-14
4.0;112.49880685967103;0.0;0.0;-3.344267760981081e-14;-9.511655101235773e-14
5.0;112.22677449435332;0.0;0.0;-3.362951730568394e-14;-9.57054835572303e-14
6.0;112.52521310526524;0.0;0.0;-3.3414110410116376e-14;-9.502656761815044e-14
7.0;112.5406036596902;0.0;0.0;-3.3407271200439356e-14;-9.500502735305053e-14
8.0;123.01837891948387;0.0;0.0;-2.7532607514852936e-14;-7.684680086029065e-14
9.0;123.35216928738285;0.0;0.0;-2.7378767660160792e-14;-7.638034962015681e-14
10.0;123.15733892140838;0.0;0.0;-2.7468769744993647e-14;-7.665318604852775e-14
11.0;123.00947306924007;0.0;0.0;-2.7537581043896842e-14;-7.686188845335597e-14
12.0;122.99470738070852;0.0;0.0;-2.7544953969902022e-14;-7.688425567927103e-14
13.0;119.42070884976602;0.0;0.0;-2.930217932479037e-14;-8.224504437686815e-14
14.0;118.5275006301147;0.0;0.0;-2.977775519509089e-14;-8.37062029432848e-14
15.0;121.00144443658237;0.0;0.0;-2.849635932234897e-14;-7.977930416539065e-14
16.0;122.99814960991813;0.0;0.0;-2.7542629537140592e-14;-7.687720394131041e-14
17.0;123.72644549195675;0.0;0.0;-2.7209134057723473e-14;-7.586653606026324e-14
18.0;124.0226300123059;0.0;0.0;-2.7075340620334142e-14;-7.546166897236024e-14
19.0;123.70074503317112;0.0;0.0;-2.722104929043712e-14;-7.590260886518018e-14
20.0;123.73800766025279;0.0;0.0;-2.720553501887255e-14;-7.585564067354986e-14
21.0;123.00462006534366;0.0;0.0;-2.7539120770139036e-14;-7.686655943063152e-14
22.0;113.8161919378226;0.0;0.0;-3.2563556376506175e-14;-9.235499226901385e-14
23.0;112.5407801422356;0.0;0.0;-3.3407033438223975e-14;-9.500427853197472e-14
24.0;112.55137663315429;0.0;0.0;-3.339896858675931e-14;-9.497887933617349e-14
1.0;118.61828412206816;0.0;0.0;-3.2735119730269135e-14;-9.198244417787833e-14
2.0;118.04818785211442;0.0;0.0;-3.3077364030152855e-14;-9.303577936111122e-14
3.0;120.43249274786922;0.0;0.0;-3.1691928508669675e-14;-8.878458009566216e-14
4.0;120.84977397813697;0.0;0.0;-3.1461334914655794e-14;-8.808029211128506e-14
5.0;122.96886430505465;0.0;0.0;-3.034602308295551e-14;-8.468699715713452e-14
6.0;123.67878729178523;0.0;0.0;-2.998755231834245e-14;-8.360096252219687e-14
7.0;123.71381529971917;0.0;0.0;-2.997057452992236e-14;-8.354958131584643e-14
8.0;122.99871188945347;0.0;0.0;-3.033159501043044e-14;-8.464324232988839e-14
9.0;112.54359717963793;0.0;0.0;-3.678942690018024e-14;-1.0459577188401645e-13
10.0;112.52320295967469;0.0;0.0;-3.680400125787099e-14;-1.0464165298535379e-13
11.0;105.58140558376836;0.0;0.0;-4.2853050120434456e-14;-1.2402796857082095e-13
12.0;95.37879253931324;0.0;0.0;-5.6549693881125314e-14;-1.706096777032796e-13
