Hour;EOM_price;PROD_SMR;PROD_SMRCCS;PROD_electrolysis_base;PROD_electrolysis_peak
1.0;112.73127274924467;0.0;0.0;-1.4047871320807275e-14;-6.378943278270342e-14
2.0;112.70189959404263;0.0;0.0;-1.4056518792023797e-14;-6.383321369914853e-14
3.0;112.61918861304741;0.0;0.0;-1.4081975095370134e-14;-6.396213217251831e-14
4.0;112.658985771307;0.0;0.0;-1.4072285596662679e-14;-6.391305511743649e-14
5.0;112.58868743417375;0.0;0.0;-1.4083987917353924e-14;-6.397232806239783e-14
6.0;112.65512278308283;0.0;0.0;-1.4070990509730207e-14;-6.390649614002859e-14
7.0;112.73095975574103;0.0;0.0;-1.404827805466182e-14;-6.379149187617735e-14
8.0;123.27529944998741;0.0;0.0;-1.1570438445202151e-14;-5.1502953363911734e-14
9.0;123.80418064712966;0.0;0.0;-1.1467945914224646e-14;-5.100544476947728e-14
10.0;123.58267499420938;0.0;0.0;-1.1510584866081946e-14;-5.121231632119463e-14
11.0;123.28695762587371;0.0;0.0;-1.1567961780537605e-14;-5.149092148907263e-14
12.0;123.28755331270987;0.0;0.0;-1.15678136115065e-14;-5.149020168525522e-14
13.0;119.52522995179609;0.0;0.0;-1.2344536459063598e-14;-5.528781112401919e-14
14.0;118.61079127760645;0.0;0.0;-1.2549637014271734e-14;-5.629877964344478e-14
15.0;121.20395296850599;0.0;0.0;-1.198473634334167e-14;-5.352258740045059e-14
16.0;123.29116274092098;0.0;0.0;-1.156691470494247e-14;-5.148583484293455e-14
17.0;123.9740566631881;0.0;0.0;-1.1436412032031857e-14;-5.085254511705287e-14
18.0;124.39493810021689;0.0;0.0;-1.1356454976273818e-14;-5.046520949566623e-14
19.0;123.97531962761303;0.0;0.0;-1.1436089049267548e-14;-5.085097946761712e-14
20.0;123.92042182329622;0.0;0.0;-1.1446981979616357e-14;-5.090378722037608e-14
21.0;123.2965679489892;0.0;0.0;-1.1566021397392453e-14;-5.148149526441983e-14
22.0;114.1008626907713;0.0;0.0;-1.3668794796906109e-14;-6.187643880367592e-14
23.0;112.72919101780928;0.0;0.0;-1.4048814432826698e-14;-6.379420731649055e-14
24.0;112.73770644418623;0.0;0.0;-1.4046776281072378e-14;-6.378388920481417e-14
1.0;118.99823852282276;0.0;0.0;-1.3721861118792434e-14;-6.15338305865923e-14
2.0;118.20096506568122;0.0;0.0;-1.392214804121413e-14;-6.252401598181193e-14
3.0;120.94381931903168;0.0;0.0;-1.325644687864891e-14;-5.924444849626259e-14
4.0;121.37782383010999;0.0;0.0;-1.3156901771821422e-14;-5.875686966831675e-14
5.0;123.28038045162602;0.0;0.0;-1.2740698616401742e-14;-5.672618496012428e-14
6.0;123.99455097037743;0.0;0.0;-1.2589776227698821e-14;-5.599296228722247e-14
7.0;123.95497161927;0.0;0.0;-1.2597990799748587e-14;-5.60328281326979e-14
8.0;123.2790474384836;0.0;0.0;-1.274057770583252e-14;-5.672559687654923e-14
9.0;112.71531915415686;0.0;0.0;-1.5475107099887642e-14;-7.029693380241548e-14
10.0;112.650116110129;0.0;0.0;-1.5496869151922934e-14;-7.040700440899402e-14
11.0;105.91829122496947;0.0;0.0;-1.7951415854725937e-14;-8.305233045507021e-14
12.0;95.46056716047036;0.0;0.0;-2.3832264022546485e-14;-1.1528043915780741e-13
13.0;84.98133032742346;0.0;0.0;-3.547757856947395e-14;-1.8772598931452342e-13
14.0;75.39686042579689;0.0;0.0;-6.414281295929262e-14;-4.407312333296944e-13
15.0;76.10543180533708;0.0;0.0;-6.052068210007592e-14;-4.001934528303472e-13
16.0;96.55730320885759;0.0;0.0;-2.3038203189039797e-14;-1.1076500618472996e-13
17.0;112.73824266276033;0.0;0.0;-1.5468433534980053e-14;-7.026318657677432e-14
18.0;113.06902064597342;0.0;0.0;-1.5367143241473786e-14;-6.975138532586741e-14
19.0;123.2772163506408;0.0;0.0;-1.2741016846936237e-14;-5.6727732771621764e-14
20.0;123.98427250297013;0.0;0.0;-1.2591783711902274e-14;-5.6002704282302426e-14
21.0;123.96579066981305;0.0;0.0;-1.2595867978288052e-14;-5.60225254720534e-14
22.0;123.97437136010608;0.0;0.0;-1.2593915731194651e-14;-5.6013050947949814e-14
23.0;123.4530905684718;0.0;0.0;-1.2703278720427527e-14;-5.6544233525373026e-14
24.0;123.32700969877813;0.0;0.0;-1.272988391906134e-14;-5.667358877934675e-14
1.0;38.27033438159044;0.0;0.0;-0.003130769230747841;-0.0029071428570695097
2.0;43.084369287524765;0.0;0.0;-0.0031307692307428153;-0.002907142857055556
3.0;41.92333914539561;0.0;0.0;-0.003130769230744231;-0.002907142857059383
4.0;50.009602821866224;0.0;0.0;-0.0031307692307293057;-0.002907142857022691
5.0;51.256186407954516;0.0;0.0;-0.0031307692307252586;-0.002907142857013987
6.0;63.352002040628875;0.0;0.0;-0.003130769227494445;-0.002907142856711369
7.0;70.23426740243455;0.0;0.0;-8.018107327870579e-14;-1.217579629980963e-12
8.0;64.34823853997958;0.0;0.0;-6.470347909500559e-13;-0.0029071428566061095
9.0;42.860073218258066;0.0;0.0;-0.0031307692307431176;-0.0029071428570563657
10.0;9.98614050439396;0.0;0.0;-0.003130769230759106;-0.0029071428571049557
11.0;4.492494865501602;0.0;0.0;-0.0031307692307600446;-0.0029071428571081997
12.0;-0.00020167082105198225;0.0;0.0;-0.0031307692307606877;-0.0029071428571104518
13.0;5.4192872234274745e-6;0.0;0.0;-0.0031307692307606873;-0.0029071428571104513
14.0;4.52150079223305e-7;0.0;0.0;-0.0031307692307606873;-0.0029071428571104513
15.0;1.455366263933002e-7;0.0;0.0;-0.0031307692307606873;-0.0029071428571104513
16.0;-1.123002068563908e-6;0.0;0.0;-0.0031307692307606873;-0.0029071428571104513
17.0;-4.534946668001615e-5;0.0;0.0;-0.0031307692307606873;-0.0029071428571104518
18.0;10.025810038319106;0.0;0.0;-0.003130769230759098;-0.0029071428571049284
19.0;37.95077831094577;0.0;0.0;-0.003130769230748113;-0.002907142857070295
20.0;71.7077639132901;0.0;0.0;-6.575072503201025e-14;-6.610196636431032e-13
21.0;88.32072728428665;0.0;0.0;-2.1705761104335465e-14;-1.1072929123235026e-13
22.0;87.98435245230745;0.0;0.0;-2.200373616241961e-14;-1.1263233718196666e-13
23.0;82.47596031053122;0.0;0.0;-2.83969865366224e-14;-1.5662784602705746e-13
24.0;67.28788804051015;0.0;0.0;-1.4269303346305065e-13;-0.0029071428551356894
1.0;10.032965508249008;0.0;0.0;-0.0031307692307585423;-0.002907142857102849
2.0;10.026749770234;0.0;0.0;-0.0031307692307585436;-0.0029071428571028532
3.0;9.903691212513701;0.0;0.0;-0.003130769230758568;-0.002907142857102937
4.0;10.03089663247937;0.0;0.0;-0.003130769230758543;-0.0029071428571028506
5.0;10.021573274420234;0.0;0.0;-0.0031307692307585445;-0.0029071428571028567
6.0;10.016219780315048;0.0;0.0;-0.0031307692307585458;-0.002907142857102861
7.0;10.069478406568336;0.0;0.0;-0.003130769230758536;-0.002907142857102826
8.0;9.97581915776822;0.0;0.0;-0.0031307692307585523;-0.002907142857102883
9.0;9.988340803586688;0.0;0.0;-0.003130769230758551;-0.002907142857102878
10.0;10.005237942526957;0.0;0.0;-0.003130769230758548;-0.0029071428571028684
11.0;10.00626568755878;0.0;0.0;-0.003130769230758548;-0.0029071428571028684
12.0;9.66950582336747;0.0;0.0;-0.0031307692307586147;-0.0029071428571030965
13.0;7.827165419133419;0.0;0.0;-0.0031307692307589647;-0.002907142857104302
14.0;9.62937272150754;0.0;0.0;-0.0031307692307586225;-0.0029071428571031234
15.0;9.953902304184794;0.0;0.0;-0.003130769230758559;-0.0029071428571029066
16.0;24.659827756908225;0.0;0.0;-0.003130769230754552;-0.0029071428570895566
17.0;44.29885548823711;0.0;0.0;-0.0031307692307396178;-0.0029071428570461304
18.0;48.9937179495468;0.0;0.0;-0.003130769230730061;-0.002907142857022729
19.0;44.18183753352377;0.0;0.0;-0.003130769230739796;-0.002907142857046596
20.0;34.572763334749155;0.0;0.0;-0.003130769230749546;-0.002907142857073941
21.0;25.167497598663427;0.0;0.0;-0.0031307692307543577;-0.0029071428570889286
22.0;17.288468442329368;0.0;0.0;-0.0031307692307568817;-0.0029071428570972206
23.0;9.897748404243654;0.0;0.0;-0.0031307692307585696;-0.0029071428571029417
24.0;10.049798491543005;0.0;0.0;-0.0031307692307585384;-0.0029071428571028363
