Year;EOM_avg;REC_y;ADD_CAP_Biomass;ADD_CAP_SPP_lignite;ADD_CAP_Solar;ADD_CAP_ICE;ADD_CAP_WindOffshore;ADD_CAP_WindOnshore;ADD_CAP_Nuclear;ADD_CAP_CCGT_old;ADD_CAP_CCGT_new;ADD_CAP_SPP_coal;ADD_CAP_OCGT;CAP_Biomass;CAP_SPP_lignite;CAP_Solar;CAP_ICE;CAP_WindOffshore;CAP_WindOnshore;CAP_Nuclear;CAP_CCGT_old;CAP_CCGT_new;CAP_SPP_coal;CAP_OCGT;FS_Biomass;FS_SPP_lignite;FS_Solar;FS_ICE;FS_WindOffshore;FS_WindOnshore;FS_Nuclear;FS_CCGT_old;FS_CCGT_new;FS_SPP_coal;FS_OCGT
2021.0;170.46698534391575;2.960343587103165e-10;9.783366323666521e-14;0.0;55.419999999999575;2.970333053413038e-14;6.353999999998344;82.43499999999995;7.55127369297752e-15;0.0;1.720203135315755e-13;1.0370618737156291e-12;1.2231332621457782e-13;12.6;24.35;110.84;14.407499999999999;12.708;164.87;78.48;59.5;90.0;22.470000000000002;11.39;110.37599999999975;211.72974765210623;137.34215934290341;1.2281896770354423e-12;46.29264014459302;354.4815821335945;687.4847999999996;1.3539944510264383;435.94789070941164;196.83719998938764;6.744731459275102e-12
2022.0;256.30239717584345;2.2820213516363514e-9;7.087122372529729e-14;0.0;83.12999999999815;3.156430170940789e-14;6.353999999994711;123.65249999999982;7.086799952011805e-15;0.0;1.7727459431676507e-13;1.0780506131006444e-12;1.2381386408635416e-13;12.6;24.35;166.2599999999996;14.407500000000029;12.708;247.30499999999995;78.48;59.5;90.0;22.470000000000002;11.390000000000123;110.37599999999975;197.12159729584698;206.0132390141924;3.674447862538368e-10;46.29264014459302;531.7223732003472;687.4847999999996;8.289416165914394e-13;248.61032240396474;194.40756047328665;0.0
2023.0;131.98672986963996;8.822008653446496e-10;5.585019651816953e-14;0.0;88.27233252696138;3.340006702823858e-14;9.034956253296673e-11;185.47874999999777;6.734711926928632e-15;0.0;1.7820340346381208e-13;1.1613559128671788e-12;1.2537024684445302e-13;11.76;23.863;242.00066666666442;12.96675000000006;18.355999999998343;359.9661666666664;74.556;55.533333333333324;85.5;20.971999999999998;10.251000000000246;96.0293248473893;122.89590920949277;299.86371456488746;0.0;66.86714687288018;773.9514543248908;650.6344328964998;8.172519660645104e-11;110.6202719390126;145.4219054217767;0.0
2024.0;78.2937465968973;1.3661871057158052e-10;7.290023984016661e-14;0.0;37.610887164370155;4.0644385765447315e-14;6.711492350815547e-11;124.08580519255402;8.353371966021965e-15;0.0;2.5519575979294435e-13;1.4868040783920645e-12;1.548025050701623e-13;10.92;23.376;322.88366586029247;11.526000000000094;24.003999999993056;534.4535833333309;70.632;51.56666666666667;81.00000000000017;19.474;9.112000000000371;70.01240925609825;0.4033799459910803;400.08606897924824;0.0;87.44165359872694;1149.1111287493716;579.150157168722;1.2165100889942145e-10;161.40885700297247;3.4574073802465786;0.0
2025.0;67.20002987829858;1.1680794288464423e-10;9.772532053353322e-14;0.0;21.487325617912493;5.0085406994238606e-14;5.165623853486462e-11;47.7907903836563;1.0576186295536031e-14;0.0;3.877886069861004e-13;1.9425198168838767e-12;1.960063018809263e-13;10.08;22.889;353.1052196913293;10.085250000000133;23.298000000083405;647.5480551925516;66.708;47.6;76.50000000000036;17.976000000000003;7.973000000000526;60.376276679038476;0.26861387181728735;437.53368231237465;0.0;84.86984025723059;1392.2718451636138;546.3090857284297;1.0893289312559695e-10;116.06309501657567;2.8187656863799857;3.839432117925472e-11
2026.0;67.65160927526033;2.2997097589179806e-10;1.3370974763854284e-13;0.0;20.883930722413105;6.439246897839747e-14;4.146388857020522e-11;47.36302575816741;1.3731526524682342e-14;0.0;6.471240202700606e-13;2.9493575295038337e-12;2.583212156858594e-13;9.240000000000096;22.402;367.20321197590846;8.644500000000184;22.592000000150517;684.3475122428745;62.784000000000006;43.633333333333326;72.00000000000053;16.478;6.834000000000721;46.91426779679911;1.193975460403239;455.0025446612228;0.0;82.29802691518951;1471.393151385781;509.294702147546;1.551161986151028e-10;120.44077331479008;5.628560772662954;4.38067128306025e-11
2027.0;68.48261210623748;1.1172578075247579e-9;1.9118512196894177e-13;0.0;25.413580691668187;8.699426528968868e-14;3.646059557975679e-11;40.84005664223481;1.833641834999421e-14;0.0;1.3080352832055516e-12;4.490735244382156e-12;3.628711120780574e-13;8.400000000000169;21.915000000000003;380.6978093649882;7.203750000000249;21.886000000202174;720.7192046677085;58.86;39.666666666666664;67.50000000000078;14.98;5.695000000000981;35.5334332897216;3.759051971754145;471.68549359394405;0.0;79.72024014114716;1549.5249484577769;472.9794992949466;0.19016409894606615;123.63415692399025;8.038960228375295;5.4397566968105246e-11
2028.0;69.28152094897536;2.470134361640152e-7;2.802764325583629e-13;0.0;24.99343714816288;1.26255329840331e-13;3.169941682227784e-11;54.46140603933526;2.545180195005758e-14;0.0;1.5802599860870484e-11;5.120946409828738e-11;5.73041331548745e-13;7.560000000000224;21.428;398.7220567233231;5.7630000000003365;21.180000000243638;750.56792797661;54.93599999999999;35.699999999999996;63.00000000000117;13.482000000000001;4.556000000001344;28.796018482748305;0.053776961584785704;493.94129426811276;0.0;77.03059549350664;1613.235477459554;439.21953615705377;19.349519992225346;126.4672928268688;0.9860832753700574;6.538660831593444e-11
2029.0;70.07682045047532;1.6076283859110476e-7;4.475880057534105e-13;0.0;25.816749331946657;2.519970206383712e-13;2.921430170088876e-11;135.73120172159184;3.651953187593446e-14;0.0;7.179047834198844;2.0240379677990873e-9;1.2058489902742329e-12;6.720000000000297;20.941000000000003;416.3261605381526;4.322250000000462;20.4740000002801;794.0380006826119;51.012;31.733333333333334;58.50000000000182;11.98400000000104;3.417000000001916;23.433426054348786;0.9677419480030964;515.6435739772289;0.0;74.40703204616237;1704.690939525744;397.1172639776287;24.188331229986865;123.24486885854478;3.3181107587174097;8.379079487785402e-11
2030.0;70.91740527266901;1.6453646532747266e-7;9.668720262891067e-13;0.0;2.1234334413976776e-10;5.031482278209788e-13;2.7879059957298932e-11;24.67271852630382;5.851225600503722e-14;0.0;6.641898262608522;3.162354217895784e-10;0.1672590880354744;5.880000000000395;20.454;434.7535765367659;2.881500000000715;19.768000000311797;918.7778690708705;47.088;27.766666666666662;54.000000000003126;10.486000000002115;2.2780000000031224;36.243866619239434;1.2848901490782465;537.3201224239364;1.0945267757397244e-12;70.79339196105586;1941.2286711477016;325.7173724655225;20.23819935759276;100.82538782034564;3.783250389778937;1.1401447889256522e-10
