Year;ADD_CAP_SMR;ADD_CAP_electrolysis;ADD_CAP_SMRCCS;CAP_SMR;CAP_electrolysis;CAP_SMRCCS;PROD_SMR;PROD_electrolysis;PROD_SMRCCS;CN_CAP_electrolysis;CN_PROD_electrolysis;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;1.0989236021644736e-12;0.6749999999997228;1.749999999999975;70.0;0.135;0.35;9.9064289057279;4.3125207540064015e-11;0.09290909090039705;0.0;0.0;4.382539210076513;0.0;0.0
2022.0;9.427391187423552e-13;4.049999999996941;1.7499999999999512;70.0;0.8099999999997228;0.35;11.074109026369571;0.03630865856003646;5.134721871893941e-10;0.0;0.0;7.462539291658164;0.0;0.0
2023.0;9.575186805231227e-13;24.29999999997223;10.499999999999503;65.33333333333442;4.850999999996664;2.0766666666666413;11.528379796192157;0.14189387455395172;0.551260606051743;0.0;0.0;4.382539126072472;0.0;0.0
2024.0;1.2204398440212843e-12;27.43295965252704;19.13333333333242;60.66666666666871;29.141999999968892;3.8033333333332595;9.343759352232766;2.978760408951418;1.009612121206198;6.000078805232246;1.0000000008964576;3.210395474651218;4.6209513385109136e-8;0.00233054428993064
2025.0;1.4784324179862839e-12;3.3052150721743554;6.385573579232808;56.000000000003;56.56595965249593;14.279999999999427;5.036667548839338;6.153720809062603;3.254874176220982;6.000117680072391;1.000000006832328;2.8239585952210775;3.887696432276533e-7;0.003829568807838456
2026.0;1.934412377912534e-12;3.1520681953438916;4.411623778372709;51.33333333333755;59.86217472467028;33.389999999998516;1.6910730726273833;6.588545062111289;7.2768280040190865;6.000168855918637;1.0000000004815972;2.8265028865984183;3.02400140896899e-8;0.006046359597976933
2027.0;2.718903416661122e-12;3.979548097295568;1.3281105635677208;46.66666666667236;63.00524292001418;39.752240245897994;1.178311933203547;6.87841875140066;8.610267115404142;6.000233411699499;1.000000000231493;2.6854045744219537;1.6035353641996305e-8;0.009196411805304464
2028.0;3.6364276994363564e-12;6.944349356777575;0.4365026804568467;42.00000000000763;66.97579101730975;44.14053069093737;0.9813716176403915;7.393402750371403;9.404042100205473;6.0002690306085755;1.0000000022759692;2.638392730223279;1.7387250718631516e-7;0.011662834687923668
2029.0;1.4658260912477546e-11;26.078964228962427;0.22734525814956913;37.33333333334369;73.91114037408732;45.445307921171754;0.9504165601124851;8.377259118565703;9.562221187411508;6.000010638417438;1.0000000085715062;2.592482525051404;7.220035813280775e-7;0.000507429237192337
2030.0;6.33413122254961e-11;0.05473058990814502;5.299716615587356;32.666666666680655;99.98110460304976;45.85847726829527;0.6212421952495877;10.648227091307495;8.731025359294305;99.98110460298213;10.000000007712993;2.48100145172601;7.161856428197541e-7;26.575063046037045
2031.0;5.4954268195845475e-9;3.6749021749208534e-9;1.440319401639802e-12;28.000000000028646;100.0268351929579;46.0624891931115;0.949300501753851;11.356519469705011;9.204187667477767;100.0268351891945;10.000000007240605;2.5220864690741767;7.409872976074207e-7;5.525908463365137
2032.0;1.5835863143260667e-11;10.512475207092464;2.6906096240436675e-13;23.33333333342532;100.0178351966328;51.33887247536553;0.9919504069681621;12.274253714019611;9.731737703188145;100.01783519233527;10.000000006862688;2.596816208987018;7.738995383712511e-7;1.6324488364556018
2033.0;8.74989316955223e-12;40.104327430432356;1.5951727826332703e-13;18.66666667225408;110.52131040372527;51.315539142033636;0.8697918905334318;14.231206159221719;9.402975117060686;100.00671440273605;10.00000000653974;2.874586292533644;8.125180350821526e-7;0.46925039675610164
2034.0;5.985371145788612e-12;26.205739506038817;1.2906423183776804e-13;14.00000000560325;150.61663783415761;51.29220580870057;0.5298410248131984;17.23757857814239;8.233978166367839;100.00484727299097;10.000000006277832;2.8400440289173368;8.59209827208051e-7;0.3726933029681521
2035.0;5.6306939299870816e-12;30.968983357733805;1.1423601111834407e-13;9.333333338945334;176.81337734019644;51.268872475367395;0.30321563313646427;19.1375743511466;8.059985886330482;100.00382923663766;10.00000000851994;2.7113629739768395;1.2843451066797737e-6;0.3239047475517509
2036.0;5.3358998526453634e-12;29.58510186987535;9.762085317654786e-14;4.666666672284652;207.77336069793023;51.24553914203419;0.15160781667340403;21.458178930398695;7.390243798160978;100.00328017707555;10.000000008276594;2.6031823857965324;1.3739894056695155e-6;0.3052446637608656
2037.0;6.919917222566732e-12;26.09002125418861;9.614619995273113e-14;5.623616011268557e-9;236.67446256780588;51.22220580870097;2.3857781357488056e-10;23.515824610496114;6.981695417311107;100.00295314009976;10.00000000927852;2.7604418684699947;1.6959800916036933e-6;0.3023261376568824
2038.0;9.052419306908064e-12;45.996459350787575;1.0725284879158849e-13;5.6289519111212025e-9;258.71448382199753;51.22220580870107;1.3387278368825946e-10;25.33798200614001;6.662586291584431;100.00267640200458;10.000000012937942;2.6579873612840057;2.603395643890289e-6;0.3014251298568188
2039.0;1.1844654022306418e-11;49.96237705871474;1.2586060940150096e-13;5.635871828343769e-9;280.4109431728129;51.22220580870117;6.551118901473913e-11;27.14695646465376;6.359362205190177;100.00241269460665;10.000000055246035;2.3332958313453216;1.2240652333324771e-5;0.29892548385891565
2040.0;1.5555449833583558e-11;12.311032196259832;1.4366769913009662e-13;5.644924247650677e-9;302.9403605790006;51.222205808701275;5.579233949407771e-11;29.970084179182358;5.029072889160319;100.00215500251356;10.000000082435873;2.2296036750699963;2.0103179212961034e-5;0.29372250395822214
