,Period_type,Period_index,Period_weight,Period_start,Period_end
0,Day,10.0,40.57894736842105,2015-01-11 00:00:00,2015-01-11 23:00:00
1,Day,104.0,60.50963829326404,2015-04-15 00:00:00,2015-04-15 23:00:00
2,Day,218.0,111.49664284167214,2015-08-07 00:00:00,2015-08-07 23:00:00
3,Day,305.0,152.41477149664277,2015-11-02 00:00:00,2015-11-02 23:00:00
