Datetime;LOAD;WIND_ONSHORE;WIND_OFFSHORE;SOLAR;OTHER
1-1-2021 00:00;277334;0.110867073;0.069985836;0.000107183;68497
1-1-2021 01:00;277225;0.135869348;0.077889518;9.81E-05;68063
1-1-2021 02:00;269501;0.131906105;0.072471671;0.000107183;65729
1-1-2021 03:00;268863;0.131775089;0.069029745;9.81E-05;67951
1-1-2021 04:00;270346;0.134018743;0.069858357;9.81E-05;70308
1-1-2021 05:00;270096;0.135290693;0.071770538;9.81E-05;69844
1-1-2021 06:00;274320;0.135296151;0.086239377;0.000205433;72068
1-1-2021 07:00;277096;0.135214267;0.071069405;0.003885365;74520
1-1-2021 08:00;282057;0.135940315;0.066352691;0.023455102;75050
1-1-2021 09:00;290185;0.134777545;0.062273372;0.067524969;76297
1-1-2021 10:00;299158;0.131584023;0.071770538;0.124992647;76441
1-1-2021 11:00;305720;0.129678828;0.080120397;0.167320799;75349
1-1-2021 12:00;309428;0.131316531;0.089872521;0.187292469;74879
1-1-2021 13:00;307925;0.13431353;0.097839943;0.173582042;74907
1-1-2021 14:00;306104;0.137550723;0.101983003;0.130512545;77174
1-1-2021 15:00;304062;0.138746247;0.090191219;0.075438609;78376
1-1-2021 16:00;308199;0.137823674;0.094525496;0.029671686;82061
1-1-2021 17:00;314355;0.138691657;0.097011331;0.00881576;85871
1-1-2021 18:00;320381;0.141426622;0.080949009;0.000741345;90957
1-1-2021 19:00;320427;0.145482667;0.079865439;0.000526981;89641
1-1-2021 20:00;315951;0.146126831;0.090637394;0.000518049;85966
1-1-2021 21:00;308436;0.148277682;0.070113315;0.000518049;80324
1-1-2021 22:00;303377;0.146181421;0.097839943;0.000535913;77300
1-1-2021 23:00;293062;0.14630152;0.092868272;0.000535913;71773
2-1-2021 00:00;283067;0.144576472;0.06851983;0.000535913;68908
2-1-2021 01:00;277740;0.144843963;0.046912181;0.000491253;68938
2-1-2021 02:00;276521;0.143326358;0.03888102;0.000133978;70004
2-1-2021 03:00;278631;0.144019652;0.033654391;8.93E-05;73448
2-1-2021 04:00;280655;0.145848422;0.033463173;8.93E-05;75345
2-1-2021 05:00;280450;0.148359567;0.034546742;8.93E-05;73481
2-1-2021 06:00;279050;0.149718861;0.047167139;8.93E-05;69733
2-1-2021 07:00;286532;0.149549631;0.057365439;0.003099361;70412
2-1-2021 08:00;299671;0.148577927;0.048505666;0.016979493;74629
2-1-2021 09:00;313061;0.147338732;0.039582153;0.056002851;77029
2-1-2021 10:00;323084;0.145378947;0.036267705;0.110603398;78403
2-1-2021 11:00;329355;0.144663816;0.023392351;0.146536327;78521
2-1-2021 12:00;334638;0.14491493;0.034228045;0.158138832;80489
2-1-2021 13:00;332712;0.140438541;0.02562323;0.147331265;79786
2-1-2021 14:00;328758;0.14370303;0.023137394;0.118231218;79016
2-1-2021 15:00;327718;0.147087617;0.031168555;0.079386497;79962
2-1-2021 16:00;333410;0.147764534;0.049461756;0.043551819;87084
2-1-2021 17:00;342432;0.150936221;0.066288952;0.016452512;95165
2-1-2021 18:00;349884;0.155947594;0.088470255;0.002152582;103236
2-1-2021 19:00;347140;0.162973342;0.108038244;0.000384071;100022
2-1-2021 20:00;338162;0.16409244;0.125056657;0.000178637;93075
2-1-2021 21:00;326591;0.164856701;0.130474504;0.000178637;83865
2-1-2021 22:00;317525;0.167482486;0.129263456;0.000187569;77393
2-1-2021 23:00;308134;0.173454645;0.174645893;0.000196502;72909
3-1-2021 00:00;294469;0.181785097;0.206834278;0.000196502;69815
3-1-2021 01:00;283918;0.189231189;0.205177054;0.000196502;66907
3-1-2021 02:00;282598;0.196420708;0.231883853;0.000196502;67712
3-1-2021 03:00;286262;0.198418706;0.257188386;0.000187569;71965
3-1-2021 04:00;287929;0.201775999;0.296770538;0.000187569;74119
3-1-2021 05:00;289344;0.209085616;0.346805949;0.000187569;73997
3-1-2021 06:00;292600;0.217776362;0.398753541;0.000187569;73962
3-1-2021 07:00;294619;0.222973342;0.430240793;0.001589873;73052
3-1-2021 08:00;298538;0.225206078;0.459305949;0.012951218;72454
3-1-2021 09:00;310308;0.228858157;0.468675637;0.045802651;72749
3-1-2021 10:00;318019;0.220915294;0.52361898;0.098572163;72093
3-1-2021 11:00;329027;0.223453735;0.529164306;0.138444049;74309
3-1-2021 12:00;335083;0.234568283;0.523682719;0.148903275;75613
3-1-2021 13:00;331536;0.246174143;0.484737961;0.138703074;73062
3-1-2021 14:00;328001;0.251332908;0.500035411;0.116025045;73455
3-1-2021 15:00;328752;0.254821217;0.525594901;0.083852435;76000
3-1-2021 16:00;332174;0.259286689;0.557847025;0.048794829;79312
3-1-2021 17:00;341745;0.254149759;0.557464589;0.018426456;86934
3-1-2021 18:00;348203;0.253691202;0.591310198;0.002045399;93490
3-1-2021 19:00;348041;0.245906651;0.554723796;0.000250093;95361
3-1-2021 20:00;340713;0.245475389;0.557719547;0.000232228;90397
3-1-2021 21:00;329473;0.239732509;0.536048159;0.000232228;83948
3-1-2021 22:00;319743;0.226865617;0.534008498;0.000232228;78471
3-1-2021 23:00;242167;0.202316441;0.536430595;0.000223296;68238
4-1-2021 00:00;299383;0.201956146;0.523873938;9.81E-05;70033
4-1-2021 01:00;296669;0.195312528;0.555106233;8.93E-05;69187
