Hour;EOM_price;PROD_SMR;PROD_electrolysis;PROD_SMRCCS;PROD_Biomass;PROD_SPP_lignite;PROD_Solar;PROD_ICE;PROD_WindOffshore;PROD_WindOnshore;PROD_Nuclear;PROD_CCGT_old;PROD_CCGT_new;PROD_SPP_coal;PROD_OCGT
1.0;3.1300458653407746;-0.009525175715607731;-0.00013499999999708556;-0.00034999999870405845;0.0;0.0;1.683027812e-5;0.0;0.009528839995824;0.08506607987344;0.0;0.0;0.0;0.0;0.0
2.0;3.0878135156101068;-0.009525175715607731;-0.0001349999999970861;-0.00034999999870405845;0.0;0.0;1.5840144399999998e-5;0.0;0.009384660009360002;0.08531898748578;0.0;0.0;0.0;0.0;0.0
3.0;3.0588610147093775;-0.009525175715607731;-0.00013499999999708643;-0.00034999999870405845;0.0;0.0;1.5840144399999998e-5;0.0;0.009435690000000002;0.08513718203937999;0.0;0.0;0.0;0.0;0.0
4.0;3.0291125796287908;-0.009525175715607731;-0.00013499999999708678;-0.00034999999870405845;0.0;0.0;1.683027812e-5;0.0;0.009073619992584;0.08458096506648001;0.0;0.0;0.0;0.0;0.0
5.0;3.0346856508094753;-0.009525175715607731;-0.00013499999999708672;-0.00034999999870405845;0.0;0.0;1.683027812e-5;0.0;0.00874719000324;0.08574650050675;0.0;0.0;0.0;0.0;0.0
6.0;3.086184725813168;-0.009525175715607731;-0.0001349999999970861;-0.00034999999870405845;0.0;0.0;1.683027812e-5;0.0;0.009467280003888;0.08676803139961;0.0;0.0;0.0;0.0;0.0
7.0;3.255439073656395;-0.009525175715607731;-0.00013499999999708399;-0.00034999999870405845;0.0;0.0;2.1780281680000002e-5;0.0;0.009099540004571999;0.08885069462959001;0.0;0.0;0.0;0.0;0.0
8.0;3.475966385853611;-0.009525175715607731;-0.00013499999999708128;-0.00034999999870405845;0.0;0.0;0.0005286647916400001;0.0;0.008993430009108;0.08964901874600001;0.0;0.0;0.0;0.0;0.0
9.0;3.58852751941828;-0.009525175715607731;-0.0001349999999970799;-0.00034999999870405845;0.0;0.0;0.00285419572812;0.0;0.0073045800036;0.08770225967058999;0.0;0.0;0.0;0.0;0.0
10.0;3.61631209064311;-0.009525175715607731;-0.00013499999999707954;-0.00034999999870405845;0.0;0.0;0.0080527327166;0.0;0.007302150005256001;0.08641522081077001;0.0;0.0;0.0;0.0;0.0
11.0;3.6117765016939924;-0.009525175715607731;-0.00013499999999707957;-0.00034999999870405845;0.0;0.0;0.015675801377800003;0.0;0.007414740000540002;0.08646832230524001;0.0;0.0;0.0;0.0;0.0
12.0;3.611740345621105;-0.009525175715607731;-0.00013499999999707954;-0.00034999999870405845;0.0;0.0;0.020726826952280005;0.0;0.007492499998380001;0.08644672169732;0.0;0.0;0.0;0.0;0.0
