Hour;EOM_price;Demand;Biomass;SPP_lignite;Solar;ICE;WindOffshore;WindOnshore;Nuclear;CCGT_old;CCGT_new;SPP_coal;OCGT;electrolysis
1.0;3.1300458653407746;-0.28487954000000004;0.0;0.0;1.683027812e-5;0.0;0.009528839995824;0.08506607987344;0.0;0.0;0.0;0.0;0.0;-0.00020454545454321802
2.0;3.0878135156101068;-0.28233063199999997;0.0;0.0;1.5840144399999998e-5;0.0;0.009384660009360002;0.08531898748578;0.0;0.0;0.0;0.0;0.0;-0.0002045454545432188
3.0;3.0588610147093775;-0.28039142600000005;0.0;0.0;1.5840144399999998e-5;0.0;0.009435690000000002;0.08513718203937999;0.0;0.0;0.0;0.0;0.0;-0.00020454545454321935
4.0;3.0291125796287908;-0.277665108;0.0;0.0;1.683027812e-5;0.0;0.009073619992584;0.08458096506648001;0.0;0.0;0.0;0.0;0.0;-0.0002045454545432199
5.0;3.0346856508094753;-0.278801248;0.0;0.0;1.683027812e-5;0.0;0.00874719000324;0.08574650050675;0.0;0.0;0.0;0.0;0.0;-0.00020454545454321978
6.0;3.086184725813168;-0.28366492;0.0;0.0;1.683027812e-5;0.0;0.009467280003888;0.08676803139961;0.0;0.0;0.0;0.0;0.0;-0.00020454545454321883
7.0;3.255439073656395;-0.29589681;0.0;0.0;2.1780281680000002e-5;0.0;0.009099540004571999;0.08885069462959001;0.0;0.0;0.0;0.0;0.0;-0.00020454545454321566
8.0;3.475966385853611;-0.310857744;0.0;0.0;0.0005286647916400001;0.0;0.008993430009108;0.08964901874600001;0.0;0.0;0.0;0.0;0.0;-0.00020454545454321152
9.0;3.58852751941828;-0.31669256;0.0;0.0;0.00285419572812;0.0;0.0073045800036;0.08770225967058999;0.0;0.0;0.0;0.0;0.0;-0.0002045454545432094
10.0;3.61631209064311;-0.32209970599999993;0.0;0.0;0.0080527327166;0.0;0.007302150005256001;0.08641522081077001;0.0;0.0;0.0;0.0;0.0;-0.00020454545454320889
11.0;3.6117765016939924;-0.32911517;0.0;0.0;0.015675801377800003;0.0;0.007414740000540002;0.08646832230524001;0.0;0.0;0.0;0.0;0.0;-0.00020454545454320894
