Year;EOM_avg;REC_y;CAP_CCGT_new;CAP_WindOffshore;CAP_SPP_coal;CAP_WindOnshore;CAP_Nuclear;CAP_Solar;CAP_OCGT;FS_CCGT_new;FS_WindOffshore;FS_SPP_coal;FS_WindOnshore;FS_Nuclear;FS_Solar;FS_OCGT
2021.0;236.80032651716795;1.455493078702164;153.0;12.708;49.44;164.87;78.48;110.84;11.39;258.08745373371164;27.51013231758485;202.08270763574995;288.6219235013827;687.4847999999996;126.15955034204879;5.227066578202394e-10
2022.0;338.4537870190357;1.2550860771212635;153.0;12.708;49.44;247.305;78.48;166.26;17.084999999999994;1.0278785343723178e-11;27.51013231758485;433.09439999999495;432.93288525206526;687.4847999999996;189.23932551307266;0.0
2023.0;276.3516070560128;1.2508051590949882;145.35;18.355999999999998;46.144000000000005;359.96616666666665;74.556;242.0006666666667;24.488499999999974;6.179801073168638e-11;39.73685779205642;348.1162240905172;630.1578663113411;653.1105599999997;275.44835158013916;1.4610013697592814e-11
2024.0;179.1905271080958;1.291761227080819;214.2;24.003999999999998;42.848000000000006;534.4535833333333;70.632;359.3063333333333;36.16324999999995;2.770086295774316e-11;51.96358326648032;151.4204298916963;935.6160686835772;563.4307565724608;408.9672090254703;0.0
2025.0;89.45576322956288;1.2936015840267239;283.04999999999995;32.82899999999999;39.552;796.1847083333332;66.708;535.2648333333334;53.67537499999989;1.5365433989518052e-12;69.84655937669208;2.5737813062351097e-12;1359.6658065623371;419.5293239357062;568.4010106989398;0.0
2026.0;10.477362326976305;1.2563848059494371;351.9;44.47799999999999;36.25599999999999;1188.7813958333331;62.784000000000006;799.2025833333333;79.9435624999998;0.0;88.02182631734225;4.371136221559785e-14;1891.0844754074344;288.5082106878275;677.9380029176797;0.0
2027.0;2.5283745072109616;1.1549273789262104;455.1749999999999;60.539499999999975;32.96;1777.6764270833332;58.86;1195.1092083333335;119.34584374999963;0.0;65.77487232124624;0.0;2375.931502517096;7.534166866594174;659.4114359759968;0.0
2028.0;-8.380349692661712;1.1310816082145374;592.8749999999999;82.42549999999996;29.664;2661.018973958333;54.93599999999999;1788.9691458333334;178.44926562499938;0.0;98.5125497436249;2.293811151446295e-13;2615.6416892062207;106.89349156819277;805.3564011140232;0.0
2029.0;-0.6819351911812355;1.201456750421935;764.9999999999998;112.34224999999995;26.368000000000077;3986.0327942708327;51.012;2679.7590520833337;267.1043984374989;0.0;166.51254927502816;0.0;2525.673584011489;37.04390507667544;820.1156402160499;0.0
2030.0;1355.431406412623;49.404233902367736;988.7624999999996;153.2019999999999;23.072000000003573;5973.553524739583;47.088;4015.9439114583333;400.08709765624815;8661.559499999976;331.6499284953229;202.11072000002983;10457.320970757579;412.49088000000035;4571.000343454276;3504.762975468645
2031.0;391.81536127652845;62.87451955157377;981.1124999999998;209.02012499999987;19.776000000003574;8954.834620442707;72.94604840643436;6020.221200520834;398.948097656262;4117.501335997437;452.4843638485876;4.564388306279862e-12;15676.360725352974;639.0073840403444;6852.295196836676;2077.729978443437
2032.0;252.23811828910092;62.17607149229535;973.4625000000001;285.2681249999998;16.480000000003578;11946.58952178965;69.02204840643442;6668.271880537339;397.8090976562878;1773.2276418500812;617.545157754094;4.440404560809659e-12;20841.378288258584;604.6331440403416;7405.071107784334;1120.831883763755
