Hour;EOM_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;24.563899270716156;-2.2993649974032413e-17;-1.8211657762172924e-16;-0.005667010436004312;-0.005131681351914868;-7.694001848032519e-5;0.0;0.19831700105793715;0.0;0.20993911577651003;0.015061950440336282;0.0009884803461856432;0.0
2.0;24.41030147448167;-2.2993904276008006e-17;-1.821215807006272e-16;-0.005655248195625181;-0.005120594566636443;-7.714539783166715e-5;0.0;0.19422539513566803;0.0;0.2100247683926745;0.014960833767412116;0.0009884803461848192;0.0
3.0;24.289816960044504;-2.2994044596903976e-17;-1.8212434140516785e-16;-0.005680420375290792;-0.005143891964802845;-7.725873149821134e-5;0.0;0.19140334282691893;0.0;0.2116624544793626;0.01487964917524003;0.0009225806727077995;0.0
4.0;24.044564971854747;-2.2994335518083624e-17;-1.8213006519725906e-16;-0.005728609006455194;-0.005188477998619703;-7.749369533960952e-5;0.0;0.1901090455767835;0.0;0.2094961335076008;0.014714754229498826;0.0009225806727064087;0.0
5.0;23.699841879100184;-2.299447696561496e-17;-1.8213284820768115e-16;-0.005951910399314423;-0.005395841573965023;-7.760799474145795e-5;0.0;0.1927141143435309;0.0;0.20884651011322883;0.01447498808736281;0.0009225806727043165;0.0
6.0;24.891798815665553;-2.2993191669304048e-17;-1.821075614137884e-16;-0.005642934520421018;-0.005109601522342501;-7.65698568574398e-5;0.0;0.19956637598303983;0.0;0.2150854592431033;0.015280340427315364;0.0009884803461873775;0.0
7.0;22.788585364308553;-2.2990607974194835e-17;-1.8205674150389492e-16;-0.008875132970981596;-0.008114158195247889;-7.448372926899342e-5;0.0;0.20236874301786031;0.0;0.21956829509496925;0.013549808150691461;0.014497721582631835;0.0
8.0;1.577087405688335;-2.2990917607079424e-17;-1.8206283101142216e-16;-0.023495359033372357;-0.02170043854512627;-7.473689920864835e-5;0.0;0.15855071232869597;0.0;0.17879037090640718;0.0;0.08457189656188704;0.0
9.0;0.4785515075184321;-2.2988357992473147e-17;-1.8201249801810956e-16;-0.025818495701828394;-0.02386053273667422;-7.266997386509992e-5;0.0;0.14983753681709036;0.0;0.1694932246760552;0.0;0.12157761862467807;0.0
10.0;-0.33456620693834793;-2.2989406339971867e-17;-1.820331112082704e-16;-0.026230622093829793;-0.024242481197077205;-7.351735770493164e-5;0.0;0.14608696674669852;0.0;0.15739885957320404;0.0;0.14312786005353711;0.0
