Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;CN_CAP_Alkaline_base;CN_CAP_Alkaline_peak;CN_PROD_Alkaline_base;CN_PROD_Alkaline_peak;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;70.0;0.35;0.135;0.135;1.2655750666544143e-16;1.2458005397917896e-17;5.219959627838585e-12;1.921749101716955e-11;0.0;0.0;0.0;0.0;0.0002372430108093348;0.0;0.0
2022.0;70.0;0.35;0.135;0.135;6.697562326258678e-17;4.9240218451094695e-18;3.0271462804749626e-12;1.1144769770231436e-11;0.0;0.0;0.0;0.0;0.0002634921527581369;0.0;0.0
2023.0;65.33333333333333;0.32666666666666666;0.12825000000100908;0.1282500000064091;7.622849939636754e-17;6.7339838178113774e-18;8.158180632700245e-12;3.00401298495525e-11;0.0;0.0;0.0;0.0;0.00030057123334611876;0.0;0.0
2024.0;60.66666666666667;0.30333333333333334;0.12150000000205276;0.12150000001304037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005867683868302305;0.0;0.0
2025.0;56.0;0.27999999999999997;0.11475000000312943;0.11475000001987586;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012597086793398162;0.0;0.0
2026.0;51.33333333333333;0.25666666666666665;0.10800000000435758;0.10800000002767397;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002182484357841486;0.0;0.0
2027.0;46.666666666666664;0.2333333333333333;0.10125000000576029;0.10125000003658394;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003666245246626745;0.0;0.0
2028.0;42.0;0.21;0.09450000000736551;0.09450000004678466;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005811989418840155;0.0;0.0
2029.0;37.333333333333336;0.18666666666666665;0.08775000000920542;0.08775000005847806;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008872044580767218;0.0;0.0
2030.0;32.666666666666664;0.16333333333333333;0.08100000001134185;0.08100000007196423;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013038869723295706;0.0;0.0
2031.0;28.0;0.13999999999999999;0.07425000001380663;0.07425000008762636;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018994792697863302;0.0;0.0
2032.0;23.333333333333332;0.11666666666666667;0.06750000001663896;0.06750000010563813;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026713474635430355;0.0;0.0
2033.0;18.66666666666667;0.09333333333333334;0.06075000001990468;0.06075000012639657;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03634946700958073;0.0;0.0
2034.0;14.000000000000002;0.07000000000000002;0.054000000023942826;0.05400000015208901;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04832179337293547;0.0;0.0
