Hour;EOM_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;57.29241775304648;-9.764758862690867e-18;-1.460846344507178e-13;-0.04214801808248112;-0.039602189384635195;-0.008860326601468169;0.0;0.2499129986453698;5.987941732333095e-15;0.26066629388174667;0.023250453580420966;0.0010039064506207804;0.0
2.0;57.148051595964674;-9.764758862690867e-18;-1.460846344507178e-13;-0.04213023382540519;-0.03958567543163009;-0.00886032660146814;0.0;0.24579529703640085;5.987133758634646e-15;0.2607965701577893;0.023250453580420542;0.0010039064506203656;0.0
3.0;57.03311280991698;-9.764758862690867e-18;-1.460846344507178e-13;-0.042151888426499064;-0.039605783275506956;-0.008860326601468143;0.0;0.24295306219254592;5.986474560464215e-15;0.26246622279872917;0.023250453580420195;0.000936978354823463;0.0
4.0;56.78853955772814;-9.764758862690867e-18;-1.460846344507178e-13;-0.04219797622548496;-0.03964857908885935;-0.00886032660146815;0.0;0.24165745364084043;5.985074269544632e-15;0.26029973825480435;0.02325045358041945;0.0009369783548227369;0.0
5.0;56.43063704266177;-9.764758862690867e-18;-1.460846344507178e-13;-0.04242719212959776;-0.039861422428443934;-0.008860326601468151;0.0;0.24428560216158393;5.982957818215121e-15;0.2595949184699851;0.0232504535804183;0.0009369783548216281;0.0
6.0;57.61964056452626;-9.764758862690867e-18;-1.460846344507178e-13;-0.04212724497445796;-0.039582900070040575;-0.00886032660146815;0.0;0.25115611929179604;5.989799816068175e-15;0.2658219245191112;0.023250453580421927;0.0010039064506217272;0.0
7.0;55.949200241710656;-9.764758862690867e-18;-1.460846344507178e-13;-0.045316385309079145;-0.042544244667187384;-0.008860326601468148;0.0;0.25397575412928014;5.979206767514248e-15;0.2703458855896976;0.023250453580416205;0.014723971269106994;0.0
8.0;30.089831345012982;-9.764758862690867e-18;-1.460846344507178e-13;-0.06476189003417974;-0.060128529232124035;-0.008860326601468148;0.0;0.20314816354146725;0.0;0.2226252203026436;0.023250452923079486;0.13179155822001018;0.0
9.0;29.472966213377298;-9.764758862690867e-18;-1.460846344507178e-13;-0.06996424514782915;-0.06458818682459222;-0.008860326601468151;0.0;0.1991411513998041;0.0;0.21801412902971792;0.02325045288789138;0.17016882009543932;0.0
10.0;29.064710693341553;-9.764758862690867e-18;-1.460846344507178e-13;-0.07151896425458643;-0.06603185456674565;-0.008860326601468146;0.0;0.1969761366072718;0.0;0.20740807277031176;0.02325045352331843;0.19361433600842298;0.0
