Hour;EOM_price;PROD_Alkaline_base;PROD_Alkaline_peak
1.0;125.92044815423404;1.1969745411630224e-12;3.946858860310002e-11
2.0;61.40381525647118;2.457667383002073e-12;8.101751303823694e-11
3.0;-1.6722569921150477e-6;1.8178433613567464e-5;1.7903124672059824e-5
4.0;3.29594553838438e-5;1.815375793883276e-5;1.7860995213580625e-5
5.0;-1.581509193293927e-6;1.8178362281907633e-5;1.7902999796818325e-5
6.0;17.44175546954993;8.7065165729354e-12;2.8665807981590847e-10
7.0;168.3263556284241;8.951766677126066e-13;2.9519058415508206e-11
8.0;173.16406212779165;8.700212216732519e-13;2.8689690213402997e-11
9.0;36.3672871253507;4.1450252935218065e-12;1.36596102664416e-10
10.0;29.5000802343078;5.112888927101971e-12;1.6845944051033825e-10
11.0;2.5034776055849286;6.217429434071741e-11;2.01804457755069e-9
12.0;-1.690424087846726e-6;1.817842366363086e-5;1.7903095028829808e-5
13.0;-1.6908658016536214e-6;1.8178424067417854e-5;1.790309573844419e-5
14.0;-1.6908710487191939e-6;1.8178424071925177e-5;1.79030957454107e-5
15.0;-1.6907858742436488e-6;1.817842399320812e-5;1.7903095602234843e-5
16.0;-1.690547879274444e-6;1.8178423773751406e-5;1.7903095204180295e-5
17.0;-1.6897370461428633e-6;1.8178423028634736e-5;1.7903093853066535e-5
18.0;9.894109171852236;1.5361011386936357e-11;5.050950866409877e-10
19.0;214.7394697033239;7.015534110443717e-13;2.313513158671552e-11
20.0;127.69434502697663;1.1804516201548033e-12;3.892390028847527e-11
21.0;-1.8132092492362509e-6;1.8178533959101606e-5;1.7903292313716247e-5
22.0;-2.0911657288429043e-6;1.8178755205221995e-5;1.7903684930133255e-5
23.0;-2.204595813684025e-6;1.8178863064715413e-5;1.7903881482773243e-5
24.0;-2.2070391487781505e-6;1.8178865165447548e-5;1.7903885298977276e-5
25.0;-6.863978856801197e-6;1.8108400351043976e-5;1.7697275453827462e-5
26.0;-6.906952633033132e-6;1.8108456264602323e-5;1.7697389838026823e-5
27.0;-2.2938047629893058e-6;1.8103604480456456e-5;1.768853428553604e-5
28.0;-2.3915795352846802e-6;1.8103669310771963e-5;1.768864058715663e-5
29.0;-2.2225332106870965e-6;1.8103523114450895e-5;1.76883853523345e-5
30.0;-1.7787518943291312e-6;1.810311860343743e-5;1.7687673624156027e-5
31.0;71.23079457157658;2.3323224821002378e-12;7.68853001258699e-11
32.0;14.584026462683514;1.1428576865571032e-11;3.7602209464280716e-10
33.0;9.983096390001403;1.6680391646091092e-11;5.482130565295699e-10
34.0;25.202284157652628;6.597402292792903e-12;2.1729058376618914e-10
35.0;15.752195056820081;1.0585421934455313e-11;3.483389658439788e-10
36.0;-1.5669024674109568e-6;1.8102864160389254e-5;1.7687243747591045e-5
37.0;1.2388840868177087e-6;1.8100196721005072e-5;1.768239116425072e-5
38.0;-1.934558522712174e-6;1.81032542823257e-5;1.7687909888880944e-5
39.0;12.130348706389363;1.3770061172635383e-11;4.5284581989931525e-10
40.0;109.5268517940732;1.5140577781913925e-12;4.9919841644747647e-11
41.0;307.35538998895595;5.395376232378769e-13;1.7792826285333213e-11
42.0;492.6473299851525;3.366398831483595e-13;1.1102181741441789e-11
43.0;460.04701057214606;3.6054765641930724e-13;1.1890582513052075e-11
44.0;286.08340936472626;5.800834151543471e-13;1.9129770426522467e-11
45.0;59.22325258478329;2.8067242674167487e-12;9.251473245979593e-11
46.0;-1.9897203708063213e-6;1.8103316841060413e-5;1.768802279538965e-5
47.0;-1.855209876424896e-6;1.8103185020157262e-5;1.7687791968200423e-5
48.0;-2.860996254003975e-6;1.8104198173158562e-5;1.768960254139667e-5
